Order#,Style#,fStyle#,Customer,Ordered,Picked/Shipped,Open,Order Date,Quoted Date,Ship Date,Price,Status
ORD010000,STY0198,FSTY0143,Customer23,53,650,0,2024-12-23,2025-01-01,2025-01-01,194.26,Open
ORD010001,STY0221,FSTY0023,Customer49,360,646,26,2025-03-22,2025-04-20,2025-04-20,146.47,Partial
ORD010002,STY0257,FSTY0299,Customer03,156,74,43,2025-06-28,2025-07-01,2025-07-01,94.39,Partial
ORD010003,STY0120,FSTY0161,Customer22,422,477,54,2025-04-26,2025-05-13,2025-05-13,30.69,Partial
ORD010004,STY0128,FSTY0135,Customer40,347,523,25,2025-03-11,2025-03-24,2025-03-24,87.16,Partial
ORD010005,STY0237,FSTY0235,Customer41,424,670,91,2025-01-17,2025-02-16,2025-02-16,157.59,Complete
ORD010006,STY0221,FSTY0194,Customer19,651,202,26,2025-04-25,2025-05-09,2025-05-09,92.39,Partial
ORD010007,STY0135,FSTY0180,Customer50,618,466,78,2025-03-07,2025-03-27,2025-03-27,12.77,Open
ORD010008,STY0097,FSTY0108,Customer38,672,151,20,2025-08-08,2025-08-25,2025-08-25,49.5,Shipped
ORD010009,STY0194,FSTY0113,Customer26,577,344,100,2025-03-08,2025-04-01,2025-04-01,58.95,Complete
ORD010010,STY0080,FSTY0285,Customer06,966,637,51,2025-03-19,2025-03-28,2025-03-28,80.31,Open
ORD010011,STY0300,FSTY0137,Customer21,633,670,83,2025-02-22,2025-03-03,2025-03-03,23.15,Partial
ORD010012,STY0270,FSTY0051,Customer07,980,851,87,2025-08-26,2025-09-15,2025-09-15,46.75,Shipped
ORD010013,STY0044,FSTY0299,Customer22,775,209,73,2025-06-27,2025-07-16,2025-07-16,65.82,Complete
ORD010014,STY0289,FSTY0197,Customer18,350,575,27,2025-01-30,2025-02-25,2025-02-25,44.4,Complete
ORD010015,STY0270,FSTY0107,Customer28,458,700,16,2025-02-06,2025-03-03,2025-03-03,66.15,Complete
ORD010016,STY0086,FSTY0064,Customer16,185,757,94,2025-08-26,2025-09-11,2025-09-11,119.64,Open
ORD010017,STY0031,FSTY0215,Customer06,363,498,64,2025-07-15,2025-07-25,2025-07-25,137.28,Complete
ORD010018,STY0191,FSTY0232,Customer19,421,764,29,2024-12-17,2025-01-13,2025-01-13,137.84,Open
ORD010019,STY0159,FSTY0019,Customer27,432,546,42,2024-11-14,2024-12-07,2024-12-07,56.87,Complete
ORD010020,STY0194,FSTY0203,Customer39,396,359,33,2024-09-17,2024-09-23,2024-09-23,19.51,Partial
ORD010021,STY0219,FSTY0191,Customer34,235,231,62,2025-04-24,2025-05-19,2025-05-19,53.52,Partial
ORD010022,STY0017,FSTY0152,Customer39,591,853,13,2025-07-31,2025-08-08,2025-08-08,58.43,Open
ORD010023,STY0186,FSTY0291,Customer28,113,271,13,2025-05-30,2025-06-26,2025-06-26,61.65,Shipped
ORD010024,STY0248,FSTY0203,Customer10,116,149,39,2025-05-11,2025-05-20,2025-05-20,83.54,Open
ORD010025,STY0260,FSTY0070,Customer29,29,218,92,2025-05-30,2025-06-11,2025-06-11,53.35,Partial
ORD010026,STY0148,FSTY0194,Customer05,371,92,57,2025-02-23,2025-03-16,2025-03-16,100.32,Open
ORD010027,STY0147,FSTY0135,Customer38,473,532,11,2024-12-02,2024-12-18,2024-12-18,165.52,Complete
ORD010028,STY0228,FSTY0091,Customer03,720,60,22,2024-11-06,2024-11-11,2024-11-11,48.47,Complete
ORD010029,STY0231,FSTY0058,Customer09,921,454,7,2025-01-14,2025-01-23,2025-01-23,150.61,Open
ORD010030,STY0178,FSTY0151,Customer33,712,895,99,2025-01-25,2025-02-22,2025-02-22,133.5,Complete
ORD010031,STY0279,FSTY0101,Customer50,926,880,1,2025-08-04,2025-08-07,2025-08-07,11.56,Shipped
ORD010032,STY0162,FSTY0298,Customer19,272,785,47,2024-08-30,2024-09-29,2024-09-29,161.2,Shipped
ORD010033,STY0270,FSTY0147,Customer49,584,582,70,2025-05-13,2025-05-14,2025-05-14,112.74,Partial
ORD010034,STY0070,FSTY0243,Customer37,811,185,99,2024-12-29,2025-01-11,2025-01-11,194.9,Complete
ORD010035,STY0129,FSTY0020,Customer32,897,514,26,2025-07-12,2025-07-19,2025-07-19,69.38,Open
ORD010036,STY0211,FSTY0058,Customer04,664,660,19,2025-03-04,2025-03-19,2025-03-19,67.77,Partial
ORD010037,STY0133,FSTY0035,Customer48,669,535,19,2024-12-07,2024-12-16,2024-12-16,84.41,Partial
ORD010038,STY0034,FSTY0101,Customer50,871,766,67,2024-12-20,2024-12-22,2024-12-22,98.54,Open
ORD010039,STY0166,FSTY0204,Customer41,817,173,21,2025-05-15,2025-05-18,2025-05-18,140.04,Shipped
ORD010040,STY0217,FSTY0145,Customer11,543,629,0,2024-08-29,2024-09-15,2024-09-15,130.49,Complete
ORD010041,STY0249,FSTY0045,Customer05,27,537,71,2025-01-25,2025-01-31,2025-01-31,22.09,Partial
ORD010042,STY0160,FSTY0119,Customer15,509,103,23,2025-01-19,2025-02-13,2025-02-13,163.75,Open
ORD010043,STY0016,FSTY0236,Customer34,791,694,98,2024-09-04,2024-09-30,2024-09-30,52.38,Open
ORD010044,STY0073,FSTY0099,Customer50,981,265,35,2024-10-28,2024-11-24,2024-11-24,100.88,Open
ORD010045,STY0025,FSTY0033,Customer24,988,327,75,2024-09-26,2024-10-20,2024-10-20,188.88,Shipped
ORD010046,STY0248,FSTY0020,Customer22,20,882,90,2024-09-24,2024-10-11,2024-10-11,136.37,Partial
ORD010047,STY0222,FSTY0163,Customer45,263,539,1,2025-08-23,2025-09-20,2025-09-20,57.81,Open
ORD010048,STY0147,FSTY0288,Customer45,511,238,49,2025-05-23,2025-06-18,2025-06-18,193.44,Complete
ORD010049,STY0134,FSTY0163,Customer48,784,71,73,2025-02-25,2025-03-21,2025-03-21,183.75,Shipped
ORD010050,STY0169,FSTY0123,Customer18,896,157,38,2024-12-01,2024-12-04,2024-12-04,118.66,Partial
ORD010051,STY0297,FSTY0247,Customer21,81,81,19,2025-07-31,2025-08-16,2025-08-16,105.34,Partial
