PO Date,PO #,Purchased From,Desc,Price,INVEN,PO Order Amt,Rec'd,PO Bal,Unscheduled or Past Due,This Week,9/5/2025,9/12/2025,9/19/2025,9/26/2025,10/3/2025,10/10/2025,10/17/2025,10/24/2025,Later,Type,Ply,Size,Filament,Color,Blend
3/4/2024,Y2403001,Deca Global,18737,$2.41 ,"3,997.13","22,000","14,826","7,174","7,174",,,,,,,,,,,Polyester,1,150,48,Cashmere,100%
3/4/2024,Y2403002,Deca Global,18927,$1.50 ,"1,762.56","51,000","49,994","1,006","1,006",,,,,,,,,,,Polyester,2,300,72,Semi Dull,100%
3/5/2024,Y2403004,CS America,18904,$2.55 ,"3,730.30","20,000","13,551","6,449","-3,151",,"2,400",,,,"2,400",,,,"4,800",Polyester,1,150,36,China Grey,100%
3/11/2024,Y2403018,SpunLab Performance Yarns,18659,$4.90 ,"21,012.68","54,000","45,826","8,174","8,174",,,,,,,,,,,Polyester/Modal Rayon/Karded Cotton,40,1,,Natural,50/37/13
9/11/2024,Y2409017,Deca Global,18893,$2.10 ,"1,955.76","12,000","2,535","9,465","9,465",,,,,,,,,,,Polyester,1,150,48,Connect Blue,100%
9/11/2024,Y2409019,Deca Global,18927,$1.50 ,"1,762.56","25,000",0,"25,000","25,000",,,,,,,,,,,Polyester,2,300,72,Semi Dull,100%
10/11/2024,Y2410014,Deca Global,18785,$8.12 ,"1,200.25","5,000","3,348","1,652","1,652",,,,,,,,,,,Polyethylene,1,300,120,Dark Grey,100%
10/22/2024,Y2410046,Deca Global,18594,$5.15 ,"3,119.54","46,500","17,640","28,860","17,360",,"5,000",,"6,500",,,,,,,Polyethylene,1,300,120,Natural,100%
10/24/2024,Y2410055,Deca Global,18993,$1.75 ,"3,467.42","40,000","5,461","34,539","34,539",,,,,,,,,,,Polyester,1,75,36,Black,100%
11/5/2024,Y2411010,Deca Global,18998,$1.58 ,"5,824.80","13,300","5,783","7,517","7,517",,,,,,,,,,,Polyester,24,1,,Black 5%,95/5
11/13/2024,Y2411036,OMara Textiles,18184,$3.60 ,"1,176.48","3,000","1,981","1,019","1,019",,,,,,,,,,,Polyester,1,150,36,Capri,100%
11/20/2024,Y2411049,Deca Global,19009,$1.95 ,0.00,"8,000",0,"8,000","8,000",,,,,,,,,,,Combed Cotton/Polyester,20,1,,Natural,60/40
11/21/2024,Y2411053,OMara Textiles,18988,$3.55 ,"6,339.00","6,000","3,493","2,507","2,507",,,,,,,,,,,Polyester,1,150,36,Raspberry,100%
12/10/2024,Y2412017,Parkdale Yarn Mills,18432,$4.81 ,"16,183.10","24,570","16,449","8,121","8,121",,,,,,,,,,,Modacrylic/Karded Cotton,8,1,,Natural,55/45
12/17/2024,Y2412025,OMara Textiles,11967,$3.70 ,674.00,"4,000","3,115",885,885,,,,,,,,,,,Polyester,1,150,34,Merrimack,100%
12/20/2024,Y2412032,Deca Global,19025,$2.17 ,0.00,"7,000",0,"7,000","7,000",,,,,,,,,,,Polyester,1,150,36,Orange,100%
12/20/2024,Y2412034,Deca Global,18927,$1.50 ,"1,762.56","15,000",0,"15,000","15,000",,,,,,,,,,,Polyester,2,300,72,Semi Dull,100%
12/26/2024,Y2412035,Inman Mills,18991,$3.45 ,"2,382.20","4,256","1,988","2,268","2,268",,,,,,,,,,,FRL-PZ Rayon,14,1,,Natural,100%
1/15/2025,Y2501025,Deca Global,18703,$2.18 ,107.00,"40,000","21,120","18,880","18,880",,,,,,,,,,,Combed Cotton/Polyester,38,1,,Semi Dull,60/40
1/31/2025,Y2501090,BUHLER,18884,$7.35 ,"2,506.18","30,000","9,839","20,161","20,161",,,,,,,,,,,Modacrylic/Tencel/Nylon,21,1,,Natural,75/15/10
2/3/2025,Y2502001,Deca Global,18785,$8.05 ,"1,200.25","7,500",0,"7,500","7,500",,,,,,,,,,,Polyethylene,1,300,120,Dark Grey,100%
2/11/2025,Y2502026,Deca Global,19033,$6.15 ,"1,115.07","3,000","1,080","1,920","1,920",,,,,,,,,,,Polyethylene,1,300,120,Black,100%
2/26/2025,Y2502047,DUNAWAY YARNS INC,19046,$1.70 ,"7,726.75","42,835","31,195","11,640",0,"5,820",,,"5,820",,,,,,,Polyester,24,1,,Black 4%,96/4
4/2/2025,Y2504005,BUHLER,19057,$9.65 ,"15,493.68","25,000","16,368","8,632","8,632",,,,,,,,,,,Modacrylic/Rayon,28,1,,Natural,78/22
4/2/2025,Y2504006,Unifi,18903,$1.95 ,"16,469.57","30,000","19,335","10,665","-4,335",,"3,000","5,500","4,500",,,,,,,Polyester,1,70,72,Natural,100%
4/3/2025,Y2504009,BUHLER,19054,$8.75 ,"2,757.96","10,000","7,474","2,526","2,526",,,,,,,,,,,Modacrylic/Tencel,30,1,,Natural,85/15
4/3/2025,Y2504010,Parkdale Yarn Mills,19059,$2.97 ,"18,006.40","20,000","17,629","2,371","2,371",,,,,,,,,,,Rayon,14,1,,Natural,100%
4/9/2025,Y2504020,BUHLER,18645,$7.23 ,"2,222.93","14,000","6,829","7,171","7,171",,,,,,,,,,,Modacrylic/Tencel,24,1,,Natural,85/15
4/10/2025,Y2504024,Deca Global,18414,$1.18 ,"7,749.10","40,000","5,576","34,424","34,424",,,,,,,,,,,Polyester,3,300,72,Natural,100%
