Yarn,Supplier,Description,Color,Monday Inventory,Total Demand,Total Receipt,Balance,Past Due Receipts,,Demand This Week,Receipts This Week,Balance This Week,,Demand Week 36,Receipts Week 36,Balance Week 36,,Demand Week 37,Receipts Week 37,Balance Week 37,,Demand Week 38,Receipts Week 38,Balance Week 38,,Demand Week 39,Receipts Week 39,Balance Week 39,,Demand Week 40,Receipts Week 40,Balance Week 40,,Demand Week 41,Receipts Week 41,Balance Week 41,,Demand Week 42,Receipts Week 42,Balance Week 42,,Demand Week 43,Receipts Week 43,Balance Week 43,,Demand Later,Receipts Later,Balance Later
19095,UNIFI,1/150/96 100% Polyester Natural Repreve ,Natural,0.0,"7,258.1",0.0,"-7,258.1",0.0,,"3,137.8",0.0,"-3,137.8",,"4,120.3",0.0,"-7,258.1",,0.0,0.0,"-7,258.1",,0.0,0.0,"-7,258.1",,0.0,0.0,"-7,258.1",,0.0,0.0,"-7,258.1",,0.0,0.0,"-7,258.1",,0.0,0.0,"-7,258.1",,0.0,0.0,"-7,258.1",,0.0,0.0,"-7,258.1"
19089,FILSPEC Yarns,26/1 75/15/10 Modacrylic/Rayon/Nylon Natural Protex C - FR RS,Natural,0.0,"5,396.1","9,000.0","3,603.9",0.0,,"2,356.2",0.0,"-2,356.2",,"3,039.9",0.0,"-5,396.1",,0.0,"5,500.0",103.9,,0.0,"2,500.0","2,603.9",,0.0,"1,000.0","3,603.9",,0.0,0.0,"3,603.9",,0.0,0.0,"3,603.9",,0.0,0.0,"3,603.9",,0.0,0.0,"3,603.9",,0.0,0.0,"3,603.9"
18703,DECA GLOBAL,38/1 60/40 Combed Cotton/Polyester Semi Dull RS,Semi Dull,107.0,"2,435.9","18,879.9","16,551.0","18,879.9",,"2,031.1",0.0,"-1,924.1",,404.8,0.0,"-2,328.9",,0.0,0.0,"-2,328.9",,0.0,0.0,"-2,328.9",,0.0,0.0,"-2,328.9",,0.0,0.0,"-2,328.9",,0.0,0.0,"-2,328.9",,0.0,0.0,"-2,328.9",,0.0,0.0,"-2,328.9",,0.0,0.0,"-2,328.9"
18594,VERTEX,1/300/120 100% Polyethylene Natural ,Natural,"6,625.2","23,494.2","67,860.0","50,991.0","17,360.0",,"8,049.7",0.0,"-1,424.6",,"6,741.5","5,000.0","-3,166.1",,"4,896.6",0.0,"-8,062.7",,"2,452.2","11,375.0",860.0,,"1,326.0",0.0,-466.0,,28.0,"4,875.0","4,381.0",,0.0,0.0,"4,381.0",,0.0,"4,875.0","9,256.0",,0.0,0.0,"9,256.0",,0.0,"24,375.0","33,631.0"
19066,UNIFI,1/300/68 100% Polyester Natural Set ,Natural,-549.0,"4,228.2",0.0,"-4,777.2",0.0,,577.7,0.0,"-1,126.7",,907.8,0.0,"-2,034.5",,907.8,0.0,"-2,942.4",,907.8,0.0,"-3,850.2",,907.8,0.0,"-4,758.0",,19.2,0.0,"-4,777.2",,0.0,0.0,"-4,777.2",,0.0,0.0,"-4,777.2",,0.0,0.0,"-4,777.2",,0.0,0.0,"-4,777.2"
18973,VERTEX,1/300/120 100% Polyethylene Haze Melange 2 ,Haze Melange 2,"1,293.2","2,210.0",0.0,-916.8,0.0,,"2,210.0",0.0,-916.8,,0.0,0.0,-916.8,,0.0,0.0,-916.8,,0.0,0.0,-916.8,,0.0,0.0,-916.8,,0.0,0.0,-916.8,,0.0,0.0,-916.8,,0.0,0.0,-916.8,,0.0,0.0,-916.8,,0.0,0.0,-916.8
19081,MOVEINA,27/1 100% Kevlar Black S RS,Black,0.0,747.2,700.0,-47.2,700.0,,747.2,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2
19082,MOVEINA,27/1 100% Kevlar Black Z RS,Black,0.0,747.2,700.0,-47.2,700.0,,747.2,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2,,0.0,0.0,-747.2
19045,Hamiliton,24/1 100% Combed Cotton Natural RS,Natural,-506.1,62.9,0.0,-569.0,0.0,,62.9,0.0,-569.0,,0.0,0.0,-569.0,,0.0,0.0,-569.0,,0.0,0.0,-569.0,,0.0,0.0,-569.0,,0.0,0.0,-569.0,,0.0,0.0,-569.0,,0.0,0.0,-569.0,,0.0,0.0,-569.0,,0.0,0.0,-569.0
14415,CREORA/US Hyosung,1/70 100% Spandex Clear H300 ,Clear,26.9,627.0,0.0,-600.1,0.0,,465.5,0.0,-438.6,,161.5,0.0,-600.1,,0.0,0.0,-600.1,,0.0,0.0,-600.1,,0.0,0.0,-600.1,,0.0,0.0,-600.1,,0.0,0.0,-600.1,,0.0,0.0,-600.1,,0.0,0.0,-600.1,,0.0,0.0,-600.1
