Style,Yarn,Percentage,This Week,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Later,Total
125792/1,18767,91.4,"1,231.2",,,,,,,,,,"1,231.2"
125792/1,18929,8.6,115.8,,,,,,,,,,115.8
180001/20ST2,18320,13.1,153.1,336.9,336.9,336.9,336.9,336.9,138.6,,,,"1,976.2"
180001/20ST2,18707,57.2,668.7,"1,471.0","1,471.0","1,471.0","1,471.0","1,471.0",605.0,,,,"8,628.8"
180001/20ST2,18708,29.7,347.2,763.8,763.8,763.8,763.8,763.8,314.1,,,,"4,480.3"
1853/L,18669,100,522.5,,,,,,,,,,522.5
1853/LU,18903,100,742.3,"1,633.0","1,633.0","1,633.0","1,633.0","1,415.5",,,,,"8,689.6"
1874/0,18770,100,"1,156.2",950.6,,,,,,,,,"2,106.8"
1874/B,19057,100,"1,683.9","1,514.7",,,,,,,,,"3,198.6"
1924/0,13560,6.01,48.1,,,,,,,,,,48.1
1924/0,19057,93.99,751.9,,,,,,,,,,751.9
1945/R,19095,100,,"3,556.4",,,,,,,,,"3,556.4"
1SM0470/30G,9863,55.3,"2,365.6","4,898.2",284.2,,,,,,,,"7,548.0"
1SM0470/30G,11896,44.7,"1,912.2","3,959.3",229.7,,,,,,,,"6,101.2"
2027-2.5/MVS1,18770,70.3,920.8,"1,450.8",,,,,,,,,"2,371.6"
2027-2.5/MVS1,18774,29.7,389.0,612.9,,,,,,,,,"1,001.9"
205FLX2006/B,18696,53.68,170.3,374.7,374.7,374.7,374.7,374.7,374.7,374.7,374.7,"12,273.2","15,441.1"
205FLX2006/B,18870,46.32,147.0,323.3,323.3,323.3,323.3,323.3,323.3,323.3,323.3,"10,590.5","13,323.9"
2094/1,1571,12.6,175.4,,,,,,,,,,175.4
2094/1,10402,87.4,"1,216.6",,,,,,,,,,"1,216.6"
2094/CC,14415,12.6,13.1,,,,,,,,,,13.1
2094/CC,18771,87.4,91.0,,,,,,,,,,91.0
2094/R,14415,12.6,323.1,254.1,,,,,,,,,577.2
2094/R,19095,87.4,"2,241.3","1,762.3",,,,,,,,,"4,003.6"
3009OW/0,18019,100,"2,734.2","6,015.2","2,413.2",,,,,,,,"11,162.5"
601SM0312/M2,11427,17.2,,,,,,,,,,,0.0
601SM0312/M2,11505,54.3,,,,,,,,,,,0.0
601SM0312/M2,18565,28.5,,,,,,,,,,,0.0
641SM0693/0,10995,57.9,23.2,,,,,,,,,,23.2
641SM0693/0,11896,42.1,16.9,,,,,,,,,,16.9
701SM0824/0,11896,90.1,97.0,,,,,,,,,,97.0
701SM0824/0,18290,9.9,10.7,,,,,,,,,,10.7
71246/BB,18645,58.1,"1,862.7",136.7,,,,,,,,,"1,999.3"
71246/BB,19054,41.9,"1,343.3",98.6,,,,,,,,,"1,441.9"
721SM0470/U,9863,58,"1,604.3",135.7,,,,,,,,,"1,740.0"
721SM0470/U,11896,42,"1,161.7",98.3,,,,,,,,,"1,260.0"
721SM0627/1,10027,8.6,210.5,35.5,,,,,,,,,246.0
721SM0627/1,10153,35.8,876.1,147.8,,,,,,,,,"1,023.9"
721SM0627/1,10795,55.6,"1,360.7",229.5,,,,,,,,,"1,590.2"
751SM0780/1,10027,71.7,"1,233.3","2,857.2","2,520.1","1,356.6",303.9,,,,,,"8,271.0"
751SM0780/1,18290,28.3,486.8,"1,127.7",994.7,535.5,119.9,,,,,,"3,264.6"
910001/ST2,18707,50.2,415.2,545.7,,,,,,,,,960.9
910001/ST2,18758,25.5,210.9,277.2,,,,,,,,,488.1
910001/ST2,18869,24.3,201.0,264.1,,,,,,,,,465.1
BK 5425/1,10027,8.6,171.7,199.4,,,,,,,,,371.1
BK 5425/1,10153,39.3,784.6,911.2,,,,,,,,,"1,695.8"
BK 5425/1,10795,52.1,"1,040.1","1,208.0",,,,,,,,,"2,248.1"
BK 7215/6020M,14734,6.6,105.6,,,,,,,,,,105.6
BK 7215/6020M,19081,46.7,747.2,,,,,,,,,,747.2
BK 7215/6020M,19082,46.7,747.2,,,,,,,,,,747.2
BK 8101/0,11409,1.5,1.5,,,,,,,,,,1.5
BK 8101/0,18341,48.9,47.8,,,,,,,,,,47.8
BK 8101/0,18344,49.6,48.5,,,,,,,,,,48.5
C1B3194/1D,18598,45.7,500.1,"1,100.2","1,100.2",41.5,,,,,,,"2,742.0"
C1B3194/1D,18894,54.3,594.2,"1,307.2","1,307.2",49.4,,,,,,,"3,258.0"
C1B3402-42/1D,18307,10.4,202.4,1.7,,,,,,,,,204.0
C1B3402-42/1D,18594,41.8,813.4,6.7,,,,,,,,,820.1
