Style,KO,Yarn,Percentage,This Week,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Later,Total
125792/1,K2508066,18767,91.4,"1,231.2",,,,,,,,,,"1,231.2"
125792/1,K2508066,18929,8.6,115.8,,,,,,,,,,115.8
180001/20ST2,K2502021,18320,13.1,153.1,336.9,336.9,336.9,336.9,336.9,138.6,,,,"1,976.2"
180001/20ST2,K2502021,18707,57.2,668.7,"1,471.0","1,471.0","1,471.0","1,471.0","1,471.0",605.0,,,,"8,628.8"
180001/20ST2,K2502021,18708,29.7,347.2,763.8,763.8,763.8,763.8,763.8,314.1,,,,"4,480.3"
1853/L,K2507027,18669,100,522.5,,,,,,,,,,522.5
1853/LU,K2508062,18903,100,742.3,"1,633.0","1,633.0","1,633.0","1,633.0","1,415.5",,,,,"8,689.6"
1874/0,K2505012,18770,100,"1,156.2",950.6,,,,,,,,,"2,106.8"
1874/B,K2503064,19057,100,"1,683.9","1,514.7",,,,,,,,,"3,198.6"
1924/0,K2508078,13560,6.01,48.1,,,,,,,,,,48.1
1924/0,K2508078,19057,93.99,751.9,,,,,,,,,,751.9
1945/R,K2508069,19095,100,,"3,556.4",,,,,,,,,"3,556.4"
1SM0470/30G,K2506044,9863,55.3,"1,478.5","1,645.5",,,,,,,,,"3,124.0"
1SM0470/30G,K2506044,11896,44.7,"1,195.1","1,330.1",,,,,,,,,"2,525.2"
1SM0470/30G,K2508019,9863,55.3,887.1,"3,252.7",284.2,,,,,,,,"4,424.0"
1SM0470/30G,K2508019,11896,44.7,717.1,"2,629.2",229.7,,,,,,,,"3,576.0"
2027-2.5/MVS1,K2506115,18770,70.3,920.8,"1,450.8",,,,,,,,,"2,371.6"
2027-2.5/MVS1,K2506115,18774,29.7,389.0,612.9,,,,,,,,,"1,001.9"
205FLX2006/B,K2507032,18696,53.68,170.3,374.7,374.7,374.7,374.7,374.7,374.7,374.7,374.7,"12,273.2","15,441.1"
205FLX2006/B,K2507032,18870,46.32,147.0,323.3,323.3,323.3,323.3,323.3,323.3,323.3,323.3,"10,590.5","13,323.9"
2094/1,K2508085,1571,12.6,175.4,,,,,,,,,,175.4
2094/1,K2508085,10402,87.4,"1,216.6",,,,,,,,,,"1,216.6"
2094/CC,K2507094,14415,12.6,13.1,,,,,,,,,,13.1
2094/CC,K2507094,18771,87.4,91.0,,,,,,,,,,91.0
2094/R,K2508068,14415,12.6,323.1,254.1,,,,,,,,,577.2
2094/R,K2508068,19095,87.4,"2,241.3","1,762.3",,,,,,,,,"4,003.6"
3009OW/0,K2507075,18019,100,"2,734.2","6,015.2","2,413.2",,,,,,,,"11,162.5"
641SM0693/0,K2507036,10995,57.9,23.2,,,,,,,,,,23.2
641SM0693/0,K2507036,11896,42.1,16.9,,,,,,,,,,16.9
701SM0824/0,K2507037,11896,90.1,97.0,,,,,,,,,,97.0
701SM0824/0,K2507037,18290,9.9,10.7,,,,,,,,,,10.7
71246/BB,K2504019,18645,58.1,931.3,13.7,,,,,,,,,945.0
71246/BB,K2504019,19054,41.9,671.7,9.9,,,,,,,,,681.5
71246/BB,K2507090,18645,58.1,931.3,123.0,,,,,,,,,"1,054.3"
71246/BB,K2507090,19054,41.9,671.7,88.7,,,,,,,,,760.4
721SM0470/U,K2508020,9863,58,"1,604.3",135.7,,,,,,,,,"1,740.0"
721SM0470/U,K2508020,11896,42,"1,161.7",98.3,,,,,,,,,"1,260.0"
721SM0627/1,K2502048,10027,8.6,210.5,35.5,,,,,,,,,246.0
721SM0627/1,K2502048,10153,35.8,876.1,147.8,,,,,,,,,"1,023.9"
721SM0627/1,K2502048,10795,55.6,"1,360.7",229.5,,,,,,,,,"1,590.2"
751SM0780/1,K2506050,10027,71.7,616.6,144.0,,,,,,,,,760.6
751SM0780/1,K2506050,18290,28.3,243.4,56.8,,,,,,,,,300.2
751SM0780/1,K2506113,10027,71.7,616.6,"1,356.6","1,163.5",,,,,,,,"3,136.7"
751SM0780/1,K2506113,18290,28.3,243.4,535.5,459.2,,,,,,,,"1,238.1"
751SM0780/1,K2508021,10027,71.7,,"1,356.6","1,356.6","1,356.6",303.9,,,,,,"4,373.7"
751SM0780/1,K2508021,18290,28.3,,535.5,535.5,535.5,119.9,,,,,,"1,726.3"
910001/ST2,K2502016,18707,50.2,415.2,545.7,,,,,,,,,960.9
910001/ST2,K2502016,18758,25.5,210.9,277.2,,,,,,,,,488.1
910001/ST2,K2502016,18869,24.3,201.0,264.1,,,,,,,,,465.1
BK 5425/1,K2507107,10027,8.6,171.7,199.4,,,,,,,,,371.1
BK 5425/1,K2507107,10153,39.3,784.6,911.2,,,,,,,,,"1,695.8"
BK 5425/1,K2507107,10795,52.1,"1,040.1","1,208.0",,,,,,,,,"2,248.1"
BK 7215/6020M,K2506091,14734,6.6,105.6,,,,,,,,,,105.6
BK 7215/6020M,K2506091,19081,46.7,747.2,,,,,,,,,,747.2
BK 7215/6020M,K2506091,19082,46.7,747.2,,,,,,,,,,747.2
BK 8101/0,K2410056,11409,1.5,1.5,,,,,,,,,,1.5
BK 8101/0,K2410056,18341,48.9,47.8,,,,,,,,,,47.8
BK 8101/0,K2410056,18344,49.6,48.5,,,,,,,,,,48.5
C1B3194/1D,K2507064,18598,45.7,500.1,"1,100.2","1,100.2",41.5,,,,,,,"2,742.0"
C1B3194/1D,K2507064,18894,54.3,594.2,"1,307.2","1,307.2",49.4,,,,,,,"3,258.0"
C1B3402-42/1D,K2508038,18307,10.4,202.4,1.7,,,,,,,,,204.0
C1B3402-42/1D,K2508038,18594,41.8,813.4,6.7,,,,,,,,,820.1
C1B3402-42/1D,K2508038,18763,35.4,688.8,5.7,,,,,,,,,694.5
C1B3402-42/1D,K2508038,18894,11.1,216.0,1.8,,,,,,,,,217.8
C1B3402-42/1D,K2508038,18929,1.3,25.3,0.2,,,,,,,,,25.5
C1B3472/1L,K2508055,18307,9.2,247.9,2.3,,,,,,,,,250.2
C1B3472/1L,K2508055,18594,36.6,986.2,9.1,,,,,,,,,995.3
C1B3472/1L,K2508055,18894,9.9,266.8,2.5,,,,,,,,,269.2
C1B3472/1L,K2508055,18929,0.5,13.5,0.1,,,,,,,,,13.6
C1B3472/1L,K2508055,18987,43.8,"1,180.2",10.8,,,,,,,,,"1,191.1"
C1B3912-42/1D,K2508039,18307,9.3,176.3,9.7,,,,,,,,,186.0
C1B3912-42/1D,K2508039,18414,45.1,855.0,47.0,,,,,,,,,902.0
C1B3912-42/1D,K2508039,18594,36,682.4,37.6,,,,,,,,,720.0
C1B3912-42/1D,K2508039,18646,9,170.6,9.4,,,,,,,,,180.0
C1B3912-42/1D,K2508039,18929,0.6,11.4,0.6,,,,,,,,,12.0
C1B3917/1B,K2507068,18414,30.1,,752.5,,,,,,,,,752.5
C1B3917/1B,K2507068,18763,18.3,,457.5,,,,,,,,,457.5
C1B3917/1B,K2507068,18893,11.7,,292.5,,,,,,,,,292.5
C1B3917/1B,K2507068,18894,11.3,,282.5,,,,,,,,,282.5
C1B3917/1B,K2507068,18900,28.6,,715.0,,,,,,,,,715.0
C1B3987C/1DU,K2508057,12047,9.3,239.6,318.4,,,,,,,,,558.0
C1B3987C/1DU,K2508057,18414,46.3,"1,192.8","1,585.2",,,,,,,,,"2,778.0"
C1B3987C/1DU,K2508057,18594,31,798.6,"1,061.4",,,,,,,,,"1,860.0"
C1B3987C/1DU,K2508057,18733,9.6,247.3,328.7,,,,,,,,,576.0
C1B3987C/1DU,K2508057,18929,0.2,5.2,6.8,,,,,,,,,12.0
C1B3987C/1DU,K2508057,19030,3.6,92.7,123.3,,,,,,,,,216.0
C1B4033/1B,K2507069,12526,12.5,,344.6,30.4,,,,,,,,375.0
C1B4033/1B,K2507069,18376,39,,"1,075.0",95.0,,,,,,,,"1,170.0"
C1B4033/1B,K2507069,18763,24.9,,686.4,60.6,,,,,,,,747.0
C1B4033/1B,K2507069,18865,7.7,,212.3,18.7,,,,,,,,231.0
C1B4033/1B,K2507069,18894,15.9,,438.3,38.7,,,,,,,,477.0
C1B4038/1C,K2507067,12526,25.9,,676.6,165.1,,,,,,,,841.8
C1B4038/1C,K2507067,18376,41,,"1,071.1",261.4,,,,,,,,"1,332.5"
C1B4038/1C,K2507067,18893,16.3,,425.8,103.9,,,,,,,,529.8
C1B4038/1C,K2507067,18894,16.8,,438.9,107.1,,,,,,,,546.0
C1B4125A/1CO,K2508001,18233,16.2,199.9,146.6,,,,,,,,,346.5
C1B4125A/1CO,K2508001,18358,8.4,103.7,76.0,,,,,,,,,179.7
C1B4125A/1CO,K2508001,18372,26.2,323.3,237.1,,,,,,,,,560.4
C1B4125A/1CO,K2508001,18894,8.4,103.7,76.0,,,,,,,,,179.7
C1B4125A/1CO,K2508001,19020,40.8,503.5,369.2,,,,,,,,,872.7
C1B4125A/1CO,K2508031,18233,16.2,52.2,,,,,,,,,,52.2
C1B4125A/1CO,K2508031,18358,8.4,27.0,,,,,,,,,,27.0
C1B4125A/1CO,K2508031,18372,26.2,84.4,,,,,,,,,,84.4
C1B4125A/1CO,K2508031,18894,8.4,27.0,,,,,,,,,,27.0
C1B4125A/1CO,K2508031,19020,40.8,131.4,,,,,,,,,,131.4
C1B4125A/1T,K2508075,18233,16.2,223.4,491.5,491.5,170.6,,,,,,,"1,377.0"
C1B4125A/1T,K2508075,18293,8.4,115.8,254.9,254.9,88.4,,,,,,,714.0
C1B4125A/1T,K2508075,18373,26.2,361.3,794.9,794.9,275.9,,,,,,,"2,227.0"
C1B4125A/1T,K2508075,18894,8.4,115.8,254.9,254.9,88.4,,,,,,,714.0
C1B4125A/1T,K2508075,19020,40.8,562.7,"1,237.9","1,237.9",429.6,,,,,,,"3,468.0"
C1B4139A/1B,K2508077,12526,28.5,213.8,,,,,,,,,,213.8
C1B4139A/1B,K2508077,18832,44.4,333.0,,,,,,,,,,333.0
C1B4139A/1B,K2508077,18894,18.2,136.5,,,,,,,,,,136.5
C1B4139A/1B,K2508077,19003,8.9,66.8,,,,,,,,,,66.8
C1B4312A/2RECA,K2507078,12526,15.9,248.7,547.1,473.1,,,,,,,,"1,268.9"
C1B4312A/2RECA,K2507078,18594,27.9,436.4,960.0,830.1,,,,,,,,"2,226.5"
C1B4312A/2RECA,K2507078,18872,8.2,128.3,282.2,244.0,,,,,,,,654.4
