Style #,Order #,Customer,Roll #,Vendor Roll #,Rack,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Received
BK8322/0,D40508,"CFAB - CREATIVE FABRIC SERVICE, LLC",004050801,4050801,302,57.9,22.4,0,0,4/7/2020
BK8322/0,D40508,"CFAB - CREATIVE FABRIC SERVICE, LLC",004050802,4050802,302,98.8,44.0,0,0,4/7/2020
BK8322/0,D40508,"CFAB - CREATIVE FABRIC SERVICE, LLC",004050803,4050803,302,107.9,46.9,0,0,4/7/2020
BK8321OW/0,D40539,"CFAB - CREATIVE FABRIC SERVICE, LLC",004053901,4053901,302,62.0,29.2,0,0,4/15/2020
BK8321OW/0,D40656,"CFAB - CREATIVE FABRIC SERVICE, LLC",204065601,4065601,SR5,64.0,29.8,0,0,6/17/2025
BK8321OW/0,D40656,"CFAB - CREATIVE FABRIC SERVICE, LLC",004065602,4065602,302,63.0,31.0,0,0,4/15/2020
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",004078516,4078516,SL134,73.8,42.7,0,0,4/24/2020
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",004078517,4078517,SL134,69.6,42.0,0,0,4/24/2020
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",004078518,4078518,SL134,69.0,44.5,0,0,4/24/2020
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",004078519,4078519,SL134,78.4,50.3,0,0,4/24/2020
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",004078520,4078520,SL134,65.3,39.3,0,0,4/24/2020
BK8328/CC,D40903,"CFAB - CREATIVE FABRIC SERVICE, LLC",004090301,4090301,SL134,89.4,46.3,0,0,4/27/2020
BK8328/CC,D40903,"CFAB - CREATIVE FABRIC SERVICE, LLC",004090302,4090302,SL134,87.3,42.0,0,0,4/27/2020
BK8328/CC,D40903,"CFAB - CREATIVE FABRIC SERVICE, LLC",004090303,4090303,SL134,87.6,43.4,0,0,4/27/2020
BK8328/CC,D40903,"CFAB - CREATIVE FABRIC SERVICE, LLC",004090304,4090304,SL134,85.2,42.3,0,0,4/27/2020
BK8336-1/0,D41497,"CFAB - CREATIVE FABRIC SERVICE, LLC",004149701,4149701,222B,43.0,31.6,0,0,2/17/2021
BK8336-0/0,D41632,"CFAB - CREATIVE FABRIC SERVICE, LLC",004163201,4163201,222B,44.3,44.7,0,0,2/17/2021
BK8336-0/0,D41632,"CFAB - CREATIVE FABRIC SERVICE, LLC",004163202,4163202,222B,20.5,16.3,0,0,2/17/2021
BK8336-0/0,D41632,"CFAB - CREATIVE FABRIC SERVICE, LLC",004163203,4163203,222B,63.0,43.2,0,0,2/17/2021
BK8336-0/0,D41632,"CFAB - CREATIVE FABRIC SERVICE, LLC",004163204,4163204,222B,72.5,49.0,0,0,2/17/2021
BK8336-0/0,D41632,"CFAB - CREATIVE FABRIC SERVICE, LLC",004163205,4163205,222B,66.1,39.1,0,0,2/17/2021
BK8336-1/0,D41634,"CFAB - CREATIVE FABRIC SERVICE, LLC",004163401,4163401,222B,67.0,49.7,0,0,2/17/2021
BK8328/0,D41802,"CFAB - CREATIVE FABRIC SERVICE, LLC",004180212,4180212,SL100,85.0,18.5,0,0,6/2/2020
BK8340/0,D42247,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224701,4224701,SL114,55.0,43.5,0,0,7/20/2020
BK8340/0,D42247,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224702,4224702,SL114,76.0,36.1,0,0,7/20/2020
BK8340/0,D42247,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224703,4224703,SL114,82.0,29.9,0,0,7/20/2020
BK8340/0,D42247,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224704,4224704,SL114,77.0,36.4,0,0,7/20/2020
BK8340/0,D42247,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224705,4224705,SL114,78.0,41.5,0,0,7/20/2020
BK8313/0,D42248,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224801,4224801,222B,84.1,47.7,0,0,2/17/2021
BK8313/0,D42248,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224802,4224802,222B,83.0,47.2,0,0,2/17/2021
BK8328/0,D42249,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224912,4224912,SL114,74.0,43.4,0,0,7/20/2020
BK8328/0,D42249,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224913,4224913,SL114,70.0,43.3,0,0,7/20/2020
BK8328/0,D42249,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224914,4224914,SL114,106.0,35.8,0,0,7/20/2020
BK8328/0,D42249,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224915,4224915,SL114,57.0,36.5,0,0,7/20/2020
BK8328/0,D42249,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224916,4224916,SL114,84.0,46.1,0,0,7/20/2020
BK8328/0,D42249,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224917,4224917,SL114,83.0,35.7,0,0,7/20/2020
BK8328/0,D42249,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224918,4224918,SL114,82.0,39.7,0,0,7/20/2020
BK8328/0,D42249,"CFAB - CREATIVE FABRIC SERVICE, LLC",004224919,4224919,SL114,80.0,37.9,0,0,7/20/2020
BK8328/CCWW,D42256,"CFAB - CREATIVE FABRIC SERVICE, LLC",004225618,927504,SL114,84.6,39.5,0,0,7/9/2020
BK8328/CCWW,D42256,"CFAB - CREATIVE FABRIC SERVICE, LLC",004225619,927505,SL114,89.7,37.0,0,0,7/9/2020
BK8328/CCWW,D42256,"CFAB - CREATIVE FABRIC SERVICE, LLC",004225620,927506,SL114,90.6,39.4,0,0,7/9/2020
BK8328/CCWW,D42622,"CFAB - CREATIVE FABRIC SERVICE, LLC",004262204,29929024,PALLET1,76.2,45.8,0,0,8/7/2020
BK8328/CCWW,D42622,"CFAB - CREATIVE FABRIC SERVICE, LLC",004262206,29929026,PALLET1,76.7,44.9,0,0,8/7/2020
BK8328/CCWW,D42622,"CFAB - CREATIVE FABRIC SERVICE, LLC",004262210,29929030,PALLET1,77.5,44.3,0,0,8/7/2020
BK8328/CCWW,D42622,"CFAB - CREATIVE FABRIC SERVICE, LLC",004262211,29929031,PALLET1,78.5,45.2,0,0,8/7/2020
BK8328/CCWW,D42622,"CFAB - CREATIVE FABRIC SERVICE, LLC",004262215,29929035,PALLET1,78.8,45.1,0,0,8/7/2020
