fStyle,DO,Processor,Customer,Roll #,Qty (lbs),gStyle,Ship Date
CF5049N/0,D53944,Creative Dyeing & Finishing,NSAP - NATIONAL SAFETY APPAREL,136854001,51.0,CF5049N/0,5/3/2022
CF5076/0,D54607,Creative Dyeing & Finishing,"CFAB - CREATIVE FABRIC SERVICE, LLC",037242001,40.5,CF5076/0,6/20/2022
CF5109-0/0,D62570,Creative Dyeing & Finishing,KITH - KEEP IT HERE,037839017,51.3,CF5109/0,3/14/2024
CF5109-0/0,D62570,Creative Dyeing & Finishing,KITH - KEEP IT HERE,037839054,50.6,CF5109/0,3/14/2024
CF5109-OLV/0,D69654,Creative Dyeing & Finishing,KITH - KEEP IT HERE,037839085,25.8,CF5109/0,8/26/2025
CF5109-NVY/0,D69271,Creative Dyeing & Finishing,KITH - KEEP IT HERE,037839092,25.6,CF5109/0,7/29/2025
CF5166-0/0,D56298,Creative Dyeing & Finishing,KITH - KEEP IT HERE,138382009,49.0,CF5166/0,10/10/2022
CF5166-0/0,D56298,Creative Dyeing & Finishing,KITH - KEEP IT HERE,138382014,42.8,CF5166/0,10/10/2022
CF5166-0/0,D56298,Creative Dyeing & Finishing,KITH - KEEP IT HERE,038382015,47.7,CF5166/0,10/10/2022
CF5166-0/0,D56298,Creative Dyeing & Finishing,KITH - KEEP IT HERE,038382016,46.9,CF5166/0,10/10/2022
CF5165-0/0,D56286,Creative Dyeing & Finishing,KITH - KEEP IT HERE,038512005,49.5,CF5165/0,10/10/2022
CF5165-0/0,D56286,Creative Dyeing & Finishing,KITH - KEEP IT HERE,038512006,48.6,CF5165/0,10/10/2022
CF5165-0/0,D56286,Creative Dyeing & Finishing,KITH - KEEP IT HERE,038512007,48.3,CF5165/0,10/10/2022
CF5165-0/0,D56286,Creative Dyeing & Finishing,KITH - KEEP IT HERE,038512008,48.8,CF5165/0,10/10/2022
CF5132/0,D56615,Creative Dyeing & Finishing,NEWB - NEW BALANCE,038665001,53.1,CF5132/0,10/31/2022
CF5190/0,D56628,South Fork Finishing,NEWB - NEW BALANCE,038701001,12.9,CF5190/0,11/2/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883011,49.6,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883012,49.8,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883013,49.1,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883016,50.0,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883017,49.7,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883020,49.8,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883021,49.9,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883024,49.9,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883025,49.7,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883026,49.7,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883027,49.8,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883028,49.9,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883029,50.0,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883030,49.7,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883032,49.6,RB24/0,12/7/2022
RB24/0,D57016,South Fork Finishing,BEEH - BEEHIVE CLOTHING,038883033,49.8,RB24/0,12/7/2022
CF5072-0/CF5072-1,D57252,Creative Dyeing & Finishing,"CFAB - CREATIVE FABRIC SERVICE, LLC",138987001,46.7,CF5072/CI,12/19/2022
CF5072-0/CF5072-1,D57252,Creative Dyeing & Finishing,"CFAB - CREATIVE FABRIC SERVICE, LLC",038987002,54.0,CF5072/CI,12/19/2022
CF5204/0,D60041,South Fork Finishing,"CFAB - CREATIVE FABRIC SERVICE, LLC",039347001,40.2,CF5204/0,8/11/2023
CF5204/0,D60041,South Fork Finishing,"CFAB - CREATIVE FABRIC SERVICE, LLC",039347002,39.6,CF5204/0,8/11/2023
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467261,40.8,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467262,40.8,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467263,40.0,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467264,40.8,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467265,40.8,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467266,39.9,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467267,40.0,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467268,40.7,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467269,41.4,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467270,40.9,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467271,40.8,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,139467272,37.9,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467273,40.6,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467274,40.3,911601/TCFAB,10/28/2024
911601-499/0,D65878,Creative Dyeing & Finishing,SGKN - SG KNITS,039467275,40.2,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467276,40.7,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467277,40.1,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467278,39.8,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467279,40.9,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467280,40.5,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467281,40.8,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467282,40.7,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467283,39.8,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467284,39.9,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467285,40.6,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467286,40.7,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467287,40.7,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467288,39.6,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467289,40.8,911601/TCFAB,10/28/2024
911601-499/0,D65879,Creative Dyeing & Finishing,SGKN - SG KNITS,039467290,40.4,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467291,40.7,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467292,40.7,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467293,40.7,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467294,40.0,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467295,40.7,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467296,40.2,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467297,40.1,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467298,40.6,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467299,40.8,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467300,40.8,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467301,40.7,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467302,40.7,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467303,39.8,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467304,40.5,911601/TCFAB,10/28/2024
911601-499/0,D65880,Creative Dyeing & Finishing,SGKN - SG KNITS,039467305,40.0,911601/TCFAB,10/28/2024
