Desc#,QS Cust,Supplier,Description,Color,Beginning Balance,Received,Consumed,Adjustments,Theoretical Balance,Misc,On Order,Allocated,Planning Balance,Reconcile Date,Cost/Pound,Total Cost
739,CFAB,The LYCRA Company LLC,1/40 100% Lycra Clear 162C,Clear,300.10,,0.00,,300.10,,0.00,0.00,300.10,2025-06-27,$5.96 ,"$1,788.60 "
1571,CFAB,The LYCRA Company LLC,1/70 100% Lycra Clear 162C,Clear,224.10,,0.00,,224.10,,0.00,-185.14,38.96,2025-06-27,$5.92 ,"$1,326.67 "
2307,CFAB,The LYCRA Company LLC,1/140 100% Lycra Clear 162C,Clear,104.00,,0.00,,104.00,,0.00,0.00,104.00,2025-06-27,$9.50 ,$988.00 
2363,CFAB,The LYCRA Company LLC,1/70 100% Lycra BRT 162B,BRT,46.50,,0.00,,46.50,,0.00,0.00,46.50,2025-06-27,$5.94 ,$276.21 
3315,CFAB,The LYCRA Company LLC,1/105 100% Lycra BRT 162B,BRT,780.90,,0.00,,780.90,,0.00,0.00,780.90,2025-06-27,$10.15 ,"$7,926.14 "
5586,CFAB,The LYCRA Company LLC,1/40 100% Lycra BRT 162B,BRT,394.90,,0.00,,394.90,,0.00,0.00,394.90,2025-06-27,$5.89 ,"$2,325.96 "
5690,CFAB,The LYCRA Company LLC,1/30 100% Lycra BRT 162B,BRT,27.80,,0.00,,27.80,,0.00,0.00,27.80,2025-06-27,$8.21 ,$228.24 
6083,CFAB,UNIFI,1/150/36 100% Polyester NAT SUB SETNTS,NAT SUB,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
6168,CFAB,BEAL MANUFACTURING INC,11/1 Modacrylic/Fiberglass Natural PRTXC,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$5.03 ,$0.00 
6674,CFAB,BUHLER QUALITY YARNS CORP,60/1 100% Combed Cotton Natural Z RS,Natural,945.30,,0.00,,945.30,,0.00,0.00,945.30,2025-06-27,$9.78 ,"$9,245.03 "
6864,CFAB,SPUNLAB,11/1/  Modacrylic/Rayon/Glass Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$3.27 ,$0.00 
6883,CFAB,MCMICHAELS MILL INC (SAPONA),1/87/34 Nylon/Spandex Natural 1/40 AE 1/70,Natural,144.00,,0.00,,144.00,,0.00,0.00,144.00,2025-06-27,$5.35 ,$770.40 
6938,CFAB,UNIFI,1/150/34 100% Polyester Natural NONTS,Natural,811.00,,0.00,,811.00,CT,0.00,0.00,811.00,2025-06-27,$1.05 ,$851.55 
7716,CFAB,PARKDALE YARN MILLS,24/1 100% Combed Cotton Natural RS,Natural,0.00,,-196.04,,-196.04,CT,0.00,0.00,-196.04,2025-06-27,$2.31 ,($452.86)
7726,CFAB,PARKDALE YARN MILLS,12/1 100% Karded Cotton Natural OE,Natural,"3,480.20",,-228.24,,"3,251.96",,0.00,0.00,"3,251.96",2025-06-27,$1.44 ,"$4,682.83 "
7907,CFAB,CREORA/US Hyosung,1/40 100% Spandex Black H300,Black,745.00,,0.00,,745.00,,0.00,0.00,745.00,2025-06-27,$5.25 ,"$3,911.25 "
7996,CFAB,PARKDALE YARN MILLS,20/1 Karded Cotton Natural RS,Natural,416.00,,0.00,,416.00,,0.00,0.00,416.00,2025-06-27,$1.82 ,$757.12 
8351,CFAB,UNIFI,1/100/36 100% Polyester Natural SETNTS,Natural,"2,223.00",,0.00,,"2,223.00",,0.00,-42.93,"2,180.07",2025-06-27,$0.39 ,$866.97 
8361,CFAB,INMAN MILLS,11/1 59/41 Modacrylic/Fiberglass Natural FIREGM,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
8866,CFAB,UNIFI,2/150/34 100% Polyester BEIGE S 9223F,BEIGE S,63.00,,0.00,,63.00,,0.00,0.00,63.00,2025-06-27,$3.41 ,$214.83 
9254,CFAB,UNIFI,1/70/68 100% Nylon Full Dull S stretch,Full Dull,107.00,,0.00,,107.00,,0.00,0.00,107.00,2025-06-27,$4.75 ,$508.25 
9296,CFAB,UNIFI,1/150/34 100% Polyester Black SATURA,Black,"1,567.00",,0.00,,"1,567.00",,0.00,0.00,"1,567.00",2025-06-27,$2.13 ,"$3,337.71 "
9859,CFAB,UNIFI,1/300/68 100% Polyester Natural T56,Natural,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$0.70 ,$0.00 
9863,CFAB,UNIFI,1/2150/464 100% Polyester BLK/DOL 7-258,BLK/DOL,896.10,"21,673.00","-16,629.60",,"5,939.50",,"11,789.90","-9,797.20","7,932.20",2025-06-27,$4.19 ,"$24,886.50 "
9885,CFAB,UNIFI,2/150/34 100% Polyester Brown 0226J,Brown,405.00,,0.00,,405.00,,0.00,0.00,405.00,2025-06-27,$2.79 ,"$1,129.95 "
10024,CFAB,UNIFI,3/300/68 100% Polyester Natural T56STR,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$1.80 ,$0.00 
