PO Date,PO #,Purchased From,Desc,Price,INVEN,PO Order Amt,Rec'd,PO Bal,Unscheduled or Past Due,This Week,9/12/2025,9/19/2025,9/26/2025,10/3/2025,10/10/2025,10/17/2025,10/24/2025,10/31/2025,Later,Type,Ply,Size,Filament,Color,Blend
2024-03-04 14:40:38,Y2403001,Deca Global,18737,2.41,3829.9288239999996,22000,14825.7,7174.299999999999,7174.3,,,,,,,,,,,Polyester,1,150,48.0,Cashmere,100%
2024-03-04 14:43:36,Y2403002,Deca Global,18927,1.5,1064.5852400000003,51000,49993.6,1006.4000000000015,1006.4,,,,,,,,,,,Polyester,2,300,72.0,Semi Dull,100%
2024-03-05 10:46:48,Y2403004,CS America,18904,2.55,3542.8193039999996,20000,13551.0,6449.0,-3151.0,2400.0,,,,2400.0,,,,2400.0,2400.0,Polyester,1,150,36.0,China Grey,100%
2024-03-11 11:39:09,Y2403018,SpunLab Performance Yarns,18659,4.9,21012.68,54000,45826.0,8174.0,8174.0,,,,,,,,,,,Polyester/Modal Rayon/Karded Cotton,40,1,,Natural,50/37/13
2024-09-11 16:05:57,Y2409017,Deca Global,18893,2.1,1861.4808628,12000,2535.2,9464.8,9464.8,,,,,,,,,,,Polyester,1,150,48.0,Connect Blue,100%
2024-09-11 16:10:11,Y2409019,Deca Global,18927,1.5,1064.5852400000003,25000,0.0,25000.0,25000.0,,,,,,,,,,,Polyester,2,300,72.0,Semi Dull,100%
2024-10-11 09:22:38,Y2410014,Deca Global,18785,8.12,1200.246872,5000,3348.0,1652.0,1652.0,,,,,,,,,,,Polyethylene,1,300,120.0,Dark Grey,100%
2024-10-22 08:51:29,Y2410046,Deca Global,18594,5.15,10888.450948199996,46500,26376.0,20124.0,8624.0,5000.0,,6500.0,,,,,,,,Polyethylene,1,300,120.0,Natural,100%
2024-10-24 14:24:42,Y2410055,Deca Global,18993,1.75,3368.308036,40000,5460.8,34539.2,34539.2,,,,,,,,,,,Polyester,1,75,36.0,Black,100%
2024-11-05 16:27:18,Y2411010,Deca Global,18998,1.58,5824.8,13300,5782.6,7517.4,7517.4,,,,,,,,,,,Polyester,24,1,,Black 5%,95/5
2024-11-13 17:37:26,Y2411036,OMara Textiles,18184,3.6,1176.483212,3000,1981.0,1019.0,1019.0,,,,,,,,,,,Polyester,1,150,36.0,Capri,100%
2024-11-20 10:41:19,Y2411049,Deca Global,19009,1.95,0.0,8000,0.0,8000.0,8000.0,,,,,,,,,,,Combed Cotton/Polyester,20,1,,Natural,60/40
2024-11-21 07:41:34,Y2411053,OMara Textiles,18988,3.55,6339.0,6000,3493.0,2507.0,2507.0,,,,,,,,,,,Polyester,1,150,36.0,Raspberry,100%
2024-12-10 15:59:19,Y2412017,Parkdale Yarn Mills,18432,4.81,16183.1,24570,16449.0,8121.0,8121.0,,,,,,,,,,,Modacrylic/Karded Cotton,8,1,,Natural,55/45
2024-12-17 09:22:14,Y2412025,OMara Textiles,11967,3.7,674.0,4000,3115.0,885.0,885.0,,,,,,,,,,,Polyester,1,150,34.0,Merrimack,100%
2024-12-20 14:08:48,Y2412032,Deca Global,19025,2.17,0.0,7000,0.0,7000.0,7000.0,,,,,,,,,,,Polyester,1,150,36.0,Orange,100%
2024-12-20 14:14:03,Y2412034,Deca Global,18927,1.5,1064.5852400000003,15000,0.0,15000.0,15000.0,,,,,,,,,,,Polyester,2,300,72.0,Semi Dull,100%
2024-12-26 09:24:18,Y2412035,Inman Mills,18991,3.45,2382.2,4256,1988.0,2268.0,2268.0,,,,,,,,,,,FRL-PZ Rayon,14,1,,Natural,100%
2025-01-15 16:23:45,Y2501025,Deca Global,18703,2.18,107.0,40000,21120.1,18879.9,18879.9,,,,,,,,,,,Combed Cotton/Polyester,38,1,,Semi Dull,60/40
2025-01-31 11:43:45,Y2501090,BUHLER,18884,7.35,2506.1839999999984,30000,9838.7,20161.3,20161.3,,,,,,,,,,,Modacrylic/Tencel/Nylon,21,1,,Natural,75/15/10
2025-02-03 13:32:53,Y2502001,Deca Global,18785,8.05,1200.246872,7500,0.0,7500.0,7500.0,,,,,,,,,,,Polyethylene,1,300,120.0,Dark Grey,100%
