WC,MACH
1.17.29.F,161
1.19.22.V,163
1.26.18.F,120
1.26.28.F,177
1.26.36.F,21
1.30.10.F,127
1.30.14.F,41
1.30.14.F,11
1.30.18.F,97
1.30.20.F,58
1.30.20.F,44
1.30.20.FOW,216
1.30.20.M,210
1.30.20.M,207
1.30.20.M,206
1.30.22.F,34
1.30.24.F,541
1.30.24.F,60
1.30.24.F,59
1.30.24.F,57
1.30.24.T,209
1.30.24.T,208
1.30.28.F,78
1.30.28.F,77
1.30.28.F,39
1.30.28.F,32
1.30.28.F,23
1.30.28.F,22
1.30.28.F,19
1.30.28.F,16
1.30.28.F,12
1.30.28.V,220
1.30.28.V,219
1.30.28.V,218
1.30.28.V,217
1.30.32.F,73
1.30.32.F,18
1.30.36.F,43
1.32.30.F,17
1.38.28.M,556
1.38.28.M,552
1.38.28.M,542
1.40.20.F,539
1.40.30.F,13
1.40.33.F,6
1.52.16.F,501
1.56.17.F,564
1.56.17.F,563
1.56.17.F,559
1.60.16.F,502
1.60.20.F,504
1.60.20.F,562
1.60.28.F,506
1.60.28.F,505
1.7.28.F,165
10.30.14.M,26
10.30.18.M,27
2.26.10.C,37
2.26.12.F,45
2.26.28.F,162
2.30.28.F,66
2.30.28.F,31
4.26.18.C,28
4.26.18.F,226
4.26.20.F,176
4.26.20.F,173
4.26.20.F,172
4.26.20.F,119
4.26.20.F,118
4.26.24.C,234
4.26.24.C,233
4.26.24.C,225
4.26.24.C,169
4.26.24.C,152
4.26.24.C,141
4.26.24.C,105
4.26.24.C,74
4.26.24.C,67
4.26.24.C,42
4.26.24.C,38
4.26.24.C,36
4.26.24.F,153
4.26.24.F,151
4.26.24.F,86
4.26.24.F,35
4.26.24.F,25
4.26.28.C,175
4.26.28.C,174
4.26.28.C,170
4.26.28.C,140
4.26.28.C,138
4.26.28.F,250
4.26.28.F,244
4.26.28.F,238
4.26.28.F,227
4.26.28.F,180
4.26.28.F,171
4.26.28.F,168
4.26.28.F,167
4.26.28.F,53
4.26.28.F,30
4.26.28.F,29
4.30.20.C,248
4.30.20.C,247
4.30.20.C,246
4.30.20.C,239
4.30.20.C,237
4.30.20.C,236
4.30.20.C,145
4.30.20.C,144
4.30.20.C,143
4.30.20.C,142
4.30.20.C,130
4.30.20.C,129
4.30.20.C,85
4.30.20.C,55
4.30.20.C,49
4.30.20.C,48
4.30.20.C,10
4.30.24.C,243
4.30.24.C,242
4.30.24.C,235
4.30.24.C,157
4.30.24.C,156
4.30.24.C,155
4.30.24.C,139
4.30.24.C,108
4.30.24.C,107
4.30.24.C,79
4.30.24.C,71
4.30.24.C,54
4.30.24.C,51
4.30.24.C,50
4.30.24.C,24
5.30.20.F,15
5.34.18.F,240
6.13.15.V,530
6.14.14.V,520
6.17.14.V,555
6.24.10.F,511
6.30.10.F,535
6.30.10.F,533
6.30.10.F,527
6.30.10.F,524
6.30.10.F,517
6.30.10.F,512
6.30.13.F,538
6.30.13.F,516
6.30.13.F,514
6.30.14.F,549
6.30.14.F,537
6.30.14.F,536
6.30.14.F,526
6.30.14.F,515
6.30.14.F,513
6.30.14.F,75
6.30.14.F,65
6.30.18.F,534
6.30.18.F,115
6.30.18.F,111
6.30.18.F,104
6.30.18.F,101
6.30.18.F,95
6.30.18.F,33
6.30.20.F,124
6.30.20.F,117
6.30.22.F,94
6.30.24.F,249
6.30.24.F,245
6.30.24.F,231
6.30.24.F,149
6.30.24.F,106
6.30.24.F,92
6.30.24.F,81
6.30.24.F,72
6.30.24.F,56
6.30.24.FOW,230
6.30.28.F,132
6.30.28.F,126
6.30.28.F,102
6.30.28.F,93
6.30.28.F,83
6.30.28.F,82
6.30.28.F,76
6.30.28.F,70
6.30.28.F,64
6.30.28.F ,121
6.30.28.FOW,215
6.30.32.F,241
6.30.32.F,232
6.30.32.F,131
6.30.32.F,125
6.30.32.F,114
6.30.32.F,80
6.30.32.F,69
6.30.32.F ,122
6.30.36.FOW,229
6.30.36.FOW,228
6.30.9.F,528
6.30.9.F,525
6.33.15.F,523
6.38.11.F,554
6.38.12.F,547
6.38.13.F,551
6.38.13.F,522
6.38.14.F,553
6.38.15.F,545
6.38.15.F,532
6.38.15.F,529
6.38.15.F,521
6.38.18.F,558
6.38.18.F,557
6.38.18.F,546
6.38.18.F,544
6.38.18.F,519
6.38.20.F,548
6.38.20.F,543
6.38.20.F,518
6.38.20.F,137
6.38.24.F,136
6.38.24.F,89
6.38.28.F,91
6.38.28.F,90
6.38.9.F,531
6.60.24.F,503
6.60.24.F,567
6.60.24.F,566
6.60.24.F,565
6.9.12.V,68
7.30.18.M,113
7.34.16.P,63
7.34.16.P,62
7.34.16.P,61
8.30.18.F,150
8.30.18.F,148
8.30.18.F,116
8.30.24.F,109
8.30.24.F,87
8.30.28.F,154
8.30.28.F,128
8.30.28.F,103
8.30.28.F,99
