Document,Invoice Date,Customer,Style,Qty Shipped,UOM,Unit Price,Line Price,1st Invoice,Sales Rep,Commission,Selling Co,PO#
S2311093,1/2/2024,"HFI, LLC",1SM0470-30G,136,yds,$10.74 ,"$1,460.64 ",INV0006403,House,,CFAB,26689
S2311096,1/2/2024,"HFI, LLC",751SM0780,138,yds,$12.02 ,"$1,661.16 ",INV0006403,House,,CFAB,39287
S2401010,1/3/2024,Tube Specialties,(Greige) 205FLX2006/M,456,lbs,$4.37 ,"$1,991.41 ",INV0006408,House,,CFAB,4500101121
S2312393,1/3/2024,NEW BALANCE,CF5117-PH,295,yds,$4.06 ,"$1,197.70 ",INV0006406,House,,CFAB,S125-4
S2312394,1/3/2024,NEW BALANCE,CF5117-SS,303,yds,$4.06 ,"$1,230.18 ",INV0006406,House,,CFAB,S125-4
S2312390,1/3/2024,NEW BALANCE,CF5117-DG,316,yds,$4.06 ,"$1,282.96 ",INV0006406,House,,CFAB,S125-4
S2312382,1/3/2024,NEW BALANCE,CF5113-MG,140,yds,$9.04 ,"$1,265.60 ",INV0006406,House,,CFAB,S125-4
S2312384,1/3/2024,NEW BALANCE,CF5113-DG,19,yds,$9.04 ,$171.76 ,INV0006406,House,,CFAB,S125-4
S2312391,1/3/2024,NEW BALANCE,CF5288-PH,42,yds,$4.39 ,$184.38 ,INV0006406,House,,CFAB,S125-4
S2312385,1/3/2024,NEW BALANCE,CF5113-PH,105,yds,$9.04 ,$947.39 ,INV0006406,House,,CFAB,S125-4
S2312392,1/3/2024,NEW BALANCE,CF5288-DG,42,yds,$4.39 ,$184.38 ,INV0006406,House,,CFAB,S125-4
S2312380,1/3/2024,Serta Restokraft Mattress Co Inc,50000173,243,yds,$3.58 ,$870.66 ,INV0006407,House,,CT,49727
S2312379,1/3/2024,Serta Restokraft Mattress Co Inc,50000176,23,yds,$5.60 ,$128.80 ,INV0006407,House,,CT,49727
S2312387,1/3/2024,NEW BALANCE,CF5112-0,83,yds,$9.88 ,$820.04 ,INV0006406,House,,CFAB,S125-4
S2312383,1/3/2024,NEW BALANCE,CF5114-0,439,yds,$9.24 ,"$4,056.36 ",INV0006406,House,,CFAB,S125-4
S2312381,1/3/2024,NEW BALANCE,CF5115-MG,508,yds,$8.05 ,"$4,087.79 ",INV0006406,House,,CFAB,S125-4
S2312386,1/3/2024,NEW BALANCE,CF5115-PH,273,yds,$8.05 ,"$2,196.04 ",INV0006406,House,,CFAB,S125-4
S2312388,1/3/2024,NEW BALANCE,CF5115-DG,494,yds,$8.05 ,"$3,974.29 ",INV0006406,House,,CFAB,S125-4
S2312245,1/3/2024,Crypton Inc,(Greige) C4T4131/TT1U,1032,yds,$10.36 ,"$10,691.52 ",INV0006401,House,,CT,AP_PO071450
S2401011,1/3/2024,Tube Specialties,(Greige) 205FLX2006/0,342,lbs,$4.37 ,"$1,494.54 ",INV0006408,House,,CFAB,4500101121
S2312368,1/3/2024,Hemingway Sewing Solutions,CEE2839-1,543,each,$23.62 ,"$12,825.66 ",INV0006409,House,,CT,122623
S2312370,1/3/2024,Hemingway Sewing Solutions,STORMY-GREY-76,1800,yds,$1.45 ,"$2,610.00 ",INV0006409,House,,CT,122623
S2312367,1/3/2024,Hemingway Sewing Solutions,CEE2748-1,450,each,$21.75 ,"$9,787.50 ",INV0006409,House,,CT,122623
S2312369,1/3/2024,Hemingway Sewing Solutions,CEE2749-1,369,each,$26.93 ,"$9,937.17 ",INV0006409,House,,CT,122623
S2312366,1/3/2024,Hemingway Sewing Solutions,CEE2838-1,452,each,$27.76 ,"$12,547.52 ",INV0006409,House,,CT,122623
S2312389,1/3/2024,NEW BALANCE,CF5288-SS,41,yds,$4.39 ,$179.99 ,INV0006406,House,,CFAB,S125-4
S2401005,1/3/2024,Beehive Clothing,210787/JC24,8516,yds,$5.14 ,"$43,772.24 ",INV0006404,House,,CFAB,D101-267249
S2401007,1/3/2024,Beehive Clothing,210787/JC24,8393,yds,$5.14 ,"$43,140.02 ",INV0006404,House,,CFAB,D101-264790
