PO#,Status,Desc#,Ordered,Requested,Quoted,Qty,Balance,Supplier,Size,Type,Color,Description,$/lb,Total $
Y2508031,Open,18894,2025-08-28 16:25:08,2025-09-02,,3000,3000.0,DECA GLOBAL,150/1/48,Polyester,Torso Blue,1/150/48 100% Polyester Torso Blue ,2.15,6450.0
Y2508030,Open,18233,2025-08-28 13:18:49,2025-09-04,,3000,3000.0,PROMPTEX YARNS INC,150/1/48,Polyester,BRT,1/150/48 100% Polyester BRT TRILOB ,1.33,3990.0
Y2508029,Open,18763,2025-08-28 12:15:42,2025-09-03,,30000,30000.0,DECA GLOBAL,300/2/68,Polyester,Semi Dull,2/300/68 100% Polyester Semi Dull LIM (Low Intermingle) SH (Single Heater) ,1.18,35400.0
Y2508028,Open,18469,2025-08-28 10:06:53,2025-09-04,,600,600.0,HYOSUNG HOLDINGS USA INC,50/1/1,Polyester,Semi Dull,1/50/1 100% Polyester Semi Dull Monofilament ,2.32,1392.0
Y2508027,Open,12526,2025-08-26 21:23:30,2025-09-08,,20000,20000.0,UNIFI,300/1/68,Polyester,Natural,1/300/68 100% Polyester Natural Non-Compliant STRNTS ,1.15,23000.0
Y2508023,"Open, Partially Received",18376,2025-08-21 14:29:01,2025-08-27,,6000,3592.6,DECA GLOBAL,1/30/null,Polyester,Natural,30/1 100% Polyester Natural RS,1.42,8520.0
Y2508021,Open,18771,2025-08-21 13:38:54,2025-08-25,,8500,8500.0,CS AMERICA,150/1/96,Polyester,Semi Dull,1/150/96 100% Polyester Semi Dull ,1.87,15895.0
Y2508015,Open,18966,2025-08-14 14:30:29,2025-08-25,,250,250.0,Betareks A. S.,69/1/null,Lurex,Silver,1/69 100% Lurex Silver 2X20 silver lurex ,9.5,2375.0
Y2508014,"Open, Partially Received",18307,2025-08-14 14:24:57,2025-09-01,,1155,63.0,MERIDIAN SPECIALTY YARN GROUP INC,150/1/36,Polyester,IRIS,1/150/36 100% Polyester IRIS ,3.45,3984.75
Y2508013,Open,18771,2025-08-13 13:48:34,2025-08-18,,3500,3500.0,CS AMERICA,150/1/96,Polyester,Semi Dull,1/150/96 100% Polyester Semi Dull ,1.87,6545.0
Y2508012,Open,11896,2025-08-13 11:36:11,2025-08-25,,12000,12000.0,UNIFI,750/1/192,Polyester,BLK SATUR,1/750/192 100% Polyester BLK SATUR 56BXUV ,4.19,50280.00000000001
Y2508011,"Open, Partially Received",18375,2025-08-11 16:28:55,2025-08-13,,6500,4100.0,DECA GLOBAL,1/20/null,Polyester,Natural,20/1 100% Polyester Natural RS,1.4,9100.0
Y2508009,Open,19076,2025-08-08 11:33:01,2025-09-29,,4850,4850.0,COMTRADE,1/24/null,Combed Cotton,Natural,24/1 100% Combed Cotton Natural RS,2.5,12125.0
Y2508008,Open,18865,2025-08-07 09:15:10,2025-09-08,,16649,16649.0,UNIFI,70/1/34,Polyester,Natural,1/70/34 100% Polyester Natural Virgin 56T ,0.65,10821.85
Y2508007,"Open, Partially Received",18290,2025-08-06 15:03:43,2025-09-01,,5000,2631.2,UNIFI,150/1/34,Polyester,Dawn Grey,1/150/34 100% Polyester Dawn Grey ,5.31,26549.999999999996
Y2508006,Open,10027,2025-08-06 15:01:55,2025-09-01,,5000,5000.0,UNIFI,150/2/34,Polyester,SOLDY BLK,2/150/34 100% Polyester SOLDY BLK SET W/ TACKS SATURA ,2.6,13000.0
Y2508002,Open,18884,2025-08-04 08:41:09,2025-10-20,,16000,16000.0,BUHLER QUALITY YARNS CORP,1/21/null,Modacrylic/Tencel/Nylon,Natural,21/1 75/15/10 Modacrylic/Tencel/Nylon Natural Protex C - G100 MVS,7.9,126400.0
Y2508001,Open,18293,2025-08-01 08:07:58,2025-08-25,,840,840.0,MERIDIAN SPECIALTY YARN GROUP INC,150/1/36,Polyester,MAR ROYAL,1/150/36 100% Polyester MAR ROYAL 4015-01240 ,3.19,2679.6
Y2507052,Open,19089,2025-07-31 16:25:26,2025-09-08,,3000,3000.0,FILSPEC Yarns,1/26/null,Modacrylic/Rayon/Nylon,Natural,26/1 75/15/10 Modacrylic/Rayon/Nylon Natural Protex C - FR RS,10.3,30900.000000000004
Y2507047,Open,18961,2025-07-29 14:37:26,2025-09-01,,3000,3000.0,OMARA TEXTILES,150/1/34,Polyester,Dawn Grey,1/150/34 100% Polyester Dawn Grey ,2.45,7350.000000000001
