Yarn Demand Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarn,Supplier,Description,Color,Monday Inventory,Total Demand,Total Receipt,Balance,Past Due Receipts,,Demand This Week,Receipts This Week,Balance This Week,,Demand Week 37,Receipts Week 37,Balance Week 37,,Demand Week 38,Receipts Week 38,Balance Week 38,,Demand Week 39,Receipts Week 39,Balance Week 39,,Demand Week 40,Receipts Week 40,Balance Week 40,,Demand Week 41,Receipts Week 41,Balance Week 41,,Demand Week 42,Receipts Week 42,Balance Week 42,,Demand Week 43,Receipts Week 43,Balance Week 43,,Demand Week 44,Receipts Week 44,Balance Week 44,,Demand Later,Receipts Later,Balance Later
18884,BUHLER QUALITY YARNS CORP,21/1 75/15/10 Modacrylic/Tencel/Nylon Natural Protex C - G100 MVS,Natural,2506.184,30859.8,36161.3,7807.68400000001,20161.3,,10823.8683701496,0,-8317.68437014962,,7609.8,0,-15927.4843701496,,5411.93418507481,0,-21339.4185552244,,5411.93418507481,0,-26751.3527402992,,1602.26325970076,0,-28353.616,,0,0,-28353.616,,0,0,-28353.616,,0,4000,-24353.616,,0,4000,-20353.616,,0,8000,-12353.616
19089,FILSPEC Yarns,26/1 75/15/10 Modacrylic/Rayon/Nylon Natural Protex C - FR RS,Natural,0,5396.1,9000,3603.9,0,,3533.37507142102,0,-3533.37507142102,,1862.72492857898,5500,103.9,,0,2500,2603.9,,0,1000,3603.9,,0,0,3603.9,,0,0,3603.9,,0,0,3603.9,,0,0,3603.9,,0,0,3603.9,,0,0,3603.9
18927,DECA GLOBAL,2/300/72 100% Polyester Semi Dull SH LIM Recycled ,Semi Dull,1221.63158,12628.9021,41006.4,29599.12948,41006.4,,3723.89095189152,0,-2502.25937189152,,3722.68695189152,0,-6224.94632378303,,2859.15675009085,0,-9084.10307387388,,1687.37258222374,0,-10771.4756560976,,635.794863902379,0,-11407.27052,,0,0,-11407.27052,,0,0,-11407.27052,,0,0,-11407.27052,,0,0,-11407.27052,,0,0,-11407.27052
18703,DECA GLOBAL,38/1 60/40 Combed Cotton/Polyester Semi Dull RS,Semi Dull,107,2435.9,18879.9,16551,18879.9,,2435.9,0,-2328.9,,0,0,-2328.9,,0,0,-2328.9,,0,0,-2328.9,,0,0,-2328.9,,0,0,-2328.9,,0,0,-2328.9,,0,0,-2328.9,,0,0,-2328.9,,0,0,-2328.9
19095,UNIFI,1/150/96 100% Polyester Natural Repreve ,Natural,7250.171876,9309.504,0,-2059.332124,0,,9309.504,0,-2059.332124,,0,0,-2059.332124,,0,0,-2059.332124,,0,0,-2059.332124,,0,0,-2059.332124,,0,0,-2059.332124,,0,0,-2059.332124,,0,0,-2059.332124,,0,0,-2059.332124,,0,0,-2059.332124
18973,VERTEX,1/300/120 100% Polyethylene Haze Melange 2 ,Haze Melange 2,1293.2,2210,0,-916.8,0,,2210,0,-916.8,,0,0,-916.8,,0,0,-916.8,,0,0,-916.8,,0,0,-916.8,,0,0,-916.8,,0,0,-916.8,,0,0,-916.8,,0,0,-916.8,,0,0,-916.8
19081,MOVEINA,27/1 100% Kevlar Black S RS,Black,0,747.2,700,-47.2,700,,747.2,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2
19082,MOVEINA,27/1 100% Kevlar Black Z RS,Black,0,747.2,700,-47.2,700,,747.2,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2,,0,0,-747.2
