Style,Yarn,Percentage,This Week,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Later,Total
125792/1,18767,91.4,957.9634,,,,,,,,,,957.9634
125792/1,18929,8.6,90.1366,,,,,,,,,,90.1366
180001/20ST2,18320,13.1,275.643227632559,336.897278217572,336.897278217572,336.897278217572,336.897278217572,238.330059497152,,,,,1861.5624
180001/20ST2,18707,57.2,1203.57195576965,1471.03239038512,1471.03239038512,1471.03239038512,1471.03239038512,1040.64728268986,,,,,8128.3488
180001/20ST2,18708,29.7,624.931592418855,763.805279623045,763.805279623045,763.805279623045,763.805279623045,540.336089088964,,,,,4220.4888
1853/L,18669,100.0,293.2,,,,,,,,,,293.2
1853/LU,18903,100.0,1336.06700750769,1632.97078695385,1632.97078695385,1632.97078695385,1632.97078695385,270.349844676913,,,,,8138.3
1874/0,18770,100.0,2080.9,,,,,,,,,,2080.9
1874/B,19057,100.0,3031.06634785102,167.533652148977,,,,,,,,,3198.6
1924/0,13560,6.01,48.08,,,,,,,,,,48.08
1924/0,19057,93.99,751.92,,,,,,,,,,751.92
1945/R,19095,100.0,3018.84295998901,537.557040010988,,,,,,,,,3556.4
1SM0470/30G,9863,55.3,4794.88722354229,1762.69737645771,,,,,,,,,6557.5846
1SM0470/30G,11896,44.7,3875.79491667885,1424.82048332115,,,,,,,,,5300.6154
2027-2.5/MVS1,18770,70.3,1657.39107315976,537.023426840243,,,,,,,,,2194.4145
2027-2.5/MVS1,18774,29.7,700.206470452984,226.879029547016,,,,,,,,,927.0855
205FLX2006/B,18696,53.68,306.563992567792,374.689324249523,374.689324249523,374.689324249523,374.689324249523,374.689324249523,374.689324249523,374.689324249523,374.689324249523,12136.973413436,15441.052
205FLX2006/B,18870,46.32,264.531373616619,323.316123309201,323.316123309201,323.316123309201,323.316123309201,323.316123309201,323.316123309201,323.316123309201,323.316123309201,10472.8876399098,13323.948
2094/1,1571,12.6,175.392,,,,,,,,,,175.392
2094/1,10402,87.4,1216.608,,,,,,,,,,1216.608
2094/CC,14415,12.6,13.1166,,,,,,,,,,13.1166
2094/CC,18771,87.4,90.9834000000003,,,,,,,,,,90.9834000000003
2094/R,14415,12.6,400.9572,,,,,,,,,,400.9572
2094/R,19095,87.4,2781.2428,,,,,,,,,,2781.2428
3009OW/0,18019,100.0,4921.50455092593,5940.39544907407,,,,,,,,,10861.9
601SM0312/M2,11427,17.2,,,,,,,,,,,0.0
601SM0312/M2,11505,54.3,,,,,,,,,,,0.0
601SM0312/M2,18565,28.5,,,,,,,,,,,0.0
641SM0693/0,10995,57.9,23.2179,,,,,,,,,,23.2179
641SM0693/0,11896,42.1,16.8821,,,,,,,,,,16.8821
701SM0824/0,11896,90.1,97.0377,,,,,,,,,,97.0377
701SM0824/0,18290,9.9,10.6623,,,,,,,,,,10.6623
71246/BB,18645,58.1,1555.9761,,,,,,,,,,1555.9761
71246/BB,19054,41.9,1122.1239,,,,,,,,,,1122.1239
721SM0470/U,9863,58.0,1740.0,,,,,,,,,,1740.0
721SM0470/U,11896,42.0,1260.0,,,,,,,,,,1260.0
721SM0627/1,10027,8.6,261.392376241788,148.922223758212,,,,,,,,,410.3146
721SM0627/1,10153,35.8,1088.12175226233,619.932047737672,,,,,,,,,1708.0538
721SM0627/1,10795,55.6,1689.93210686552,962.799493134485,,,,,,,,,2652.7316
751SM0780/1,10027,71.7,2801.9672676071,2713.21926040868,1488.31126619645,550.527405787772,,,,,,,7554.0252
751SM0780/1,18290,28.3,1105.93687131494,1070.90802049603,587.436664342532,217.293243846498,,,,,,,2981.5748
910001/ST2,18707,50.2,747.386808435739,11.1351915642612,,,,,,,,,758.522
910001/ST2,18758,25.5,379.648677591859,5.65632240814062,,,,,,,,,385.305
910001/ST2,18869,24.3,361.78285746989,5.3901425301105,,,,,,,,,367.173
BK 5425/1,10027,8.6,309.037139964637,62.0528600353632,,,,,,,,,371.09
BK 5425/1,10153,39.3,1412.22786053607,283.567139463927,,,,,,,,,1695.795
BK 5425/1,10795,52.1,1872.19011536716,375.92488463284,,,,,,,,,2248.115
BK 7215/6020M,14734,6.6,105.6,,,,,,,,,,105.6
BK 7215/6020M,19081,46.7,747.2,,,,,,,,,,747.2
BK 7215/6020M,19082,46.7,747.2,,,,,,,,,,747.2
BK 8101/0,11409,1.5,1.467,,,,,,,,,,1.467
BK 8101/0,18341,48.9,47.8242000000001,,,,,,,,,,47.8242000000001
BK 8101/0,18344,49.6,48.5088000000001,,,,,,,,,,48.5088000000001
