Style,KO,Yarn,Percentage,This Week,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Later,Total
125792/1,K2508066,18767,91.4,957.9634,,,,,,,,,,957.9634
125792/1,K2508066,18929,8.6,90.1366,,,,,,,,,,90.1366
180001/20ST2,K2502021,18320,13.1,275.643227632559,336.897278217572,336.897278217572,336.897278217572,336.897278217572,238.330059497152,,,,,1861.5624
180001/20ST2,K2502021,18707,57.2,1203.57195576965,1471.03239038512,1471.03239038512,1471.03239038512,1471.03239038512,1040.64728268986,,,,,8128.3488
180001/20ST2,K2502021,18708,29.7,624.931592418855,763.805279623045,763.805279623045,763.805279623045,763.805279623045,540.336089088964,,,,,4220.4888
1853/L,K2507027,18669,100.0,293.2,,,,,,,,,,293.2
1853/LU,K2508062,18903,100.0,1336.06700750769,1632.97078695385,1632.97078695385,1632.97078695385,1632.97078695385,270.349844676913,,,,,8138.3
1874/0,K2505012,18770,100.0,2080.9,,,,,,,,,,2080.9
1874/B,K2503064,19057,100.0,3031.06634785102,167.533652148977,,,,,,,,,3198.6
1924/0,K2508078,13560,6.01,48.08,,,,,,,,,,48.08
1924/0,K2508078,19057,93.99,751.92,,,,,,,,,,751.92
1945/R,K2508069,19095,100.0,3018.84295998901,537.557040010988,,,,,,,,,3556.4
1SM0470/30G,K2506044,9863,55.3,2133.5846,,,,,,,,,,2133.5846
1SM0470/30G,K2506044,11896,44.7,1724.6154,,,,,,,,,,1724.6154
1SM0470/30G,K2508019,9863,55.3,2661.30262354229,1762.69737645771,,,,,,,,,4424.0
1SM0470/30G,K2508019,11896,44.7,2151.17951667885,1424.82048332115,,,,,,,,,3576.0
2027-2.5/MVS1,K2506115,18770,70.3,1657.39107315976,537.023426840243,,,,,,,,,2194.4145
2027-2.5/MVS1,K2506115,18774,29.7,700.206470452984,226.879029547016,,,,,,,,,927.0855
205FLX2006/B,K2507032,18696,53.68,306.563992567792,374.689324249523,374.689324249523,374.689324249523,374.689324249523,374.689324249523,374.689324249523,374.689324249523,374.689324249523,12136.973413436,15441.052
205FLX2006/B,K2507032,18870,46.32,264.531373616619,323.316123309201,323.316123309201,323.316123309201,323.316123309201,323.316123309201,323.316123309201,323.316123309201,323.316123309201,10472.8876399098,13323.948
2094/1,K2508085,1571,12.6,175.392,,,,,,,,,,175.392
2094/1,K2508085,10402,87.4,1216.608,,,,,,,,,,1216.608
2094/CC,K2507094,14415,12.6,13.1166,,,,,,,,,,13.1166
2094/CC,K2507094,18771,87.4,90.9834000000003,,,,,,,,,,90.9834000000003
2094/R,K2508068,14415,12.6,400.9572,,,,,,,,,,400.9572
2094/R,K2508068,19095,87.4,2781.2428,,,,,,,,,,2781.2428
3009OW/0,K2507075,18019,100.0,4921.50455092593,5940.39544907407,,,,,,,,,10861.9
641SM0693/0,K2507036,10995,57.9,23.2179,,,,,,,,,,23.2179
641SM0693/0,K2507036,11896,42.1,16.8821,,,,,,,,,,16.8821
701SM0824/0,K2507037,11896,90.1,97.0377,,,,,,,,,,97.0377
701SM0824/0,K2507037,18290,9.9,10.6623,,,,,,,,,,10.6623
71246/BB,K2504019,18645,58.1,944.9965,,,,,,,,,,944.9965
71246/BB,K2504019,19054,41.9,681.5035,,,,,,,,,,681.5035
71246/BB,K2507090,18645,58.1,610.9796,,,,,,,,,,610.9796
71246/BB,K2507090,19054,41.9,440.6204,,,,,,,,,,440.6204
721SM0470/U,K2508020,9863,58.0,1740.0,,,,,,,,,,1740.0
721SM0470/U,K2508020,11896,42.0,1260.0,,,,,,,,,,1260.0
721SM0627/1,K2502048,10027,8.6,135.1146,,,,,,,,,,135.1146
721SM0627/1,K2502048,10153,35.8,562.4538,,,,,,,,,,562.4538
721SM0627/1,K2502048,10795,55.6,873.5316,,,,,,,,,,873.5316
721SM0627/1,K2508092,10027,8.6,126.277776241788,148.922223758212,,,,,,,,,275.2
721SM0627/1,K2508092,10153,35.8,525.667952262328,619.932047737672,,,,,,,,,1145.6
721SM0627/1,K2508092,10795,55.6,816.400506865515,962.799493134485,,,,,,,,,1779.2
751SM0780/1,K2506050,10027,71.7,582.0606,,,,,,,,,,582.0606
751SM0780/1,K2506050,18290,28.3,229.7394,,,,,,,,,,229.7394
751SM0780/1,K2506113,10027,71.7,1109.95333380355,1356.60963020434,131.70163599211,,,,,,,,2598.2646
751SM0780/1,K2506113,18290,28.3,438.098735657468,535.454010248017,51.9826540945149,,,,,,,,1025.5354
751SM0780/1,K2508021,10027,71.7,1109.95333380355,1356.60963020434,1356.60963020434,550.527405787772,,,,,,,4373.7
751SM0780/1,K2508021,18290,28.3,438.098735657468,535.454010248017,535.454010248017,217.293243846498,,,,,,,1726.3
910001/ST2,K2502016,18707,50.2,747.386808435739,11.1351915642612,,,,,,,,,758.522
910001/ST2,K2502016,18758,25.5,379.648677591859,5.65632240814062,,,,,,,,,385.305
910001/ST2,K2502016,18869,24.3,361.78285746989,5.3901425301105,,,,,,,,,367.173
BK 5425/1,K2507107,10027,8.6,309.037139964637,62.0528600353632,,,,,,,,,371.09
BK 5425/1,K2507107,10153,39.3,1412.22786053607,283.567139463927,,,,,,,,,1695.795
BK 5425/1,K2507107,10795,52.1,1872.19011536716,375.92488463284,,,,,,,,,2248.115
BK 7215/6020M,K2506091,14734,6.6,105.6,,,,,,,,,,105.6
BK 7215/6020M,K2506091,19081,46.7,747.2,,,,,,,,,,747.2
BK 7215/6020M,K2506091,19082,46.7,747.2,,,,,,,,,,747.2
BK 8101/0,K2410056,11409,1.5,1.467,,,,,,,,,,1.467
BK 8101/0,K2410056,18341,48.9,47.8242000000001,,,,,,,,,,47.8242000000001
BK 8101/0,K2410056,18344,49.6,48.5088000000001,,,,,,,,,,48.5088000000001
C1B3194/1D,K2507064,18598,45.7,900.155113478581,1100.18958314049,741.655303380931,,,,,,,,2742.0
C1B3194/1D,K2507064,18894,54.3,1069.54973001941,1307.2274478015,881.222822179093,,,,,,,,3258.0
C1B3402-42/1D,K2508038,18307,10.4,204.048,,,,,,,,,,204.048
C1B3402-42/1D,K2508038,18594,41.8,820.116,,,,,,,,,,820.116
C1B3402-42/1D,K2508038,18763,35.4,694.548,,,,,,,,,,694.548
C1B3402-42/1D,K2508038,18894,11.1,217.782,,,,,,,,,,217.782
C1B3402-42/1D,K2508038,18929,1.3,25.506,,,,,,,,,,25.506
C1B3472/1L,K2508055,18307,9.2,250.1848,,,,,,,,,,250.1848
C1B3472/1L,K2508055,18594,36.6,995.3004,,,,,,,,,,995.3004
C1B3472/1L,K2508055,18894,9.9,269.2206,,,,,,,,,,269.2206
C1B3472/1L,K2508055,18929,0.5,13.597,,,,,,,,,,13.597
C1B3472/1L,K2508055,18987,43.8,1191.0972,,,,,,,,,,1191.0972
C1B3912-42/1D,K2508039,18307,9.3,186.0,,,,,,,,,,186.0
C1B3912-42/1D,K2508039,18414,45.1,902.0,,,,,,,,,,902.0
C1B3912-42/1D,K2508039,18594,36.0,720.0,,,,,,,,,,720.0
C1B3912-42/1D,K2508039,18646,9.0,180.0,,,,,,,,,,180.0
C1B3912-42/1D,K2508039,18929,0.6,12.0,,,,,,,,,,12.0
C1B3917/1B,K2507068,18414,30.1,518.623,,,,,,,,,,518.623
C1B3917/1B,K2507068,18763,18.3,315.309,,,,,,,,,,315.309
C1B3917/1B,K2507068,18893,11.7,201.591,,,,,,,,,,201.591
C1B3917/1B,K2507068,18894,11.3,194.699,,,,,,,,,,194.699
C1B3917/1B,K2507068,18900,28.6,492.778,,,,,,,,,,492.778
C1B3987C/1DU,K2508057,12047,9.3,431.252647139073,126.747352860928,,,,,,,,,558.0
C1B3987C/1DU,K2508057,18414,46.3,2146.98898521925,631.011014780747,,,,,,,,,2778.0
C1B3987C/1DU,K2508057,18594,31.0,1437.50882379691,422.491176203092,,,,,,,,,1860.0
C1B3987C/1DU,K2508057,18733,9.6,445.164022853236,130.835977146764,,,,,,,,,576.0
C1B3987C/1DU,K2508057,18929,0.2,9.27425047610909,2.72574952389091,,,,,,,,,12.0
C1B3987C/1DU,K2508057,19030,3.6,166.936508569964,49.0634914300365,,,,,,,,,216.0
C1B4033/1B,K2507069,12526,12.5,281.914781286071,25.2102187139294,,,,,,,,,307.125
C1B4033/1B,K2507069,18376,39.0,879.57411761254,78.6558823874598,,,,,,,,,958.23
C1B4033/1B,K2507069,18763,24.9,561.574244321853,50.2187556781474,,,,,,,,,611.793
C1B4033/1B,K2507069,18865,7.7,173.659505272219,15.5294947277805,,,,,,,,,189.189
C1B4033/1B,K2507069,18894,15.9,358.595601795882,32.0673982041182,,,,,,,,,390.663
C1B4038/1C,K2507067,12526,25.9,553.619072914221,288.130927085779,,,,,,,,,841.75
C1B4038/1C,K2507067,18376,41.0,876.385404999346,456.114595000654,,,,,,,,,1332.5
C1B4038/1C,K2507067,18893,16.3,348.416636621691,181.333363378309,,,,,,,,,529.75
C1B4038/1C,K2507067,18894,16.8,359.104263511927,186.895736488073,,,,,,,,,546.0
C1B4125A/1CO,K2508001,18233,16.2,346.518,,,,,,,,,,346.518
C1B4125A/1CO,K2508001,18358,8.4,179.676,,,,,,,,,,179.676
C1B4125A/1CO,K2508001,18372,26.2,560.418,,,,,,,,,,560.418
C1B4125A/1CO,K2508001,18894,8.4,179.676,,,,,,,,,,179.676
C1B4125A/1CO,K2508001,19020,40.8,872.712,,,,,,,,,,872.712
C1B4125A/1CO,K2508031,18233,16.2,52.164,,,,,,,,,,52.164
C1B4125A/1CO,K2508031,18358,8.4,27.048,,,,,,,,,,27.048
C1B4125A/1CO,K2508031,18372,26.2,84.364,,,,,,,,,,84.364
C1B4125A/1CO,K2508031,18894,8.4,27.048,,,,,,,,,,27.048
C1B4125A/1CO,K2508031,19020,40.8,131.376,,,,,,,,,,131.376
C1B4125A/1T,K2508075,18233,16.2,402.141998590926,491.506887166687,483.351114242388,,,,,,,,1377.0
C1B4125A/1T,K2508075,18293,8.4,208.518073343443,254.855422975319,250.626503681238,,,,,,,,714.0
C1B4125A/1T,K2508075,18373,26.2,650.377800190263,794.906200232543,781.715999577195,,,,,,,,2227.0
C1B4125A/1T,K2508075,18894,8.4,208.518073343443,254.855422975319,250.626503681238,,,,,,,,714.0
C1B4125A/1T,K2508075,19020,40.8,1012.80207052529,1237.86919730869,1217.32873216601,,,,,,,,3468.0
C1B4139A/1B,K2508077,12526,28.5,68.115,,,,,,,,,,68.115
C1B4139A/1B,K2508077,18832,44.4,106.116,,,,,,,,,,106.116
C1B4139A/1B,K2508077,18894,18.2,43.498,,,,,,,,,,43.498
C1B4139A/1B,K2508077,19003,8.9,21.271,,,,,,,,,,21.271
C1B4312A/2RECA,K2507078,12526,15.9,447.641518886985,547.117411972982,213.466169140033,,,,,,,,1208.2251
C1B4312A/2RECA,K2507078,18594,27.9,785.484174650747,960.036213462025,374.572711887228,,,,,,,,2120.0931
C1B4312A/2RECA,K2507078,18872,8.2,230.859148105238,282.161181017513,110.08947087725,,,,,,,,623.1098
C1B4312A/2RECA,K2507078,18927,31.7,892.467682309272,1090.79383393355,425.589783757173,,,,,,,,2408.8513
C1B4312A/2RECA,K2507078,18929,0.6,16.8921327881881,20.6459400744521,8.05532713735974,,,,,,,,45.5934
C1B4312A/2RECA,K2507078,18961,10.8,304.058390187386,371.626921340139,144.995888472475,,,,,,,,820.6812
C1B4312A/2RECA,K2507078,19003,4.9,137.952417770203,168.608510608026,65.7851716217712,,,,,,,,372.3461
C1B4312A/2RECA,K2508013,12526,15.9,447.641518886985,547.117411972982,547.117411972982,141.281757167051,,,,,,,1683.1581
C1B4312A/2RECA,K2508013,18594,27.9,785.484174650747,960.036213462025,960.036213462025,247.909498425203,,,,,,,2953.4661
C1B4312A/2RECA,K2508013,18872,8.2,230.859148105238,282.161181017513,282.161181017513,72.8622898597372,,,,,,,868.0438
C1B4312A/2RECA,K2508013,18927,31.7,892.467682309272,1090.79383393355,1090.79383393355,281.674949823618,,,,,,,3355.7303
C1B4312A/2RECA,K2508013,18929,0.6,16.8921327881881,20.6459400744521,20.6459400744521,5.3313870629076,,,,,,,63.5154
C1B4312A/2RECA,K2508013,18961,10.8,304.058390187386,371.626921340139,371.626921340139,95.9649671323367,,,,,,,1143.2772
C1B4312A/2RECA,K2508013,19003,4.9,137.952417770203,168.608510608026,168.608510608026,43.5396610137454,,,,,,,518.7091
C1B4313A/3REC,K2507077,18594,26.0,1.04,,,,,,,,,,1.04
C1B4313A/3REC,K2507077,18865,4.7,0.188,,,,,,,,,,0.188
C1B4313A/3REC,K2507077,18872,9.0,0.36,,,,,,,,,,0.36
C1B4313A/3REC,K2507077,18927,30.1,1.204,,,,,,,,,,1.204
C1B4313A/3REC,K2507077,18929,0.6,0.024,,,,,,,,,,0.024
C1B4313A/3REC,K2507077,18961,11.8,0.472,,,,,,,,,,0.472
C1B4313A/3REC,K2507077,19066,17.8,0.712,,,,,,,,,,0.712
C1B4313A/3RECU,K2508083,12526,17.8,745.648158564511,911.347749356625,911.347749356625,911.347749356625,497.540593365613,,,,,,3977.232
C1B4313A/3RECU,K2508083,18594,26.0,1089.14899565603,1331.18210580181,1331.18210580181,1331.18210580181,726.744686938536,,,,,,5809.44
C1B4313A/3RECU,K2508083,18872,9.0,377.013113880933,460.793805854473,460.793805854473,460.793805854473,251.565468555647,,,,,,2010.96
C1B4313A/3RECU,K2508083,18927,30.1,1260.89941420179,1541.09928402441,1541.09928402441,1541.09928402441,841.346733724999,,,,,,6725.544
C1B4313A/3RECU,K2508083,18929,0.6,25.1342075920622,30.7195870569649,30.7195870569649,30.7195870569649,16.7710312370431,,,,,,134.064
C1B4313A/3RECU,K2508083,18961,11.8,494.30608264389,604.151878786976,604.151878786976,604.151878786976,329.830280995182,,,,,,2636.592
C1B4313A/3RECU,K2508083,19003,4.7,196.88462613782,240.636765279558,240.636765279558,240.636765279558,131.373078023505,,,,,,1050.168
C1B4338A/1KD,K2508041,18673,13.5,236.25,,,,,,,,,,236.25
C1B4338A/1KD,K2508041,18763,33.2,581.0,,,,,,,,,,581.0
C1B4338A/1KD,K2508041,18929,0.6,10.5,,,,,,,,,,10.5
C1B4338A/1KD,K2508041,18973,47.4,829.5,,,,,,,,,,829.5
C1B4338A/1KD,K2508041,19003,5.3,92.75,,,,,,,,,,92.75
C1B4374A/1H,K2508073,12526,8.1,222.75,,,,,,,,,,222.75
C1B4374A/1H,K2508073,18233,11.6,319.0,,,,,,,,,,319.0
C1B4374A/1H,K2508073,18673,13.2,363.0,,,,,,,,,,363.0
C1B4374A/1H,K2508073,18763,16.2,445.5,,,,,,,,,,445.5
C1B4374A/1H,K2508073,18929,0.7,19.25,,,,,,,,,,19.25
C1B4374A/1H,K2508073,18973,50.2,1380.5,,,,,,,,,,1380.5
C1B4546A/2D,K2508064,18233,12.2,95.892,,,,,,,,,,95.892
C1B4546A/2D,K2508064,18312,26.2,205.932,,,,,,,,,,205.932
C1B4546A/2D,K2508064,18414,55.5,436.23,,,,,,,,,,436.23
C1B4546A/2D,K2508064,18865,5.5,43.23,,,,,,,,,,43.23
C1B4546A/2D,K2508064,18929,0.6,4.716,,,,,,,,,,4.716
C1B4571A/1N,K2507045,18646,7.4,228.240540223626,278.960660273321,278.960660273321,103.924939229732,,,,,,,890.0868
C1B4571A/1N,K2507045,18712,8.0,246.746529971488,301.579092187374,301.579092187374,112.351285653765,,,,,,,962.256
C1B4571A/1N,K2507045,18763,35.3,1088.76906349919,1330.71774427679,1330.71774427679,495.750047947236,,,,,,,4245.9546
C1B4571A/1N,K2507045,18929,0.7,21.5903213725052,26.3881705663952,26.3881705663952,9.83073749470442,,,,,,,84.1974
C1B4571A/1N,K2507045,18954,6.9,212.818882100408,260.11196701161,260.11196701161,96.9029838763721,,,,,,,829.9458
C1B4571A/1N,K2507045,18993,3.9,120.2889333611,147.019807441345,147.019807441345,54.7712517562103,,,,,,,469.0998
C1B4571A/1N,K2507045,19046,37.8,1165.87735411528,1424.96121058534,1424.96121058534,530.859824714038,,,,,,,4546.6596
C1B4571A/1N,K2507046,18646,7.4,228.240540223626,278.960660273321,278.960660273321,91.4633392297322,,,,,,,877.6252
