Yarn Demand Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Yarn,Supplier,Description,Color,Monday Inventory,Balance,Balance This Week,Balance Week 38,Balance Week 39,Balance Week 40,Balance Week 41,Balance Week 42,Balance Week 43,Balance Week 44,Balance Week 45,Balance Later
18771,CS AMERICA,1/150/96 100% Polyester Semi Dull ,Semi Dull,"1,591 ","10,550 ","(1,450)","(1,450)","(1,450)","(1,450)","(1,450)","(1,450)","(1,450)","(1,450)","(1,450)","(1,450)"
14415,CREORA/US Hyosung,1/70 100% Spandex Clear H300 ,Clear,58 ,(381),(381),(381),(381),(381),(381),(381),(381),(381),(381),(381)
18870,BUHLER QUALITY YARNS CORP,10/2 80/20 PPS/Glass Natural ,Natural,(162),514 ,(162),(162),838 ,838 ,838 ,838 ,838 ,838 ,838 ,"(12,486)"
10995,UNIFI,1/2150/408 100% Polyester SOLID BLK ,SOLID BLK,(73),(536),(73),(73),(536),(536),(536),(536),(536),(536),(536),(536)
19071,DRAKE EXTRUSION INC,1/70/36 100% Polypropylene Black PCR with Hindered Amine Light Stablilizer ,Black,0 ,168 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
19009,DECA GLOBAL,20/1 60/40 Combed Cotton/Polyester Natural RS,Natural,0 ,"8,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
19091,BARNET,2/300/68 100% Polyester Natural Stretch ,Natural,0 ,"40,000 ",0 ,"6,000 ","12,000 ","18,000 ","24,000 ","30,000 ","36,000 ","40,000 ","40,000 ","40,000 "
19067,Marionette,1/150/48 100% Polyester Bright Trilobal Flat ,Bright,0 ,"44,000 ",0 ,0 ,0 ,0 ,0 ,"44,000 ","44,000 ","44,000 ","44,000 ","44,000 "
19025,DECA GLOBAL,1/150/36 100% Polyester Orange 3373-02 ,Orange,0 ,"7,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
18859,NANY,1/70/36 100% Polyester Semi Dull ,Semi Dull,0 ,"40,600 ",0 ,"5,800 ","11,600 ","17,400 ","23,200 ","29,000 ","34,800 ","40,600 ","40,600 ","40,600 "
14895,SUPREME CORPORATION,1/200/74 96/4 Polyester/Carbonized Nylon Grey Z ,Grey,4 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,3 
12066,NOBLE BIOMATERIALS INC,1/70/34 100% Nylon Silver XSTATI ,Silver,10 ,9 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,9 
18973,VERTEX,"1/300/120 100% Polyethylene Haze Melange 2 RANDOM STRIATION, MUST HAVE APPROVAL ",Haze Melange 2,60 ,(945),60 ,60 ,60 ,60 ,60 ,60 ,60 ,60 ,60 ,(945)
19069,FILSPEC Yarns,46/1 100% Nomex Natural S RS,Natural,64 ,(43),64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,64 ,(43)
13364,PARKDALE YARN MILLS,20/1 100% Karded Cotton Natural OE,Natural,70 ,(162),70 ,70 ,70 ,70 ,70 ,70 ,70 ,70 ,70 ,(162)
18565,MERIDIAN SPECIALTY YARN GROUP INC,2/450/288 100% Polyester Mink ,Mink,74 ,(354),74 ,74 ,(354),(354),(354),(354),(354),(354),(354),(354)
18318,SPUNLAB,30/1 70/10/20 Polyester/Cotton/Rayon Black 65% 12% Black Poly 8097 RS,Black 65%,74 ,(69),74 ,74 ,74 ,74 ,74 ,74 ,74 ,74 ,74 ,(69)
18703,DECA GLOBAL,38/1 60/40 Combed Cotton/Polyester Semi Dull RS,Semi Dull,107 ,"16,551 ",107 ,107 ,107 ,107 ,107 ,107 ,107 ,107 ,107 ,"(2,329)"
19031,BUHLER QUALITY YARNS CORP,36/1 45/40/15 Modacrylic/Lenzing FR/Twaron Black MVS,Black,111 ,104 ,111 ,111 ,111 ,111 ,111 ,111 ,111 ,111 ,111 ,104 
19070,FILSPEC Yarns,46/1 100% Nomex Natural Z RS,Natural,123 ,16 ,123 ,123 ,123 ,123 ,123 ,123 ,123 ,123 ,123 ,16 
1571,The LYCRA Company LLC,1/70 100% Lycra Clear 162C ,Clear,125 ,36 ,125 ,125 ,125 ,125 ,125 ,125 ,125 ,125 ,125 ,36 
14734,XLANCE,1/83 100% XLANCE Natural ELASTOLEFIN ,Natural,127 ,21 ,127 ,127 ,127 ,127 ,127 ,127 ,127 ,127 ,127 ,21 
11648,SAPONA,1/40/34 100% Nylon Semi Dull STR ,Semi Dull,127 ,119 ,127 ,127 ,127 ,127 ,127 ,127 ,127 ,127 ,127 ,119 
18517,DECA GLOBAL,1/100/96 100% Polyester Natural Z ,Natural,131 ,66 ,131 ,131 ,131 ,131 ,131 ,131 ,131 ,131 ,131 ,66 
18332,SPUNLAB,30/1 80/12/8 Polyester/Rayon/Cotton Black 60% 60% Black 8092 RS,Black 60%,160 ,154 ,154 ,154 ,154 ,154 ,154 ,154 ,154 ,154 ,154 ,154 
12428,UNIFI,1/100/96 100% Polyester Natural STWSTR ,Natural,159 ,158 ,159 ,159 ,159 ,159 ,159 ,159 ,159 ,159 ,159 ,158 
18452,DECA GLOBAL,1/150/72 100% Polyester BLK/WHT STRIAT ,BLK/WHT,312 ,147 ,162 ,162 ,162 ,162 ,162 ,162 ,162 ,162 ,162 ,147 
18725,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester Lookout 4015-0178-A ,Lookout,163 ,153 ,163 ,153 ,153 ,153 ,153 ,153 ,153 ,153 ,153 ,153 
11409,TOPL,1/20/12 100% Polyester Semi Dull ,Semi Dull,165 ,164 ,165 ,165 ,165 ,165 ,165 ,165 ,165 ,165 ,165 ,164 
14223,SPUNLAB,30/1 85/15 Modacrylic/Tencel Natural PCG100 RS,Natural,167 ,166 ,167 ,167 ,167 ,167 ,167 ,167 ,167 ,167 ,167 ,166 
18966,Betareks A. S.,1/69 100% Lurex Silver 2X20 silver lurex ,Silver,168 ,2 ,168 ,168 ,168 ,168 ,168 ,168 ,168 ,168 ,168 ,(248)
11505,UNIFI,1/2000/408 100% Polyester BLK/BRN SATUR ,BLK/BRN,169 ,(645),169 ,169 ,(645),(645),(645),(645),(645),(645),(645),(645)
19093,CELANESE,1/40/1 100% Neolast Natural ,Natural,173 ,161 ,173 ,173 ,173 ,173 ,173 ,173 ,173 ,173 ,173 ,161 
13794,SPUNLAB,30/1 55/45 Modacrylic/Karded Cotton Natural PRTXC ,Natural,182 ,182 ,182 ,182 ,182 ,182 ,182 ,182 ,182 ,182 ,182 ,182 
18992,PARKDALE YARN MILLS,30/1 50/37/13 Polyester/Modal Rayon/Karded Cotton Natural RS,Natural,201 ,201 ,201 ,201 ,201 ,201 ,201 ,201 ,201 ,201 ,201 ,201 
11427,OMARA TEXTILES,1/145/34 100% Polyester Almond H75 ,Almond,212 ,(46),212 ,212 ,(46),(46),(46),(46),(46),(46),(46),(46)
12321,UNIFI,1/100/96 100% Polyester Natural SETTS ,Natural,228 ,"(1,879)",228 ,228 ,228 ,228 ,228 ,228 ,228 ,228 ,228 ,"(1,879)"
18229,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester LT GREY ,LT GREY,247 ,206 ,247 ,247 ,247 ,247 ,247 ,247 ,247 ,247 ,247 ,206 
18832,HICKORY THROWING COMPANY,30/1 60/40 Recycled Polyester/Recycled Cotton Marino OE,Marino,267 ,267 ,267 ,267 ,267 ,267 ,267 ,267 ,267 ,267 ,267 ,267 
13777,NANY,1/40/24 100% Polyester Semi Dull ,Semi Dull,304 ,304 ,304 ,304 ,304 ,304 ,304 ,304 ,304 ,304 ,304 ,304 
18817,UNIFI,2/70/68 100% Polyester Natural Cationic ,Natural,336 ,320 ,336 ,336 ,336 ,336 ,336 ,336 ,336 ,336 ,336 ,320 
11536,BURLINGTON MANUFACTURING SERVICE,1/150/34 100% Polyester ROBINSEGG 340320 ,ROBINSEGG,348 ,341 ,348 ,348 ,348 ,348 ,348 ,348 ,348 ,348 ,348 ,341 
18358,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester COBALT 01275 ,COBALT,355 ,775 ,355 ,"1,195 ","1,195 ","1,195 ","1,195 ","1,195 ","1,195 ","1,195 ","1,195 ",775 
18430,SPUNLAB,30/1 100% Celliant Natural ,Natural,372 ,285 ,372 ,372 ,372 ,372 ,372 ,372 ,372 ,372 ,372 ,285 
18086,KC TEX INC,30/1 100% Rayon Natural ,Natural,385 ,278 ,385 ,385 ,385 ,385 ,385 ,385 ,385 ,385 ,385 ,278 
18753,MERIDIAN SPECIALTY YARN GROUP INC,1/150/34 100% Polyester Sandstone 4015-01670 ,Sandstone,438 ,434 ,438 ,438 ,438 ,438 ,438 ,438 ,438 ,438 ,438 ,434 
18599,The LYCRA Company LLC,1/20 100% Lycra Semi Bright 582L ,Semi Bright,442 ,110 ,442 ,442 ,442 ,442 ,442 ,442 ,442 ,442 ,442 ,110 
18804,BUHLER QUALITY YARNS CORP,30/1 60/30/10 Modacrylic/Tencel/Twaron Grey Protex A - Tencel G100-Black Twaron MVS,Grey,448 ,447 ,448 ,448 ,448 ,448 ,448 ,448 ,448 ,448 ,448 ,447 
19073,MERIDIAN SPECIALTY YARN GROUP INC,30/1 100% Polyester Marino RS,Marino,459 ,457 ,459 ,459 ,459 ,459 ,459 ,459 ,459 ,459 ,459 ,457 
13560,The LYCRA Company LLC,1/70 100% Lycra Semi Bright 582L ,Semi Bright,531 ,(270),517 ,(192),(215),(215),(215),(215),(215),(215),(215),(270)
18974,CELANESE,1/40/3 100% Neolast Natural ,Natural,525 ,513 ,525 ,525 ,525 ,525 ,525 ,525 ,525 ,525 ,525 ,513 
18733,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester Orange LW TK poly 4015-01725-A ,Orange,543 ,161 ,543 ,543 ,543 ,543 ,543 ,543 ,543 ,543 ,543 ,161 
19019,PARKDALE YARN MILLS,50/1 100% Combed Cotton Natural RS,Natural,568 ,568 ,568 ,568 ,568 ,568 ,568 ,568 ,568 ,568 ,568 ,568 
18638,PARKDALE YARN MILLS,30/1 50/50 Polyester/Cotton Natural RS,Natural,582 ,564 ,582 ,582 ,582 ,582 ,582 ,582 ,582 ,582 ,582 ,564 
18387,UNIFI,1/750/192 100% Polyester Grey 0690Q ,Grey,655 ,(82),655 ,655 ,(82),(82),(82),(82),(82),(82),(82),(82)
11967,OMARA TEXTILES,1/150/34 100% Polyester Merrimack A368 ,Merrimack,674 ,"1,559 ",674 ,674 ,674 ,674 ,674 ,674 ,674 ,674 ,674 ,674 
18813,FILS,26/1 100% Nomex Tan 499 ,Tan 499,723 ,721 ,723 ,723 ,723 ,723 ,723 ,723 ,723 ,723 ,723 ,721 
18622,OMARA TEXTILES,1/150/36 100% Polyester Basalt HOY Flat Bright ,Basalt,729 ,723 ,729 ,729 ,729 ,729 ,729 ,729 ,729 ,729 ,729 ,723 
18559,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester Daybreak ,Daybreak,750 ,742 ,750 ,750 ,750 ,750 ,750 ,750 ,750 ,750 ,750 ,742 
18811,COAT,26/1 100% Nomex Freedom Sage ,Freedom Sage,755 ,753 ,755 ,755 ,755 ,755 ,755 ,755 ,755 ,755 ,755 ,753 
18774,PARKDALE YARN MILLS,28/1 78/22 Modacrylic/Rayon Natural MVS,Natural,766 ,269 ,766 ,766 ,766 ,766 ,766 ,766 ,766 ,766 ,766 ,269 
