Desc#,Supplier,Description,Blend,Type,Color,Desc_1,Desc_2,Desc_3,On_Order,Allocated,Planning_Ballance,Cost_Pound,Total_Cast
19020,R BELDA LLORENS,30/1,55/45,Polyester/Recycled Cotton,Indigo,Cotton,Indigo,V,0.00,0.00,-428.96,$5.09 ,"($2,183.40)"
18868,FERR,30/1,60/40,Polyester/Recycled Cotton,Anil,Cotton,Anil,,"2,500.00",0.00,"1,989.38",$3.90 ,"($1,991.43)"
18517,DECA GLOBAL,1/100/96,100%,Polyester,Natural,Z,,,0.00,-255.48,-581.74,$1.09 ,($355.62)
18847,"MIKE BECKER, INC",1/300/144,100%,Polypropylene,Natural,,,,0.00,0.00,-18.95,$3.40 ,($64.43)
18343,PROMPTEX YARNS INC,3/300/72,100%,Polyester,Natural,Stretch,low,tac,0.00,-174.42,-203.89,$1.05 ,($30.94)
19046,DUNAWAY YARNS INC,24/1,95/5,Polyester, 5% Black,5%,RS,,"40,000.00",0.00,"40,000.00",$0.00 ,$0.00 
19009,VERTEX,1/300/120,100%,Polyethylene,Black,,,,"3,000.00",0.00,"3,064.00",$0.00 ,$0.00 
19025,CAP YARNS LLC,6/1,55/45,Tencel/Zoltek,Grey,,,,0.00,0.00,172.00,$0.00 ,$0.00 
19033,DECA GLOBAL,20/1,60/40,Combed Cotton/Poly,Natural,Natural,RS,,"8,000.00",0.00,"8,000.00",$0.00 ,$0.00 
18655,SPUNGOLD,12/1,100%,Rayon,Natural,FR,,,0.00,0.00,32.00,$0.00 ,$0.00 
18789,DECA GLOBAL,1/150/48,100%,Polyester,Orange,3373-02,,,"7,000.00",0.00,"7,000.00",$0.00 ,$0.00 
18843,MINIFIBERS,1/150/50,100%,Polyethylene,Soft,White,LLDPE,-,0.00,0.00,50.00,$0.00 ,$0.00 
18514,NORMTEX,1/150/48,100%,Polyester,Black,Set,,,0.00,0.00,40.00,$0.98 ,$39.20 
18563,AKRA POLYESTER GROUP/DAK,1/150/48,100%,Polyester,Black,SETNTS,,,0.00,0.00,33.00,$1.28 ,$42.24 
18886,"EDPA USA, LLC",30/1,50/50,Polyester/Cotton,Marino,OE,,,0.00,0.00,11.92,$3.56 ,$42.45 
18632,BANSWARA SYNTEX LIMITED,30/1,100%,Polyester,Cinder,1202527-A,,,0.00,0.00,56.00,$1.29 ,$72.24 
18633,BANSWARA SYNTEX LIMITED,30/1,100%,Polyester,Anthracite,1202530-A,,,0.00,0.00,57.00,$1.29 ,$73.53 
18439,"BIELTEX, S.L.",30/1,100%,Polyester,Natural,,,,0.00,0.00,70.56,$1.19 ,$83.97 
18188,AKRA POLYESTER GROUP/DAK,1/150/48,100%,Polyester,Natural,F,TANG,,0.00,0.00,74.00,$1.20 ,$88.80 
18761,MINIFIBERS,1/150/50,100%,Polyethylene,Natural,Dull,LLDPE,-,0.00,0.00,19.00,$5.24 ,$99.56 
11798,OMAR,1/150/48,100%,Polyester,BUFF,,,,0.00,0.00,32.00,$3.45 ,$110.40 
18507,DECA GLOBAL,1/200/192,100%,Polyester,Natural,,,,0.00,0.00,125.00,$0.92 ,$115.00 
18467,PROMPTEX YARNS INC,1/165/36,100%,Polyester,Black,PTY,2H,SET,0.00,0.00,109.00,$1.20 ,$130.80 
18321,KC TEX INC,1/300/68,100%,Polyester,Natural,STRNTS,,,0.00,0.00,180.00,$0.81 ,$145.80 
18391,PROMPTEX YARNS INC,2/300/68,100%,Polyester,Natural,Stretch,low,tac,0.00,0.00,143.00,$1.06 ,$151.58 
12445,KC TEX INC,24/1,100%,Karded Cotton,Natural,NAT,ORGANI,,0.00,0.00,71.00,$2.16 ,$153.36 
18232,PROMPTEX YARNS INC,4/330/72,100%,Polyester,Natural,STRETC,,,0.00,0.00,169.58,$1.00 ,$169.58 
11104,CS AMERICA,1/75/72,100%,Polyester,Natural,Grade,SET,,0.00,0.00,175.70,$1.01 ,$177.46 
18101,NORMTEX,1/167/48,100%,Polyester,FB,TRILOB,,,0.00,0.00,239.00,$0.79 ,$188.81 
18658,PARKDALE YARN MILLS,12/1,60/40,Karded Cotton/Poly,Natural,Natural,OE,,0.00,0.00,139.00,$1.48 ,$205.72 
18867,R BELDA LLORENS,30/1,50/50,Polyester/Recycled Cotton,Anthracite,Anthracite,57,,0.00,0.00,66.00,$3.15 ,$207.90 
18566,AKRA POLYESTER GROUP/DAK,1/150/48,100%,Polyester,Natural,Set,NTS,,0.00,0.00,150.00,$1.42 ,$213.00 
18360,NORMTEX,1/150/48,100%,Polyester,Natural,SET,TS,,0.00,0.00,298.00,$0.72 ,$214.56 
18097,"EDPA USA, LLC",30/1,100%,Rayon,Natural,RS,,,0.00,0.00,150.00,$1.45 ,$217.50 
18297,SPUNLAB,30/1,70/20/10,Polyester/Cotton/Rayon, 4% Black,4%,reclaimed,heather,0.00,0.00,84.00,$2.80 ,$235.20 
12205,KC TEX INC,20/1,100%,Polyester,Natural,,,,0.00,0.00,160.00,$1.53 ,$244.80 
18413,DECA GLOBAL,1/300/68,100%,Polyester,Natural,STR,,,0.00,0.00,299.77,$0.92 ,$275.79 
18039,OMARA TEXTILES,1/150/48,100%,Polyester,Daybreak,,,,0.00,0.00,124.00,$2.69 ,$333.56 
18110,KC TEX INC,30/1,100%,Combed Cotton,Natural,NAT,ORGANI,RS,0.00,0.00,90.00,$3.71 ,$333.90 
18765,OMARA TEXTILES,1/150/48,100%,Polyester,INDIGO,INDIGO,A840,,0.00,0.00,93.00,$3.80 ,$353.40 
18077,KC TEX INC,20/1,100%,Polyester,Natural,OB,RS,,0.00,0.00,252.00,$1.56 ,$393.12 
18755,MERIDIAN SPECIALTY YARN GROUP INC,1/150/48,100%,Polyester,Shamrock,4015-01668,,,0.00,0.00,126.00,$3.36 ,$423.36 
18315,PROMPTEX YARNS INC,1/160/36,100%,Polyester,Black,SETLTS,,,0.00,0.00,407.00,$1.05 ,$427.35 
12134,OMARA TEXTILES,1/145/34,Polyester,Polyester,CARMELTAN,662,,,0.00,0.00,134.00,$3.20 ,$428.80 
18604,R BELDA LLORENS,30/1,50/50,Polyester/Recycled Cotton,Crudo,Crudo,Nat,recycled,0.00,0.00,137.42,$3.31 ,$454.85 
19004,PARKDALE YARN MILLS,24/1,96/4,Polyester, 4% Black,4%,MVS,,"15,000.00",0.00,"15,127.89",$3.56 ,$455.29 
