bom_style,is_mapped,efab_api_id,efab_description
CSP3265/2,False,,
PFR-J-648/0,False,,
FF 25002/0008A,False,,
CF5089/0,False,,
AM0053/0,False,,
CT2433/1,False,,
3009OW/0,False,,
CMR3757/1,False,,
CEE4227A/1,False,,
CMR4067/2,False,,
C1B3987C/1,False,,
CF5215/0,False,,
BK 8187/30411,False,,
C1B3899/1,False,,
DC3983/SP,False,,
13089/01D,False,,
C1B3194/7,False,,
CF5271/0,False,,
15605/01A,False,,
CT3261/1,False,,
BK 8110/C,False,,
CT2555/1,False,,
BK 8466/B,False,,
CF1088/2,False,,
CT2655/1,False,,
CEE4303A/1,False,,
C1B4500A/1,False,,
CT2706/0,False,,
C1B4489A/1,False,,
C4T3360/TT1,False,,
AM0055/0,False,,
C1B3405/1,False,,
CF5092/1U,False,,
C1B4110A/1,False,,
CT2266/TT1S,False,,
FLF602/PDC,False,,
CEE3065/2O,False,,
C1B3688/1,False,,
CF2003/0,False,,
BK 8330/0,False,,
C2B3710/1,False,,
CT2936/1B,False,,
CEE3754/1,False,,
CF5180/0,False,,
C1B4628A/1,False,,
C1B3992/2,False,,
16767/01A,False,,
6191/3630C,False,,
3000070231/1,False,,
CT2595/2,False,,
CT2535/1D,False,,
CEE4444/6,False,,
CF5260/L,False,,
BK 8542/0,False,,
C1B4571A/1A,False,,
CT22210/2P,False,,
CT2400/1L,False,,
C1B4384A/3,False,,
CF5248/UU,False,,
CT2691/1A,False,,
CF1077/0,False,,
3000070238/0,False,,
CT3146/1H,False,,
C1B4270A/1D,False,,
BK 8486/0,False,,
BK 8551/0,False,,
CT2994/3,False,,
TN-647-01/S,False,,
CF5520/0,False,,
CT2461/1,False,,
CT3062/1,False,,
CT22112/1C,False,,
CF5143/1,False,,
FF25000/0002A,False,,
RIOSTR-450/1,False,,
BK 8173/1,False,,
CT1577/GS1P,False,,
CT1838/1B,False,,
C1B4761A/1,False,,
CT2531/2,False,,
CT2191/TT1S,False,,
CF5156/0,False,,
CEE4397A/3,False,,
CT2616/1,False,,
C1B3308/1,False,,
CT2600/1,False,,
CMR3758/1,False,,
RIOSTR-380/1,False,,
CEE3933/1,False,,
DFF446J/0,False,,
CT2904/3,False,,
CF5093/0,False,,
CT2826/1,False,,
BK 8320/0,False,,
C1B3799/2,False,,
GR9069RC/1,False,,
CT22116/1S,False,,
CT2514/2,False,,
CF5102/1,False,,
DC3944/0,False,,
CEE3649A/1,False,,
CEE4511A/1,False,,
CT2540/3B,False,,
C1B3402/1D,False,,
P-MM-9548-V2/0,False,,
C1B3786/1,False,,
BK 8169/11600,False,,
CF5366/0,False,,
CT2605/1,False,,
C1B4175A/1,False,,
BK 8495OW/0,False,,
CF5267-HVY/0,False,,
CT2534/2,False,,
BK 4148D/0,False,,
C8B4250A/1,False,,
C1B4440-42/1O,False,,
BK 8006/NGR,False,,
C1B3226/2K,False,,
CF5361/NAT,False,,
BK 8245/0,False,,
C1B4361A/1,False,,
C1B3645/1,False,,
CEE3105/3,False,,
CF5356/0,False,,
C4T3773/1,False,,
C1B3763/2,False,,
DKQ7278/CC,False,,
1552/0,False,,
C1B3530/3,False,,
CEE4397A/1,False,,
C1B3451/1,False,,
CF5172/0,False,,
BK 3785/ALT,False,,
BK 8205/67122,False,,
CF8040/BLK,False,,
CT2973/1,False,,
CF5402/0,False,,
CEE3202/1GX,False,,
BK 8510/0,False,,
CF5099/1,False,,
BK 6643/B,False,,
CT2691/1T,False,,
CK3013Q14L/P,False,,
BARCELONA-415/1,False,,
CF5495/0,False,,
O-J-122/036,False,,
CF5294/0,False,,
C0332F/1UN,False,,
BK 6342/B,False,,
C4T3358/TT1,False,,
CF1062/0,False,,
C1B4748A/3,False,,
C1B3587/1,False,,
CF5460/0,False,,
CT2937/1CD,False,,
C1B4508A/1,False,,
707992/0,False,,
CEE4694A/1,False,,
C1B3875/2,False,,
CT2652/1A,False,,
CO409F/0,False,,
BK 5517/C,False,,
CMJ3164/12,False,,
CEE4097C/1,False,,
BK 8120/09730,False,,
BK 8177/0,False,,
CT2990/4,False,,
CF1001B/1,False,,
N816/0,False,,
CF5254/0,False,,
C1B3226/2B,False,,
C5T3394/TT1,False,,
CF1085/0,False,,
CT2113/2KY3L,False,,
CT2421/2,False,,
CEE4690A/1,False,,
CT2498/2,False,,
CT2601/2,False,,
CMR3638/1P,False,,
AM0028/6L,False,,
C1B3212/2,False,,
EXP2336/C,False,,
C1B4400A/1REPD,False,,
CF5413/0,False,,
DFF446R/L,False,,
C1B3529/2,False,,
AM0054/0,False,,
CF5120/0,False,,
2140372/BIEL,False,,
C1B3573/1,False,,
CT4790A/1,False,,
P-M-1141/0,False,,
CMR3988/1,False,,
CMJ3159/4,False,,
C1B4240A/2M,False,,
DFF3793R/N,False,,
CMJ3177/6,False,,
BK 8273/B,False,,
C1B3792/1,False,,
CT2986/TT1,False,,
CEE4008/1DE,False,,
KBDU602C/S,False,,
CT2581/2,False,,
C1B4401A/1,False,,
BK 8153/1,False,,
BK 3066/C,False,,
C1B3598/1,False,,
CT4416/1,False,,
C1B3230/6,False,,
C2B4079A/2,False,,
BK 8439/0,False,,
CT2943/CTT1,False,,
CT22209/V,False,,
H39044/R,False,,
BK 8383/0,False,,
18164/01,False,,
3000070173/0,False,,
CF5424/0,False,,
16437/01A,False,,
C1B3279/1,False,,
CT1916/WTTS3,False,,
CF5213/0,False,,
C8B4112A/1,False,,
MK3820K/R26SV,False,,
CT1652/TT1,False,,
DKQ4278R/0,False,,
CF5092/0,False,,
CEE3065/2L,False,,
C1B4116A/1,False,,
CT4090/TT2U,False,,
C2B3491/1,False,,
CT22000-3/1PP,False,,
CEE4501A/1,False,,
CT22151/1CU,False,,
C4T3393/TT1,False,,
FJORDSTR-375/1,False,,
CF5370/0,False,,
BK 8394/1,False,,
BK 8541/0,False,,
CT3012/3B,False,,
CEE3498A/1DU,False,,
N948/0,False,,
GG6020-BK/V,False,,
CF5141/1,False,,
C1B4745A/1,False,,
C1B4269A/1,False,,
C1B3225-42/1L,False,,
CSP4479A/1,False,,
CK3813K-14/0,False,,
BK 6159/A,False,,
C1B3276/1,False,,
C1B3987C/1DL,False,,
1000B/WA,False,,
