bom_style,mapped_to,match_type
FF 10006/0001,FF10006,base_code
FF 10006/0001A,FF10006,base_code
FF 10006/0002,FF10006,base_code
FF 10006/0003,FF10006,base_code
FF 10006/0003A,FF10006,base_code
FF 10006/0003B,FF10006,base_code
FF 10006/0004,FF10006,base_code
FF 10006/0004A,FF10006,base_code
1000B/AA,,unmapped
1000B/AT,,unmapped
1000B/WA,,unmapped
1028/0,,unmapped
1028/582L,,unmapped
1028/C,,unmapped
107714/3001A,,unmapped
107714/3001B,,unmapped
107716/3800A,,unmapped
107839/3326B,,unmapped
107839/3326E,,unmapped
116 CASPER KD/0,,unmapped
12042/02D,,unmapped
12042EE/02,,unmapped
12130/01W,,unmapped
12130/01X,,unmapped
12130/01Y,,unmapped
1217/0,,unmapped
1217/I,,unmapped
1217/IL,,unmapped
125791/0,125791,base_code
125792/0,125792,base_code
125792/1,125792,base_code
12597/03AZ,,unmapped
12635/01AI,,unmapped
12635/01AJ,,unmapped
12635/01AK,,unmapped
12635/01AL,,unmapped
12636/01AA,,unmapped
12636/01AB,,unmapped
12636/01AC,,unmapped
12636/01U,,unmapped
12636/01V,,unmapped
12636/01W,,unmapped
12636/01Y,,unmapped
12637/01U,,unmapped
12951/01,,unmapped
12956/01A,,unmapped
12999/01,,unmapped
13000/01,,unmapped
130000/33P,,unmapped
13034/01,,unmapped
13089/01A,,unmapped
13089/01C,,unmapped
13089/01D,,unmapped
13124/01A,,unmapped
13124/01B,,unmapped
13124/01C,,unmapped
13141/01A,,unmapped
13142/01A,,unmapped
13164/01A,,unmapped
13236/01A,,unmapped
13287/01A,,unmapped
13294/01A,,unmapped
13388/01A,,unmapped
13865/01,,unmapped
13865/01L,,unmapped
1418/0,1418,base_code
1418/P,1418,base_code
1418/PC,1418,base_code
14258/01A,,unmapped
14259/01A,,unmapped
1474/0,,unmapped
1474/582L,,unmapped
14891/01A,,unmapped
14891/01H,,unmapped
1538745/4060O,,unmapped
1538745/4060S,,unmapped
1540009/5254,,unmapped
1540009/5254I,,unmapped
1540009/5254X,,unmapped
1552/0,1552,base_code
15544/01A,,unmapped
15545/01A,,unmapped
15546/01A,,unmapped
15547/01A,,unmapped
15547/01T,,unmapped
15547/01U,,unmapped
15548/01A,,unmapped
15549/01A,,unmapped
15583/01A,,unmapped
15583/W,,unmapped
15584/01A,,unmapped
15584/01B,,unmapped
15584/01C,,unmapped
15584/01D,,unmapped
15605/01A,,unmapped
16131/01A,,unmapped
1629/0,,unmapped
1629/I,,unmapped
1629/I582L,,unmapped
1631/L,,unmapped
1631/LN,,unmapped
16371/01A,,unmapped
16372/01A,,unmapped
16373/01A,,unmapped
16374/01A,,unmapped
16375/01A,,unmapped
16376/01A,,unmapped
16377/01A,,unmapped
16378/01A,,unmapped
16379/01A,,unmapped
16436/01A,,unmapped
16437/01A,,unmapped
16438/01A,,unmapped
16668/01A,,unmapped
16699/01A,,unmapped
16700/01A,,unmapped
16701/01A,,unmapped
16767/01A,,unmapped
16768/01A,16768,base_code
16768/01AD,16768,base_code
16768/01AE,16768,base_code
16768/01B,16768,base_code
16769/01A,,unmapped
16770/01A,,unmapped
16771/01A,,unmapped
16772/01A,,unmapped
16773/01A,,unmapped
16774/01A,,unmapped
16779/01A,,unmapped
16783/01A,,unmapped
16785/01A,,unmapped
16789/01A,,unmapped
