bom_style,mapped_to,match_type
910001/ST1,910001,base_code
CEE4690A/1,CEE4690A,base_code
CT2328/1,,unmapped
C7T3499/FEC1,C7T3499,base_code
BK 7215/6020M,,unmapped
2140477/L,2140477,base_code
CF5176/0,CF5176,base_code
910001/STR,910001,base_code
C1B3585/1,C1B3585,base_code
7902/C,,unmapped
CEE3596/1,CEE3596,base_code
CEE4586A/1,CEE4586A,base_code
C1B3824/1,C1B3824,base_code
3000131197/0,,unmapped
CT2994/2,,unmapped
CF5522/0,,unmapped
CT2910/1,CT2910,base_code
CT2519/1,,unmapped
CF5209/0,,unmapped
MK3820K/R26V,,unmapped
CEE4013/1,CEE4013,base_code
DC3981/0,,unmapped
CF5179/0,CF5179,base_code
CT3078/2,,unmapped
H39396-TH/0,,unmapped
CMJ3162/6,CMJ3162,base_code
CF2005/0,CF2005,base_code
BK 8405/B,,unmapped
C1B4679A/1,C1B4679A,base_code
CEE3430/1,CEE3430,base_code
CEE2842/1,CEE2842,base_code
CF5028/0,CF5028,base_code
C1B4708A/1,C1B4708A,base_code
CEE4129A/1D,CEE4129A,base_code
3000070153/0,,unmapped
CT2396/0,,unmapped
CT1433/2D,CT1433,base_code
D7166/0,,unmapped
C0391F/0,,unmapped
BK 7486/4090,,unmapped
CEE4363A/1,CEE4363A,base_code
C1B3226/2,C1B3226,base_code
19364/R,,unmapped
CT2191/TT2,CT2191,base_code
GG6019-GR/0,GG6019-GR,base_code
CF5377/0,,unmapped
DC4050/0,,unmapped
FJORD-310/1,,unmapped
CT22151/1,CT22151,base_code
2377192/5V,,unmapped
CT22151/1AK,CT22151,base_code
2040072-20/0,2040072-20,base_code
CT3037/1,,unmapped
FLF490B/0,,unmapped
CT2987/2,,unmapped
CT3085/1B,CT3085,base_code
C1B4752A/1,C1B4752A,base_code
3000070188/0,,unmapped
71245B/PP,71245B,base_code
C1B4024/2,C1B4024,base_code
FF 10008/0011B,FF10008,base_code
CT1478/3N,CT1478,base_code
BK 8460/0,,unmapped
C1B3975/1,C1B3975,base_code
C1B3623/1,C1B3623,base_code
CEE4142A/1L,CEE4142A,base_code
BK 8155/02,,unmapped
CT2283/2,,unmapped
C1B3640/5,C1B3640,base_code
CT2473/1,,unmapped
CT2662/1,,unmapped
CT2819/1T,CT2819,base_code
1631/L,,unmapped
CT2298/01,,unmapped
FJORDSTR-415/1,,unmapped
MK3018T/R26VP,,unmapped
CF5398/1,CF5398,base_code
CEE4354A/1U,CEE4354A,base_code
15546/01A,,unmapped
CT1397/6U,,unmapped
SF01006/4599,,unmapped
5205/F,,unmapped
KBDU600AZ/0,KBDU600AZ,base_code
C1B3980/2,C1B3980,base_code
AM0024/0,,unmapped
C1B4098A/1,C1B4098A,base_code
FD0098/A,FD0098,base_code
2094/C,2094,base_code
3000113081/R26,,unmapped
C1B4343A/1,C1B4343A,base_code
CEE4078/1L,CEE4078,base_code
CT2935/1L,CT2935,base_code
CT3012/3,CT3012,base_code
3000070153/1,,unmapped
CT2549/3,CT2549,base_code
CT1121/1M,,unmapped
BK 8103/1,,unmapped
C1B3374/1,C1B3374,base_code
3000070185/H,,unmapped
DC4026/0,,unmapped
CT2309/1N,CT2309,base_code
CT2467/1,,unmapped
CK3013Q-14/0,,unmapped
CT0523/1,,unmapped
EXP2460/0,,unmapped
