bom_style,mapped_style,is_mapped,mapping_method
FF 10006/0001,FF10006/0001,True,space_removed
FF 10006/0001A,FF 10006/0001A,False,direct
FF 10006/0002,FF10006/0002,True,space_removed
FF 10006/0003,FF10006/0003,True,space_removed
FF 10006/0003A,FF 10006/0003A,False,direct
FF 10006/0003B,FF 10006/0003B,False,direct
FF 10006/0004,FF10006/0004,True,space_removed
FF 10006/0004A,FF 10006/0004A,False,direct
1000B/AA,1000B/AA,False,direct
1000B/AT,1000B/AT,False,direct
1000B/WA,1000B/WA,False,direct
1028/0,1028/0,False,direct
1028/582L,1028/582L,False,direct
1028/C,1028/C,False,direct
107714/3001A,107714/3001A,False,direct
107714/3001B,107714/3001B,False,direct
107716/3800A,107716/3800A,False,direct
107839/3326B,107839/3326B,False,direct
107839/3326E,107839/3326E,False,direct
116 CASPER KD/0,116 CASPER KD/0,False,direct
12042/02D,12042/02D,False,direct
12042EE/02,12042EE/02,False,direct
12130/01W,12130/01W,False,direct
12130/01X,12130/01X,False,direct
12130/01Y,12130/01Y,False,direct
1217/0,1217/0,False,direct
1217/I,1217/I,False,direct
1217/IL,1217/IL,False,direct
125791/0,125791/0,False,direct
125792/0,125792/0,False,direct
125792/1,125792/1,False,direct
12597/03AZ,12597/03AZ,False,direct
12635/01AI,12635/01AI,False,direct
12635/01AJ,12635/01AJ,False,direct
12635/01AK,12635/01AK,False,direct
12635/01AL,12635/01AL,False,direct
12636/01AA,12636/01AA,False,direct
12636/01AB,12636/01AB,False,direct
12636/01AC,12636/01AC,False,direct
12636/01U,12636/01U,False,direct
12636/01V,12636/01V,False,direct
12636/01W,12636/01W,False,direct
12636/01Y,12636/01Y,False,direct
12637/01U,12637/01U,False,direct
12951/01,12951/01,False,direct
12956/01A,12956/01A,False,direct
12999/01,12999/01,False,direct
13000/01,13000/01,False,direct
130000/33P,130000/33P,False,direct
13034/01,13034/01,False,direct
13089/01A,13089/01A,False,direct
13089/01C,13089/01C,False,direct
13089/01D,13089/01D,False,direct
13124/01A,13124/01A,False,direct
13124/01B,13124/01B,False,direct
13124/01C,13124/01C,False,direct
13141/01A,13141/01A,False,direct
13142/01A,13142/01A,False,direct
13164/01A,13164/01A,False,direct
13236/01A,13236/01A,False,direct
13287/01A,13287/01A,False,direct
13294/01A,13294/01A,False,direct
13388/01A,13388/01A,False,direct
13865/01,13865/01,False,direct
13865/01L,13865/01L,False,direct
1418/0,1418/0,False,direct
1418/P,1418/P,False,direct
1418/PC,1418/PC,False,direct
14258/01A,14258/01A,False,direct
14259/01A,14259/01A,False,direct
1474/0,1474/0,False,direct
1474/582L,1474/582L,False,direct
14891/01A,14891/01A,False,direct
