Style #,Order #,Customer,Roll #,Vendor Roll #,Rack,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Received
BK8322/0,D40508,"CFAB - CREATIVE FABRIC SERVICE, LLC",4050801,4050801,302,57.9,22.4,0.0,0.0,2020-04-07 00:00:01
BK8322/0,D40508,"CFAB - CREATIVE FABRIC SERVICE, LLC",4050802,4050802,302,98.8,44.0,0.0,0.0,2020-04-07 00:00:01
BK8322/0,D40508,"CFAB - CREATIVE FABRIC SERVICE, LLC",4050803,4050803,302,107.9,46.9,0.0,0.0,2020-04-07 00:00:01
BK8321OW/0,D40539,"CFAB - CREATIVE FABRIC SERVICE, LLC",4053901,4053901,302,62.0,29.2,0.0,0.0,2020-04-15 00:00:01
BK8321OW/0,D40656,"CFAB - CREATIVE FABRIC SERVICE, LLC",204065601,4065601,SR5,64.0,29.8,0.0,0.0,2025-06-17 13:57:00
BK8321OW/0,D40656,"CFAB - CREATIVE FABRIC SERVICE, LLC",4065602,4065602,302,63.0,31.0,0.0,0.0,2020-04-15 00:00:01
BK8187-B2/0,D40679,VOOR - VOORMI LLC,804067908,4067907,216L,78.0,21.7,0.0,0.0,2020-05-12 10:40:00
BK8187-B2/0,D40679,VOOR - VOORMI LLC,804067914,4067916,216L,172.0,45.6,0.0,0.0,2020-05-12 09:03:00
BK8187-C0/0,D40680,VOOR - VOORMI LLC,804068017,4016,216L,97.0,29.4,0.0,0.0,2020-05-15 10:52:00
BK8187-C0/0,D40680,VOOR - VOORMI LLC,804068021,4020,216L,124.0,34.2,0.0,0.0,2020-05-15 12:46:00
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",4078516,4078516,SL134,73.8,42.7,0.0,0.0,2020-04-24 00:00:01
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",4078517,4078517,SL134,69.6,42.0,0.0,0.0,2020-04-24 00:00:01
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",4078518,4078518,SL134,69.0,44.5,0.0,0.0,2020-04-24 00:00:01
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",4078519,4078519,SL134,78.4,50.3,0.0,0.0,2020-04-24 00:00:01
