qty_yds,memo_dt,knit_version,bh_customer,unit_cost_yarn,unit_cost,document,sales_order,knit_date,cost,vendor_roll_number,knit_machine,greige_purchase_order,knit_order,roll_number,greige_summary,dol_attach_log,inspection_machine,actual_created_dt,qty_lbs_at_creation,id,unit_cost_purchase,knitter,roll_width,dye_order_line,created_dt,created_by,ship_date,unit_cost_knit,return,qty_lbs,void_dt,ship_dt,inspector,roll_number_sort,bh_sales_order,warehouse
82.1,,"{'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677', 'roll_size': '50', 'foreign_id': 3165, 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '72762', 'foreign_id': 585, 'active': 1, 'id': 198}, 'act_yard_cut_wt': '0', 'created_date': '2020-12-09', 'version': 'PHL', 'active': 1, 'id': 1919}",,6.95663633,8.65663633,K2101019,,2021-01-20,432.8318165,,041,,935,032186063,541,,07,2021-01-21 02:46:03.796487,50,60338,,02247,63,,2021-01-20 23:59:59,,,1.70,,50,,,03858,321860630,,G00
84.6,,"{'act_yard_cut_wt': '0', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '72762', 'foreign_id': 585, 'id': 198, 'active': 1}, 'id': 1919, 'active': 1, 'version': 'PHL', 'created_date': '2020-12-09', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'foreign_id': 3165, 'roll_size': '50'}",,6.95663633,8.65663633,K2101019,,2021-01-20,443.219780096,,041,,935,032186064,541,,07,2021-01-21 03:01:04.190469,51.2,60342,,02247,63,,2021-01-20 23:59:59,,,1.70,,51.2,,,03858,321860640,,G00
89.3,,"{'roll_size': '50', 'foreign_id': 3165, 'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677', 'created_date': '2020-12-09', 'version': 'PHL', 'active': 1, 'id': 1919, 'knit_style_base': {'foreign_id': 585, 'id': 198, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '72762'}, 'act_yard_cut_wt': '0'}",,6.95663633,8.65663633,K2101019,,2021-01-20,474.383670884,,041,,935,032186066,541,,07,2021-01-21 03:36:08.810807,54.8,60357,,01592,63,,2021-01-20 23:59:59,,,1.70,,54.8,,,03858,321860660,,G00
115.6,,"{'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677', 'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'foreign_id': 3165, 'roll_size': '50', 'act_yard_cut_wt': '0', 'knit_style_base': {'foreign_id': 585, 'active': 1, 'id': 198, 'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}, 'id': 1919, 'active': 1, 'created_date': '2020-12-09', 'version': 'PHL'}",,6.95663633,8.65663633,K2101019,,2021-01-21,429.369161968,,041,,935,032186067,541,,07,2021-01-22 00:21:41.099502,49.6,60526,,02505,63,,2021-01-21 23:59:59,,,1.70,,49.6,,,03858,321860670,,G00
74.6,,"{'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'active': 0, 'id': 1917, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400', 'foreign_id': 496, 'active': 1, 'id': 763}}",,5.32176,6.32176,K2106028,,2021-06-23,313.559296,,075,,1409,033973001,563,,02,2021-06-24 09:31:06.756731,49.6,82665,,06351,32,,2021-06-23 23:59:59,,,1.00,,49.6,,,06138,339730010,,G00
74,,"{'created_date': '2020-12-09', 'version': '582L', 'id': 1917, 'active': 0, 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None}, 'act_yard_cut_wt': '10.7', 'roll_size': '50', 'foreign_id': 3163, 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888'}",,5.32176,6.32176,K2106028,,2021-06-23,319.24888,,075,,1409,033973002,563,,02,2021-06-29 08:51:06.060026,50.5,83409,,06351,32,,2021-06-23 23:59:59,,,1.00,,50.5,,,06138,339730020,,G00
70.2,,"{'foreign_id': 3163, 'roll_size': '50', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'id': 1917, 'active': 0, 'version': '582L', 'created_date': '2020-12-09', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'active': 1, 'id': 763}}",,5.32176,6.32176,K2106028,,2021-06-23,291.433136,,075,,1409,133973005,563,,02,2021-06-30 05:26:06.134205,46.1,83591,,01005,31,,2021-06-23 23:59:59,,,1.00,,46.1,,,06654,339730051,,G00
78.4,,"{'id': 1917, 'active': 0, 'version': '582L', 'created_date': '2020-12-09', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'active': 1, 'id': 763, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400'}, 'foreign_id': 3163, 'roll_size': '50', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978'}",,5.32176,6.32176,K2106028,,2021-06-24,329.995872,,075,,1409,033973007,563,,02,2021-06-30 01:51:06.136925,52.2,83555,,06014,35,,2021-06-24 23:59:59,,,1.00,,52.2,,,06654,339730070,,G00
72.1,,"{'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '71400', 'foreign_id': 496, 'active': 1, 'id': 763}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0}",,5.32176,6.32176,K2106028,,2021-06-24,301.547952,,075,,1409,033973008,563,,01,2021-06-24 13:01:05.619172,47.7,82720,,02482,31,,2021-06-24 23:59:59,,,1.00,,47.7,,,06586,339730080,,G00
77.5,,"{'act_yard_cut_wt': '10.7', 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'active': 0, 'id': 1917, 'version': '582L', 'created_date': '2020-12-09', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'foreign_id': 3163, 'roll_size': '50'}",,5.32176,6.32176,K2106028,,2021-06-24,317.352352,,075,,1409,033973009,563,,08,2021-06-24 19:16:21.273337,50.2,82810,,02482,35,,2021-06-24 23:59:59,,,1.00,,50.2,,,06636,339730090,,G00
