cost,roll_width,void_dt,unit_cost_yarn,knit_order,roll_number,knit_machine,inspection_machine,memo_dt,id,unit_cost_purchase,unit_cost,knit_version,vendor_roll_number,inspector,created_dt,actual_created_dt,created_by,document,ship_dt,ship_date,greige_summary,bh_sales_order,unit_cost_knit,sales_order,bh_customer,qty_lbs_at_creation,knit_date,qty_yds,greige_purchase_order,dye_order_line,dol_attach_log,return,knitter,roll_number_sort,qty_lbs,warehouse
432.8318165,63,,6.95663633,935,032186063,041,07,,60338,,8.65663633,"{'act_yard_cut_wt': '0', 'modified': '2024-03-07 09:38:40.427334', 'version': 'PHL', 'created_time': '09:28:07.483677', 'active': 1, 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 198, 'foreign_id': 585, 'created_time': None, 'active': 1}, 'id': 1919, 'foreign_id': 3165, 'created_date': '2020-12-09', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'roll_size': '50'}",,03858,2021-01-20 23:59:59,2021-01-21 02:46:03.796487,,K2101019,,,541,,1.70,,,50,2021-01-20,82.1,,,,,02247,321860630,50,G00
443.219780096,63,,6.95663633,935,032186064,041,07,,60342,,8.65663633,"{'target_yard_cut_wt': '10.65', 'price': '1.25', 'roll_size': '50', 'created_date': '2020-12-09', 'knit_style_base': {'created_time': None, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 198, 'foreign_id': 585}, 'id': 1919, 'foreign_id': 3165, 'created_time': '09:28:07.483677', 'version': 'PHL', 'active': 1, 'act_yard_cut_wt': '0', 'modified': '2024-03-07 09:38:40.427334'}",,03858,2021-01-20 23:59:59,2021-01-21 03:01:04.190469,,K2101019,,,541,,1.70,,,51.2,2021-01-20,84.6,,,,,02247,321860640,51.2,G00
474.383670884,63,,6.95663633,935,032186066,041,07,,60357,,8.65663633,"{'modified': '2024-03-07 09:38:40.427334', 'act_yard_cut_wt': '0', 'active': 1, 'version': 'PHL', 'created_time': '09:28:07.483677', 'id': 1919, 'knit_style_base': {'created_time': None, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'foreign_id': 585, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 198}, 'foreign_id': 3165, 'created_date': '2020-12-09', 'price': '1.25', 'roll_size': '50', 'target_yard_cut_wt': '10.65'}",,03858,2021-01-20 23:59:59,2021-01-21 03:36:08.810807,,K2101019,,,541,,1.70,,,54.8,2021-01-20,89.3,,,,,01592,321860660,54.8,G00
429.369161968,63,,6.95663633,935,032186067,041,07,,60526,,8.65663633,"{'target_yard_cut_wt': '10.65', 'price': '1.25', 'roll_size': '50', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 198, 'foreign_id': 585, 'created_time': None, 'active': 1}, 'foreign_id': 3165, 'id': 1919, 'created_date': '2020-12-09', 'version': 'PHL', 'created_time': '09:28:07.483677', 'active': 1, 'act_yard_cut_wt': '0', 'modified': '2024-03-07 09:38:40.427334'}",,03858,2021-01-21 23:59:59,2021-01-22 00:21:41.099502,,K2101019,,,541,,1.70,,,49.6,2021-01-21,115.6,,,,,02505,321860670,49.6,G00
313.559296,32,,5.32176,1409,033973001,075,02,,82665,,6.32176,"{'knit_style_base': {'active': 1, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 763, 'foreign_id': 496, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'created_date': '2020-12-09', 'id': 1917, 'foreign_id': 3163, 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'price': '1.00', 'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'version': '582L', 'active': 0}",,06138,2021-06-23 23:59:59,2021-06-24 09:31:06.756731,,K2106028,,,563,,1.00,,,49.6,2021-06-23,74.6,,,,,06351,339730010,49.6,G00
319.24888,32,,5.32176,1409,033973002,075,02,,83409,,6.32176,"{'created_time': '09:23:57.832888', 'version': '582L', 'active': 0, 'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'price': '1.00', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'foreign_id': 496, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 763, 'created_time': None, 'active': 1}, 'id': 1917, 'foreign_id': 3163, 'created_date': '2020-12-09'}",,06138,2021-06-23 23:59:59,2021-06-29 08:51:06.060026,,K2106028,,,563,,1.00,,,50.5,2021-06-23,74,,,,,06351,339730020,50.5,G00
291.433136,31,,5.32176,1409,133973005,075,02,,83591,,6.32176,"{'knit_style_base': {'active': 1, 'created_time': None, 'id': 763, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'id': 1917, 'created_date': '2020-12-09', 'foreign_id': 3163, 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'price': '1.00', 'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'version': '582L', 'active': 0}",,06654,2021-06-23 23:59:59,2021-06-30 05:26:06.134205,,K2106028,,,563,,1.00,,,46.1,2021-06-23,70.2,,,,,01005,339730051,46.1,G00
329.995872,35,,5.32176,1409,033973007,075,02,,83555,,6.32176,"{'active': 0, 'created_time': '09:23:57.832888', 'version': '582L', 'modified': '2024-06-11 14:05:56.6978', 'act_yard_cut_wt': '10.7', 'price': '1.00', 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'knit_style_base': {'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 763, 'foreign_id': 496, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'active': 1, 'created_time': None}, 'created_date': '2020-12-09', 'id': 1917, 'foreign_id': 3163}",,06654,2021-06-24 23:59:59,2021-06-30 01:51:06.136925,,K2106028,,,563,,1.00,,,52.2,2021-06-24,78.4,,,,,06014,339730070,52.2,G00
301.547952,31,,5.32176,1409,033973008,075,01,,82720,,6.32176,"{'version': '582L', 'created_time': '09:23:57.832888', 'active': 0, 'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'roll_size': '50', 'id': 1917, 'knit_style_base': {'created_time': None, 'active': 1, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'foreign_id': 496, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 763}, 'created_date': '2020-12-09', 'foreign_id': 3163}",,06586,2021-06-24 23:59:59,2021-06-24 13:01:05.619172,,K2106028,,,563,,1.00,,,47.7,2021-06-24,72.1,,,,,02482,339730080,47.7,G00
317.352352,35,,5.32176,1409,033973009,075,08,,82810,,6.32176,"{'price': '1.00', 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'id': 763, 'created_time': None, 'active': 1}, 'id': 1917, 'created_date': '2020-12-09', 'foreign_id': 3163, 'active': 0, 'created_time': '09:23:57.832888', 'version': '582L', 'modified': '2024-06-11 14:05:56.6978', 'act_yard_cut_wt': '10.7'}",,06636,2021-06-24 23:59:59,2021-06-24 19:16:21.273337,,K2106028,,,563,,1.00,,,50.2,2021-06-24,77.5,,,,,02482,339730090,50.2,G00
