unit_cost_yarn,void_dt,roll_width,cost,vendor_roll_number,knit_version,inspector,unit_cost,id,unit_cost_purchase,memo_dt,inspection_machine,knit_machine,roll_number,knit_order,bh_sales_order,unit_cost_knit,sales_order,greige_summary,ship_date,document,ship_dt,actual_created_dt,created_by,created_dt,qty_lbs,roll_number_sort,knitter,return,dol_attach_log,dye_order_line,greige_purchase_order,knit_date,qty_yds,qty_lbs_at_creation,bh_customer,warehouse
6.95663633,,63,432.8318165,,"{'price': '1.25', 'roll_size': '50', 'target_yard_cut_wt': '10.65', 'foreign_id': 3165, 'knit_style_base': {'foreign_id': 585, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 198, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'active': 1, 'created_time': None}, 'id': 1919, 'created_date': '2020-12-09', 'active': 1, 'version': 'PHL', 'created_time': '09:28:07.483677', 'modified': '2024-03-07 09:38:40.427334', 'act_yard_cut_wt': '0'}",03858,8.65663633,60338,,,07,041,032186063,935,,1.70,,541,,K2101019,,2021-01-21 02:46:03.796487,,2021-01-20 23:59:59,50,321860630,02247,,,,,2021-01-20,82.1,50,,G00
6.95663633,,63,443.219780096,,"{'id': 1919, 'knit_style_base': {'active': 1, 'created_time': None, 'foreign_id': 585, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 198, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762'}, 'foreign_id': 3165, 'created_date': '2020-12-09', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'roll_size': '50', 'act_yard_cut_wt': '0', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'version': 'PHL', 'active': 1}",03858,8.65663633,60342,,,07,041,032186064,935,,1.70,,541,,K2101019,,2021-01-21 03:01:04.190469,,2021-01-20 23:59:59,51.2,321860640,02247,,,,,2021-01-20,84.6,51.2,,G00
6.95663633,,63,474.383670884,,"{'active': 1, 'created_time': '09:28:07.483677', 'version': 'PHL', 'modified': '2024-03-07 09:38:40.427334', 'act_yard_cut_wt': '0', 'roll_size': '50', 'price': '1.25', 'target_yard_cut_wt': '10.65', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 585, 'id': 198, 'created_time': None, 'active': 1}, 'id': 1919, 'foreign_id': 3165, 'created_date': '2020-12-09'}",03858,8.65663633,60357,,,07,041,032186066,935,,1.70,,541,,K2101019,,2021-01-21 03:36:08.810807,,2021-01-20 23:59:59,54.8,321860660,01592,,,,,2021-01-20,89.3,54.8,,G00
6.95663633,,63,429.369161968,,"{'version': 'PHL', 'created_time': '09:28:07.483677', 'active': 1, 'act_yard_cut_wt': '0', 'modified': '2024-03-07 09:38:40.427334', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'roll_size': '50', 'foreign_id': 3165, 'knit_style_base': {'active': 1, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 198, 'foreign_id': 585, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762'}, 'id': 1919, 'created_date': '2020-12-09'}",03858,8.65663633,60526,,,07,041,032186067,935,,1.70,,541,,K2101019,,2021-01-22 00:21:41.099502,,2021-01-21 23:59:59,49.6,321860670,02505,,,,,2021-01-21,115.6,49.6,,G00
5.32176,,32,313.559296,,"{'target_yard_cut_wt': '10.10', 'price': '1.00', 'roll_size': '50', 'created_date': '2020-12-09', 'knit_style_base': {'created_time': None, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'id': 763}, 'id': 1917, 'foreign_id': 3163, 'created_time': '09:23:57.832888', 'version': '582L', 'active': 0, 'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978'}",06138,6.32176,82665,,,02,075,033973001,1409,,1.00,,563,,K2106028,,2021-06-24 09:31:06.756731,,2021-06-23 23:59:59,49.6,339730010,06351,,,,,2021-06-23,74.6,49.6,,G00
5.32176,,32,319.24888,,"{'id': 1917, 'knit_style_base': {'active': 1, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'id': 763, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400'}, 'foreign_id': 3163, 'created_date': '2020-12-09', 'roll_size': '50', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'modified': '2024-06-11 14:05:56.6978', 'act_yard_cut_wt': '10.7', 'active': 0, 'version': '582L', 'created_time': '09:23:57.832888'}",06138,6.32176,83409,,,02,075,033973002,1409,,1.00,,563,,K2106028,,2021-06-29 08:51:06.060026,,2021-06-23 23:59:59,50.5,339730020,06351,,,,,2021-06-23,74,50.5,,G00
5.32176,,31,291.433136,,"{'version': '582L', 'created_time': '09:23:57.832888', 'active': 0, 'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'active': 1, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 763, 'foreign_id': 496, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'id': 1917, 'created_date': '2020-12-09'}",06654,6.32176,83591,,,02,075,133973005,1409,,1.00,,563,,K2106028,,2021-06-30 05:26:06.134205,,2021-06-23 23:59:59,46.1,339730051,01005,,,,,2021-06-23,70.2,46.1,,G00
5.32176,,35,329.995872,,"{'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'version': '582L', 'created_time': '09:23:57.832888', 'active': 0, 'knit_style_base': {'created_time': None, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'id': 763}, 'id': 1917, 'foreign_id': 3163, 'created_date': '2020-12-09', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'price': '1.00'}",06654,6.32176,83555,,,02,075,033973007,1409,,1.00,,563,,K2106028,,2021-06-30 01:51:06.136925,,2021-06-24 23:59:59,52.2,339730070,06014,,,,,2021-06-24,78.4,52.2,,G00
5.32176,,31,301.547952,,"{'knit_style_base': {'created_time': None, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 763, 'foreign_id': 496}, 'id': 1917, 'created_date': '2020-12-09', 'foreign_id': 3163, 'target_yard_cut_wt': '10.10', 'price': '1.00', 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'version': '582L', 'active': 0}",06586,6.32176,82720,,,01,075,033973008,1409,,1.00,,563,,K2106028,,2021-06-24 13:01:05.619172,,2021-06-24 23:59:59,47.7,339730080,02482,,,,,2021-06-24,72.1,47.7,,G00
5.32176,,35,317.352352,,"{'id': 1917, 'knit_style_base': {'active': 1, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 763, 'foreign_id': 496, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'created_date': '2020-12-09', 'foreign_id': 3163, 'price': '1.00', 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'modified': '2024-06-11 14:05:56.6978', 'act_yard_cut_wt': '10.7', 'active': 0, 'created_time': '09:23:57.832888', 'version': '582L'}",06636,6.32176,82810,,,08,075,033973009,1409,,1.00,,563,,K2106028,,2021-06-24 19:16:21.273337,,2021-06-24 23:59:59,50.2,339730090,02482,,,,,2021-06-24,77.5,50.2,,G00
