dye_order_line,dol_attach_log,return,knitter,roll_number_sort,qty_lbs,qty_lbs_at_creation,bh_customer,qty_yds,knit_date,greige_purchase_order,bh_sales_order,greige_summary,sales_order,unit_cost_knit,created_dt,ship_dt,document,ship_date,created_by,actual_created_dt,memo_dt,vendor_roll_number,knit_version,inspector,id,unit_cost_purchase,unit_cost,roll_number,knit_machine,knit_order,inspection_machine,roll_width,void_dt,unit_cost_yarn,cost,warehouse
,,,02247,321860630,50,50,,82.1,2021-01-20,,,541,,1.70,2021-01-20 23:59:59,,K2101019,,,2021-01-21 02:46:03.796487,,,"{'act_yard_cut_wt': '0', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'version': 'PHL', 'active': 1, 'created_date': '2020-12-09', 'knit_style_base': {'active': 1, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 198, 'foreign_id': 585, 'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'id': 1919, 'foreign_id': 3165, 'target_yard_cut_wt': '10.65', 'roll_size': '50', 'price': '1.25'}",03858,60338,,8.65663633,032186063,041,935,07,63,,6.95663633,432.8318165,G00
,,,02247,321860640,51.2,51.2,,84.6,2021-01-20,,,541,,1.70,2021-01-20 23:59:59,,K2101019,,,2021-01-21 03:01:04.190469,,,"{'created_date': '2020-12-09', 'knit_style_base': {'foreign_id': 585, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 198, 'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'created_time': None}, 'id': 1919, 'foreign_id': 3165, 'target_yard_cut_wt': '10.65', 'price': '1.25', 'roll_size': '50', 'act_yard_cut_wt': '0', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'version': 'PHL', 'active': 1}",03858,60342,,8.65663633,032186064,041,935,07,63,,6.95663633,443.219780096,G00
,,,01592,321860660,54.8,54.8,,89.3,2021-01-20,,,541,,1.70,2021-01-20 23:59:59,,K2101019,,,2021-01-21 03:36:08.810807,,,"{'modified': '2024-03-07 09:38:40.427334', 'act_yard_cut_wt': '0', 'active': 1, 'version': 'PHL', 'created_time': '09:28:07.483677', 'foreign_id': 3165, 'knit_style_base': {'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 585, 'id': 198, 'created_time': None, 'active': 1}, 'id': 1919, 'created_date': '2020-12-09', 'roll_size': '50', 'price': '1.25', 'target_yard_cut_wt': '10.65'}",03858,60357,,8.65663633,032186066,041,935,07,63,,6.95663633,474.383670884,G00
,,,02505,321860670,49.6,49.6,,115.6,2021-01-21,,,541,,1.70,2021-01-21 23:59:59,,K2101019,,,2021-01-22 00:21:41.099502,,,"{'knit_style_base': {'active': 1, 'created_time': None, 'id': 198, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 585, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762'}, 'id': 1919, 'created_date': '2020-12-09', 'foreign_id': 3165, 'price': '1.25', 'roll_size': '50', 'target_yard_cut_wt': '10.65', 'modified': '2024-03-07 09:38:40.427334', 'act_yard_cut_wt': '0', 'active': 1, 'created_time': '09:28:07.483677', 'version': 'PHL'}",03858,60526,,8.65663633,032186067,041,935,07,63,,6.95663633,429.369161968,G00
,,,06351,339730010,49.6,49.6,,74.6,2021-06-23,,,563,,1.00,2021-06-23 23:59:59,,K2106028,,,2021-06-24 09:31:06.756731,,,"{'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'version': '582L', 'active': 0, 'knit_style_base': {'active': 1, 'created_time': None, 'id': 763, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400'}, 'foreign_id': 3163, 'id': 1917, 'created_date': '2020-12-09', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'roll_size': '50'}",06138,82665,,6.32176,033973001,075,1409,02,32,,5.32176,313.559296,G00
,,,06351,339730020,50.5,50.5,,74,2021-06-23,,,563,,1.00,2021-06-23 23:59:59,,K2106028,,,2021-06-29 08:51:06.060026,,,"{'active': 0, 'version': '582L', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'act_yard_cut_wt': '10.7', 'price': '1.00', 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'knit_style_base': {'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'id': 763, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'active': 1, 'created_time': None}, 'id': 1917, 'created_date': '2020-12-09', 'foreign_id': 3163}",06138,83409,,6.32176,033973002,075,1409,02,32,,5.32176,319.24888,G00
,,,01005,339730051,46.1,46.1,,70.2,2021-06-23,,,563,,1.00,2021-06-23 23:59:59,,K2106028,,,2021-06-30 05:26:06.134205,,,"{'knit_style_base': {'active': 1, 'created_time': None, 'foreign_id': 496, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 763, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'id': 1917, 'foreign_id': 3163, 'created_date': '2020-12-09', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'version': '582L', 'created_time': '09:23:57.832888', 'active': 0}",06654,83591,,6.32176,133973005,075,1409,02,31,,5.32176,291.433136,G00
,,,06014,339730070,52.2,52.2,,78.4,2021-06-24,,,563,,1.00,2021-06-24 23:59:59,,K2106028,,,2021-06-30 01:51:06.136925,,,"{'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'version': '582L', 'active': 0, 'created_date': '2020-12-09', 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 763, 'foreign_id': 496, 'created_time': None, 'active': 1}, 'id': 1917, 'foreign_id': 3163, 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'price': '1.00'}",06654,83555,,6.32176,033973007,075,1409,02,35,,5.32176,329.995872,G00
,,,02482,339730080,47.7,47.7,,72.1,2021-06-24,,,563,,1.00,2021-06-24 23:59:59,,K2106028,,,2021-06-24 13:01:05.619172,,,"{'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'version': '582L', 'created_time': '09:23:57.832888', 'active': 0, 'created_date': '2020-12-09', 'knit_style_base': {'active': 1, 'created_time': None, 'foreign_id': 496, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'id': 763, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400'}, 'id': 1917, 'foreign_id': 3163, 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'price': '1.00'}",06586,82720,,6.32176,033973008,075,1409,01,31,,5.32176,301.547952,G00
,,,02482,339730090,50.2,50.2,,77.5,2021-06-24,,,563,,1.00,2021-06-24 23:59:59,,K2106028,,,2021-06-24 19:16:21.273337,,,"{'knit_style_base': {'created_time': None, 'active': 1, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'id': 763}, 'id': 1917, 'foreign_id': 3163, 'created_date': '2020-12-09', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'version': '582L', 'created_time': '09:23:57.832888', 'active': 0}",06636,82810,,6.32176,033973009,075,1409,08,35,,5.32176,317.352352,G00
,,,01592,339730110,48.8,48.8,,72.5,2021-06-24,,,563,,1.00,2021-06-24 23:59:59,,K2106028,,,2021-06-25 01:16:04.733695,,,"{'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'version': '582L', 'created_time': '09:23:57.832888', 'active': 0, 'created_date': '2020-12-09', 'knit_style_base': {'active': 1, 'created_time': None, 'id': 763, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'id': 1917, 'foreign_id': 3163, 'target_yard_cut_wt': '10.10', 'price': '1.00', 'roll_size': '50'}",06654,82839,,6.32176,033973011,075,1409,08,35,,5.32176,308.501888,G00
,,,01592,339730140,50.9,50.9,,76.1,2021-06-24,,,563,,1.00,2021-06-24 23:59:59,,K2106028,,,2021-06-25 01:26:08.755651,,,"{'id': 1917, 'knit_style_base': {'active': 1, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'id': 763, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'created_date': '2020-12-09', 'foreign_id': 3163, 'target_yard_cut_wt': '10.10', 'price': '1.00', 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'version': '582L', 'created_time': '09:23:57.832888', 'active': 0}",06654,82843,,6.32176,033973014,075,1409,08,35,,5.32176,321.777584,G00
,,,01592,339730180,57.7,57.7,,86.3,2021-06-25,,,563,,1.00,2021-06-25 23:59:59,,K2106028,,,2021-06-30 00:51:06.473013,,,"{'act_yard_cut_wt': '10.7', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'version': '582L', 'active': 0, 'knit_style_base': {'active': 1, 'created_time': None, 'id': 763, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400'}, 'foreign_id': 3163, 'id': 1917, 'created_date': '2020-12-09', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'price': '1.00'}",06654,83545,,6.32176,033973018,075,1409,02,35,,5.32176,364.765552,G00
,,,01592,339730201,55.9,55.9,,86.4,2021-06-25,,,563,,1.00,2021-06-25 23:59:59,,K2106028,,,2021-06-30 05:41:18.480536,,,"{'active': 0, 'version': '582L', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'act_yard_cut_wt': '10.7', 'price': '1.00', 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'id': 763, 'created_time': None, 'active': 1}, 'id': 1917, 'created_date': '2020-12-09', 'foreign_id': 3163}",06654,83593,,6.32176,133973020,075,1409,02,35,,5.32176,353.386384,G00
