dye_order_line,id,knitter,unit_cost_purchase,roll_width,roll_number_sort,bh_sales_order,inspector,ship_dt,void_dt,created_dt,unit_cost_knit,ship_date,return,qty_lbs,created_by,unit_cost_yarn,unit_cost,knit_version,bh_customer,document,sales_order,qty_yds,memo_dt,greige_summary,knit_order,roll_number,inspection_machine,qty_lbs_at_creation,actual_created_dt,dol_attach_log,vendor_roll_number,knit_machine,greige_purchase_order,knit_date,cost,warehouse
,60338,02247,,63,321860630,,03858,,,2021-01-20 23:59:59,1.70,,,50,,6.95663633,8.65663633,"{'knit_style_base': {'base_style': '72762', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 198, 'foreign_id': 585}, 'act_yard_cut_wt': '0', 'created_date': '2020-12-09', 'version': 'PHL', 'id': 1919, 'active': 1, 'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677', 'roll_size': '50', 'foreign_id': 3165}",,K2101019,,82.1,,541,935,032186063,07,50,2021-01-21 02:46:03.796487,,,041,,2021-01-20,432.8318165,G00
,60342,02247,,63,321860640,,03858,,,2021-01-20 23:59:59,1.70,,,51.2,,6.95663633,8.65663633,"{'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '72762', 'foreign_id': 585, 'active': 1, 'id': 198}, 'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334'}",,K2101019,,84.6,,541,935,032186064,07,51.2,2021-01-21 03:01:04.190469,,,041,,2021-01-20,443.219780096,G00
,60357,01592,,63,321860660,,03858,,,2021-01-20 23:59:59,1.70,,,54.8,,6.95663633,8.65663633,"{'knit_style_base': {'base_style': '72762', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 198, 'foreign_id': 585}, 'act_yard_cut_wt': '0', 'version': 'PHL', 'created_date': '2020-12-09', 'id': 1919, 'active': 1, 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'roll_size': '50', 'foreign_id': 3165}",,K2101019,,89.3,,541,935,032186066,07,54.8,2021-01-21 03:36:08.810807,,,041,,2021-01-20,474.383670884,G00
,60526,02505,,63,321860670,,03858,,,2021-01-21 23:59:59,1.70,,,49.6,,6.95663633,8.65663633,"{'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'foreign_id': 3165, 'roll_size': '50', 'act_yard_cut_wt': '0', 'knit_style_base': {'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'id': 198, 'active': 1, 'foreign_id': 585}, 'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09'}",,K2101019,,115.6,,541,935,032186067,07,49.6,2021-01-22 00:21:41.099502,,,041,,2021-01-21,429.369161968,G00
,82665,06351,,32,339730010,,06138,,,2021-06-23 23:59:59,1.00,,,49.6,,5.32176,6.32176,"{'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'id': 763, 'active': 1, 'foreign_id': 496, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400'}, 'act_yard_cut_wt': '10.7', 'created_date': '2020-12-09', 'version': '582L', 'id': 1917, 'active': 0}",,K2106028,,74.6,,563,1409,033973001,02,49.6,2021-06-24 09:31:06.756731,,,075,,2021-06-23,313.559296,G00
,83409,06351,,32,339730020,,06138,,,2021-06-23 23:59:59,1.00,,,50.5,,5.32176,6.32176,"{'roll_size': '50', 'foreign_id': 3163, 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'created_date': '2020-12-09', 'version': '582L', 'id': 1917, 'active': 0, 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400', 'foreign_id': 496, 'id': 763, 'active': 1}, 'act_yard_cut_wt': '10.7'}",,K2106028,,74,,563,1409,033973002,02,50.5,2021-06-29 08:51:06.060026,,,075,,2021-06-23,319.24888,G00
,83591,01005,,31,339730051,,06654,,,2021-06-23 23:59:59,1.00,,,46.1,,5.32176,6.32176,"{'knit_style_base': {'id': 763, 'active': 1, 'foreign_id': 496, 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'act_yard_cut_wt': '10.7', 'created_date': '2020-12-09', 'version': '582L', 'active': 0, 'id': 1917, 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'roll_size': '50', 'foreign_id': 3163}",,K2106028,,70.2,,563,1409,133973005,02,46.1,2021-06-30 05:26:06.134205,,,075,,2021-06-23,291.433136,G00
,83555,06014,,35,339730070,,06654,,,2021-06-24 23:59:59,1.00,,,52.2,,5.32176,6.32176,"{'knit_style_base': {'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'active': 1, 'id': 763, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'created_date': '2020-12-09', 'version': '582L', 'active': 0, 'id': 1917, 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'roll_size': '50', 'foreign_id': 3163}",,K2106028,,78.4,,563,1409,033973007,02,52.2,2021-06-30 01:51:06.136925,,,075,,2021-06-24,329.995872,G00
,82720,02482,,31,339730080,,06586,,,2021-06-24 23:59:59,1.00,,,47.7,,5.32176,6.32176,"{'foreign_id': 3163, 'roll_size': '50', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'id': 1917, 'active': 0, 'version': '582L', 'created_date': '2020-12-09', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'id': 763, 'active': 1, 'foreign_id': 496, 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}}",,K2106028,,72.1,,563,1409,033973008,01,47.7,2021-06-24 13:01:05.619172,,,075,,2021-06-24,301.547952,G00
,82810,02482,,35,339730090,,06636,,,2021-06-24 23:59:59,1.00,,,50.2,,5.32176,6.32176,"{'version': '582L', 'created_date': '2020-12-09', 'active': 0, 'id': 1917, 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}, 'act_yard_cut_wt': '10.7', 'roll_size': '50', 'foreign_id': 3163, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10'}",,K2106028,,77.5,,563,1409,033973009,08,50.2,2021-06-24 19:16:21.273337,,,075,,2021-06-24,317.352352,G00
