roll_width,knitter,unit_cost_purchase,id,dye_order_line,qty_lbs,return,unit_cost_knit,ship_date,created_by,created_dt,bh_sales_order,inspector,roll_number_sort,ship_dt,void_dt,memo_dt,qty_yds,document,sales_order,unit_cost,unit_cost_yarn,bh_customer,knit_version,knit_machine,greige_purchase_order,vendor_roll_number,cost,knit_date,qty_lbs_at_creation,actual_created_dt,inspection_machine,dol_attach_log,greige_summary,roll_number,knit_order,warehouse
63,02247,,60338,,50,,1.70,,,2021-01-20 23:59:59,,03858,321860630,,,,82.1,K2101019,,8.65663633,6.95663633,,"{'id': 1919, 'active': 1, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'active': 1, 'id': 198, 'foreign_id': 585, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762'}, 'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334'}",041,,,432.8318165,2021-01-20,50,2021-01-21 02:46:03.796487,07,,541,032186063,935,G00
63,02247,,60342,,51.2,,1.70,,,2021-01-20 23:59:59,,03858,321860640,,,,84.6,K2101019,,8.65663633,6.95663633,,"{'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677', 'roll_size': '50', 'foreign_id': 3165, 'knit_style_base': {'base_style': '72762', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 198, 'active': 1, 'foreign_id': 585}, 'act_yard_cut_wt': '0', 'created_date': '2020-12-09', 'version': 'PHL', 'id': 1919, 'active': 1}",041,,,443.219780096,2021-01-20,51.2,2021-01-21 03:01:04.190469,07,,541,032186064,935,G00
63,01592,,60357,,54.8,,1.70,,,2021-01-20 23:59:59,,03858,321860660,,,,89.3,K2101019,,8.65663633,6.95663633,,"{'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'foreign_id': 585, 'id': 198, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '72762'}}",041,,,474.383670884,2021-01-20,54.8,2021-01-21 03:36:08.810807,07,,541,032186066,935,G00
63,02505,,60526,,49.6,,1.70,,,2021-01-21 23:59:59,,03858,321860670,,,,115.6,K2101019,,8.65663633,6.95663633,,"{'roll_size': '50', 'foreign_id': 3165, 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'version': 'PHL', 'created_date': '2020-12-09', 'id': 1919, 'active': 1, 'knit_style_base': {'base_style': '72762', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 198, 'active': 1, 'foreign_id': 585}, 'act_yard_cut_wt': '0'}",041,,,429.369161968,2021-01-21,49.6,2021-01-22 00:21:41.099502,07,,541,032186067,935,G00
32,06351,,82665,,49.6,,1.00,,,2021-06-23 23:59:59,,06138,339730010,,,,74.6,K2106028,,6.32176,5.32176,,"{'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 763, 'foreign_id': 496}}",075,,,313.559296,2021-06-23,49.6,2021-06-24 09:31:06.756731,02,,563,033973001,1409,G00
32,06351,,83409,,50.5,,1.00,,,2021-06-23 23:59:59,,06138,339730020,,,,74,K2106028,,6.32176,5.32176,,"{'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'foreign_id': 496, 'active': 1, 'id': 763, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400'}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0}",075,,,319.24888,2021-06-23,50.5,2021-06-29 08:51:06.060026,02,,563,033973002,1409,G00
31,01005,,83591,,46.1,,1.00,,,2021-06-23 23:59:59,,06654,339730051,,,,70.2,K2106028,,6.32176,5.32176,,"{'act_yard_cut_wt': '10.7', 'knit_style_base': {'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'id': 763, 'active': 1, 'foreign_id': 496}, 'active': 0, 'id': 1917, 'created_date': '2020-12-09', 'version': '582L', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50'}",075,,,291.433136,2021-06-23,46.1,2021-06-30 05:26:06.134205,02,,563,133973005,1409,G00
35,06014,,83555,,52.2,,1.00,,,2021-06-24 23:59:59,,06654,339730070,,,,78.4,K2106028,,6.32176,5.32176,,"{'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'foreign_id': 3163, 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 496, 'id': 763, 'active': 1}, 'id': 1917, 'active': 0, 'version': '582L', 'created_date': '2020-12-09'}",075,,,329.995872,2021-06-24,52.2,2021-06-30 01:51:06.136925,02,,563,033973007,1409,G00
31,02482,,82720,,47.7,,1.00,,,2021-06-24 23:59:59,,06586,339730080,,,,72.1,K2106028,,6.32176,5.32176,,"{'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00'}",075,,,301.547952,2021-06-24,47.7,2021-06-24 13:01:05.619172,01,,563,033973008,1409,G00
35,02482,,82810,,50.2,,1.00,,,2021-06-24 23:59:59,,06636,339730090,,,,77.5,K2106028,,6.32176,5.32176,,"{'version': '582L', 'created_date': '2020-12-09', 'active': 0, 'id': 1917, 'knit_style_base': {'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 763, 'active': 1, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'roll_size': '50', 'foreign_id': 3163, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10'}",075,,,317.352352,2021-06-24,50.2,2021-06-24 19:16:21.273337,08,,563,033973009,1409,G00
