document,sales_order,bh_customer,knit_version,unit_cost,unit_cost_yarn,memo_dt,qty_yds,dol_attach_log,qty_lbs_at_creation,actual_created_dt,inspection_machine,roll_number,knit_order,greige_summary,cost,knit_date,greige_purchase_order,knit_machine,vendor_roll_number,dye_order_line,roll_width,knitter,unit_cost_purchase,id,void_dt,ship_dt,bh_sales_order,roll_number_sort,inspector,created_by,qty_lbs,return,ship_date,unit_cost_knit,created_dt,warehouse
K2101019,,,"{'version': 'PHL', 'created_date': '2020-12-09', 'active': 1, 'id': 1919, 'knit_style_base': {'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 585, 'id': 198, 'active': 1}, 'act_yard_cut_wt': '0', 'roll_size': '50', 'foreign_id': 3165, 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65'}",8.65663633,6.95663633,,82.1,,50,2021-01-21 02:46:03.796487,07,032186063,935,541,432.8318165,2021-01-20,,041,,,63,02247,,60338,,,,321860630,03858,,50,,,1.70,2021-01-20 23:59:59,G00
K2101019,,,"{'roll_size': '50', 'foreign_id': 3165, 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'version': 'PHL', 'created_date': '2020-12-09', 'id': 1919, 'active': 1, 'knit_style_base': {'foreign_id': 585, 'id': 198, 'active': 1, 'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}, 'act_yard_cut_wt': '0'}",8.65663633,6.95663633,,84.6,,51.2,2021-01-21 03:01:04.190469,07,032186064,935,541,443.219780096,2021-01-20,,041,,,63,02247,,60342,,,,321860640,03858,,51.2,,,1.70,2021-01-20 23:59:59,G00
K2101019,,,"{'act_yard_cut_wt': '0', 'knit_style_base': {'foreign_id': 585, 'id': 198, 'active': 1, 'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None}, 'id': 1919, 'active': 1, 'version': 'PHL', 'created_date': '2020-12-09', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'foreign_id': 3165, 'roll_size': '50'}",8.65663633,6.95663633,,89.3,,54.8,2021-01-21 03:36:08.810807,07,032186066,935,541,474.383670884,2021-01-20,,041,,,63,01592,,60357,,,,321860660,03858,,54.8,,,1.70,2021-01-20 23:59:59,G00
K2101019,,,"{'act_yard_cut_wt': '0', 'knit_style_base': {'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'active': 1, 'id': 198, 'foreign_id': 585}, 'id': 1919, 'active': 1, 'version': 'PHL', 'created_date': '2020-12-09', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'foreign_id': 3165, 'roll_size': '50'}",8.65663633,6.95663633,,115.6,,49.6,2021-01-22 00:21:41.099502,07,032186067,935,541,429.369161968,2021-01-21,,041,,,63,02505,,60526,,,,321860670,03858,,49.6,,,1.70,2021-01-21 23:59:59,G00
K2106028,,,"{'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400'}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163}",6.32176,5.32176,,74.6,,49.6,2021-06-24 09:31:06.756731,02,033973001,1409,563,313.559296,2021-06-23,,075,,,32,06351,,82665,,,,339730010,06138,,49.6,,,1.00,2021-06-23 23:59:59,G00
K2106028,,,"{'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'active': 1, 'id': 763, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400'}, 'active': 0, 'id': 1917, 'created_date': '2020-12-09', 'version': '582L'}",6.32176,5.32176,,74,,50.5,2021-06-29 08:51:06.060026,02,033973002,1409,563,319.24888,2021-06-23,,075,,,32,06351,,83409,,,,339730020,06138,,50.5,,,1.00,2021-06-23 23:59:59,G00
K2106028,,,"{'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 763, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'created_date': '2020-12-09', 'version': '582L', 'active': 0, 'id': 1917}",6.32176,5.32176,,70.2,,46.1,2021-06-30 05:26:06.134205,02,133973005,1409,563,291.433136,2021-06-23,,075,,,31,01005,,83591,,,,339730051,06654,,46.1,,,1.00,2021-06-23 23:59:59,G00
K2106028,,,"{'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'active': 1, 'id': 763}, 'act_yard_cut_wt': '10.7', 'created_date': '2020-12-09', 'version': '582L', 'active': 0, 'id': 1917, 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'roll_size': '50', 'foreign_id': 3163}",6.32176,5.32176,,78.4,,52.2,2021-06-30 01:51:06.136925,02,033973007,1409,563,329.995872,2021-06-24,,075,,,35,06014,,83555,,,,339730070,06654,,52.2,,,1.00,2021-06-24 23:59:59,G00
K2106028,,,"{'knit_style_base': {'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'active': 1, 'id': 763, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'created_date': '2020-12-09', 'version': '582L', 'active': 0, 'id': 1917, 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'roll_size': '50', 'foreign_id': 3163}",6.32176,5.32176,,72.1,,47.7,2021-06-24 13:01:05.619172,01,033973008,1409,563,301.547952,2021-06-24,,075,,,31,02482,,82720,,,,339730080,06586,,47.7,,,1.00,2021-06-24 23:59:59,G00
K2106028,,,"{'roll_size': '50', 'foreign_id': 3163, 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'created_date': '2020-12-09', 'version': '582L', 'id': 1917, 'active': 0, 'knit_style_base': {'id': 763, 'active': 1, 'foreign_id': 496, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400'}, 'act_yard_cut_wt': '10.7'}",6.32176,5.32176,,77.5,,50.2,2021-06-24 19:16:21.273337,08,033973009,1409,563,317.352352,2021-06-24,,075,,,35,02482,,82810,,,,339730090,06636,,50.2,,,1.00,2021-06-24 23:59:59,G00
