dye_order_line,knitter,unit_cost_purchase,id,roll_width,void_dt,ship_dt,bh_sales_order,inspector,roll_number_sort,created_dt,created_by,return,qty_lbs,unit_cost_knit,ship_date,bh_customer,knit_version,unit_cost,unit_cost_yarn,document,sales_order,memo_dt,qty_yds,roll_number,knit_order,greige_summary,dol_attach_log,qty_lbs_at_creation,actual_created_dt,inspection_machine,cost,knit_date,knit_machine,greige_purchase_order,vendor_roll_number,warehouse
,02247,,60338,63,,,,03858,321860630,2021-01-20 23:59:59,,,50,1.70,,,"{'act_yard_cut_wt': '0', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '72762', 'foreign_id': 585, 'id': 198, 'active': 1}, 'id': 1919, 'active': 1, 'created_date': '2020-12-09', 'version': 'PHL', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677', 'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'foreign_id': 3165, 'roll_size': '50'}",8.65663633,6.95663633,K2101019,,,82.1,032186063,935,541,,50,2021-01-21 02:46:03.796487,07,432.8318165,2021-01-20,041,,,G00
,02247,,60342,63,,,,03858,321860640,2021-01-20 23:59:59,,,51.2,1.70,,,"{'roll_size': '50', 'foreign_id': 3165, 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'version': 'PHL', 'created_date': '2020-12-09', 'id': 1919, 'active': 1, 'knit_style_base': {'foreign_id': 585, 'id': 198, 'active': 1, 'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None}, 'act_yard_cut_wt': '0'}",8.65663633,6.95663633,K2101019,,,84.6,032186064,935,541,,51.2,2021-01-21 03:01:04.190469,07,443.219780096,2021-01-20,041,,,G00
,01592,,60357,63,,,,03858,321860660,2021-01-20 23:59:59,,,54.8,1.70,,,"{'roll_size': '50', 'foreign_id': 3165, 'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677', 'created_date': '2020-12-09', 'version': 'PHL', 'id': 1919, 'active': 1, 'knit_style_base': {'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'id': 198, 'active': 1, 'foreign_id': 585}, 'act_yard_cut_wt': '0'}",8.65663633,6.95663633,K2101019,,,89.3,032186066,935,541,,54.8,2021-01-21 03:36:08.810807,07,474.383670884,2021-01-20,041,,,G00
,02505,,60526,63,,,,03858,321860670,2021-01-21 23:59:59,,,49.6,1.70,,,"{'foreign_id': 3165, 'roll_size': '50', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677', 'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'active': 1, 'id': 1919, 'created_date': '2020-12-09', 'version': 'PHL', 'act_yard_cut_wt': '0', 'knit_style_base': {'foreign_id': 585, 'id': 198, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '72762'}}",8.65663633,6.95663633,K2101019,,,115.6,032186067,935,541,,49.6,2021-01-22 00:21:41.099502,07,429.369161968,2021-01-21,041,,,G00
,06351,,82665,32,,,,06138,339730010,2021-06-23 23:59:59,,,49.6,1.00,,,"{'roll_size': '50', 'foreign_id': 3163, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'version': '582L', 'created_date': '2020-12-09', 'active': 0, 'id': 1917, 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400'}, 'act_yard_cut_wt': '10.7'}",6.32176,5.32176,K2106028,,,74.6,033973001,1409,563,,49.6,2021-06-24 09:31:06.756731,02,313.559296,2021-06-23,075,,,G00
,06351,,83409,32,,,,06138,339730020,2021-06-23 23:59:59,,,50.5,1.00,,,"{'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'id': 763, 'active': 1, 'foreign_id': 496, 'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00'}",6.32176,5.32176,K2106028,,,74,033973002,1409,563,,50.5,2021-06-29 08:51:06.060026,02,319.24888,2021-06-23,075,,,G00
,01005,,83591,31,,,,06654,339730051,2021-06-23 23:59:59,,,46.1,1.00,,,"{'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0, 'knit_style_base': {'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 763, 'active': 1, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'roll_size': '50', 'foreign_id': 3163, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10'}",6.32176,5.32176,K2106028,,,70.2,133973005,1409,563,,46.1,2021-06-30 05:26:06.134205,02,291.433136,2021-06-23,075,,,G00
,06014,,83555,35,,,,06654,339730070,2021-06-24 23:59:59,,,52.2,1.00,,,"{'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400'}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0}",6.32176,5.32176,K2106028,,,78.4,033973007,1409,563,,52.2,2021-06-30 01:51:06.136925,02,329.995872,2021-06-24,075,,,G00
,02482,,82720,31,,,,06586,339730080,2021-06-24 23:59:59,,,47.7,1.00,,,"{'roll_size': '50', 'foreign_id': 3163, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0, 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 496, 'id': 763, 'active': 1}, 'act_yard_cut_wt': '10.7'}",6.32176,5.32176,K2106028,,,72.1,033973008,1409,563,,47.7,2021-06-24 13:01:05.619172,01,301.547952,2021-06-24,075,,,G00
,02482,,82810,35,,,,06636,339730090,2021-06-24 23:59:59,,,50.2,1.00,,,"{'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None}, 'act_yard_cut_wt': '10.7', 'created_date': '2020-12-09', 'version': '582L', 'active': 0, 'id': 1917}",6.32176,5.32176,K2106028,,,77.5,033973009,1409,563,,50.2,2021-06-24 19:16:21.273337,08,317.352352,2021-06-24,075,,,G00
