id,knitter,unit_cost_purchase,roll_width,dye_order_line,created_dt,ship_date,unit_cost_knit,qty_lbs,return,created_by,inspector,roll_number_sort,bh_sales_order,void_dt,ship_dt,qty_yds,memo_dt,unit_cost_yarn,unit_cost,knit_version,bh_customer,sales_order,document,vendor_roll_number,knit_machine,greige_purchase_order,knit_date,cost,greige_summary,knit_order,roll_number,inspection_machine,qty_lbs_at_creation,actual_created_dt,dol_attach_log,warehouse
60338,02247,,63,,2021-01-20 23:59:59,,1.70,50,,,03858,321860630,,,,82.1,,6.95663633,8.65663633,"{'id': 1919, 'active': 1, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'foreign_id': 585, 'id': 198, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '72762'}, 'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334'}",,,K2101019,,041,,2021-01-20,432.8318165,541,935,032186063,07,50,2021-01-21 02:46:03.796487,,G00
60342,02247,,63,,2021-01-20 23:59:59,,1.70,51.2,,,03858,321860640,,,,84.6,,6.95663633,8.65663633,"{'act_yard_cut_wt': '0', 'knit_style_base': {'base_style': '72762', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 198, 'active': 1, 'foreign_id': 585}, 'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'foreign_id': 3165, 'roll_size': '50'}",,,K2101019,,041,,2021-01-20,443.219780096,541,935,032186064,07,51.2,2021-01-21 03:01:04.190469,,G00
60357,01592,,63,,2021-01-20 23:59:59,,1.70,54.8,,,03858,321860660,,,,89.3,,6.95663633,8.65663633,"{'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'id': 198, 'active': 1, 'foreign_id': 585, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762'}, 'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334'}",,,K2101019,,041,,2021-01-20,474.383670884,541,935,032186066,07,54.8,2021-01-21 03:36:08.810807,,G00
60526,02505,,63,,2021-01-21 23:59:59,,1.70,49.6,,,03858,321860670,,,,115.6,,6.95663633,8.65663633,"{'created_date': '2020-12-09', 'version': 'PHL', 'active': 1, 'id': 1919, 'knit_style_base': {'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 585, 'id': 198, 'active': 1}, 'act_yard_cut_wt': '0', 'roll_size': '50', 'foreign_id': 3165, 'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677'}",,,K2101019,,041,,2021-01-21,429.369161968,541,935,032186067,07,49.6,2021-01-22 00:21:41.099502,,G00
82665,06351,,32,,2021-06-23 23:59:59,,1.00,49.6,,,06138,339730010,,,,74.6,,5.32176,6.32176,"{'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'id': 763, 'active': 1}, 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L'}",,,K2106028,,075,,2021-06-23,313.559296,563,1409,033973001,02,49.6,2021-06-24 09:31:06.756731,,G00
83409,06351,,32,,2021-06-23 23:59:59,,1.00,50.5,,,06138,339730020,,,,74,,5.32176,6.32176,"{'act_yard_cut_wt': '10.7', 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400'}, 'id': 1917, 'active': 0, 'version': '582L', 'created_date': '2020-12-09', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'foreign_id': 3163, 'roll_size': '50'}",,,K2106028,,075,,2021-06-23,319.24888,563,1409,033973002,02,50.5,2021-06-29 08:51:06.060026,,G00
83591,01005,,31,,2021-06-23 23:59:59,,1.00,46.1,,,06654,339730051,,,,70.2,,5.32176,6.32176,"{'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'active': 1, 'id': 763, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0}",,,K2106028,,075,,2021-06-23,291.433136,563,1409,133973005,02,46.1,2021-06-30 05:26:06.134205,,G00
83555,06014,,35,,2021-06-24 23:59:59,,1.00,52.2,,,06654,339730070,,,,78.4,,5.32176,6.32176,"{'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 496, 'active': 1, 'id': 763}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0}",,,K2106028,,075,,2021-06-24,329.995872,563,1409,033973007,02,52.2,2021-06-30 01:51:06.136925,,G00
82720,02482,,31,,2021-06-24 23:59:59,,1.00,47.7,,,06586,339730080,,,,72.1,,5.32176,6.32176,"{'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 496, 'id': 763, 'active': 1}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'active': 0, 'id': 1917}",,,K2106028,,075,,2021-06-24,301.547952,563,1409,033973008,01,47.7,2021-06-24 13:01:05.619172,,G00
82810,02482,,35,,2021-06-24 23:59:59,,1.00,50.2,,,06636,339730090,,,,77.5,,5.32176,6.32176,"{'act_yard_cut_wt': '10.7', 'knit_style_base': {'id': 763, 'active': 1, 'foreign_id': 496, 'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50'}",,,K2106028,,075,,2021-06-24,317.352352,563,1409,033973009,08,50.2,2021-06-24 19:16:21.273337,,G00
