greige_purchase_order,knit_machine,vendor_roll_number,cost,knit_date,greige_summary,roll_number,knit_order,qty_lbs_at_creation,actual_created_dt,inspection_machine,dol_attach_log,memo_dt,qty_yds,unit_cost,unit_cost_yarn,bh_customer,knit_version,sales_order,document,created_dt,return,qty_lbs,unit_cost_knit,ship_date,created_by,bh_sales_order,roll_number_sort,inspector,void_dt,ship_dt,knitter,unit_cost_purchase,id,roll_width,dye_order_line,warehouse
,041,,432.8318165,2021-01-20,541,032186063,935,50,2021-01-21 02:46:03.796487,07,,,82.1,8.65663633,6.95663633,,"{'version': 'PHL', 'created_date': '2020-12-09', 'active': 1, 'id': 1919, 'knit_style_base': {'foreign_id': 585, 'id': 198, 'active': 1, 'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}, 'act_yard_cut_wt': '0', 'roll_size': '50', 'foreign_id': 3165, 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65'}",,K2101019,2021-01-20 23:59:59,,50,1.70,,,,321860630,03858,,,02247,,60338,63,,G00
,041,,443.219780096,2021-01-20,541,032186064,935,51.2,2021-01-21 03:01:04.190469,07,,,84.6,8.65663633,6.95663633,,"{'act_yard_cut_wt': '0', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '72762', 'foreign_id': 585, 'id': 198, 'active': 1}, 'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'foreign_id': 3165, 'roll_size': '50'}",,K2101019,2021-01-20 23:59:59,,51.2,1.70,,,,321860640,03858,,,02247,,60342,63,,G00
,041,,474.383670884,2021-01-20,541,032186066,935,54.8,2021-01-21 03:36:08.810807,07,,,89.3,8.65663633,6.95663633,,"{'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677', 'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'foreign_id': 3165, 'roll_size': '50', 'act_yard_cut_wt': '0', 'knit_style_base': {'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 585, 'id': 198, 'active': 1}, 'active': 1, 'id': 1919, 'created_date': '2020-12-09', 'version': 'PHL'}",,K2101019,2021-01-20 23:59:59,,54.8,1.70,,,,321860660,03858,,,01592,,60357,63,,G00
,041,,429.369161968,2021-01-21,541,032186067,935,49.6,2021-01-22 00:21:41.099502,07,,,115.6,8.65663633,6.95663633,,"{'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'id': 1919, 'active': 1, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '72762', 'foreign_id': 585, 'id': 198, 'active': 1}}",,K2101019,2021-01-21 23:59:59,,49.6,1.70,,,,321860670,03858,,,02505,,60526,63,,G00
,075,,313.559296,2021-06-23,563,033973001,1409,49.6,2021-06-24 09:31:06.756731,02,,,74.6,6.32176,5.32176,,"{'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 763, 'foreign_id': 496}}",,K2106028,2021-06-23 23:59:59,,49.6,1.00,,,,339730010,06138,,,06351,,82665,32,,G00
,075,,319.24888,2021-06-23,563,033973002,1409,50.5,2021-06-29 08:51:06.060026,02,,,74,6.32176,5.32176,,"{'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 496, 'active': 1, 'id': 763}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163}",,K2106028,2021-06-23 23:59:59,,50.5,1.00,,,,339730020,06138,,,06351,,83409,32,,G00
,075,,291.433136,2021-06-23,563,133973005,1409,46.1,2021-06-30 05:26:06.134205,02,,,70.2,6.32176,5.32176,,"{'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 496, 'active': 1, 'id': 763}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'active': 0, 'id': 1917, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163}",,K2106028,2021-06-23 23:59:59,,46.1,1.00,,,,339730051,06654,,,01005,,83591,31,,G00
,075,,329.995872,2021-06-24,563,033973007,1409,52.2,2021-06-30 01:51:06.136925,02,,,78.4,6.32176,5.32176,,"{'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 496, 'id': 763, 'active': 1}, 'act_yard_cut_wt': '10.7', 'created_date': '2020-12-09', 'version': '582L', 'id': 1917, 'active': 0}",,K2106028,2021-06-24 23:59:59,,52.2,1.00,,,,339730070,06654,,,06014,,83555,35,,G00
,075,,301.547952,2021-06-24,563,033973008,1409,47.7,2021-06-24 13:01:05.619172,01,,,72.1,6.32176,5.32176,,"{'knit_style_base': {'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'active': 1, 'id': 763, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163}",,K2106028,2021-06-24 23:59:59,,47.7,1.00,,,,339730080,06586,,,02482,,82720,31,,G00
,075,,317.352352,2021-06-24,563,033973009,1409,50.2,2021-06-24 19:16:21.273337,08,,,77.5,6.32176,5.32176,,"{'version': '582L', 'created_date': '2020-12-09', 'active': 0, 'id': 1917, 'knit_style_base': {'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 763, 'active': 1, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'roll_size': '50', 'foreign_id': 3163, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10'}",,K2106028,2021-06-24 23:59:59,,50.2,1.00,,,,339730090,06636,,,02482,,82810,35,,G00
