dye_order_line,id,unit_cost_purchase,knitter,roll_width,ship_dt,void_dt,bh_sales_order,inspector,roll_number_sort,created_dt,created_by,unit_cost_knit,ship_date,return,qty_lbs,knit_version,bh_customer,unit_cost_yarn,unit_cost,document,sales_order,qty_yds,memo_dt,knit_order,roll_number,greige_summary,dol_attach_log,inspection_machine,qty_lbs_at_creation,actual_created_dt,knit_date,cost,vendor_roll_number,knit_machine,greige_purchase_order,warehouse
,60338,,02247,63,,,,03858,321860630,2021-01-20 23:59:59,,1.70,,,50,"{'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'active': 1, 'id': 198, 'foreign_id': 585}}",,6.95663633,8.65663633,K2101019,,82.1,,935,032186063,541,,07,50,2021-01-21 02:46:03.796487,2021-01-20,432.8318165,,041,,G00
,60342,,02247,63,,,,03858,321860640,2021-01-20 23:59:59,,1.70,,,51.2,"{'created_date': '2020-12-09', 'version': 'PHL', 'id': 1919, 'active': 1, 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '72762', 'foreign_id': 585, 'id': 198, 'active': 1}, 'act_yard_cut_wt': '0', 'roll_size': '50', 'foreign_id': 3165, 'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677'}",,6.95663633,8.65663633,K2101019,,84.6,,935,032186064,541,,07,51.2,2021-01-21 03:01:04.190469,2021-01-20,443.219780096,,041,,G00
,60357,,01592,63,,,,03858,321860660,2021-01-20 23:59:59,,1.70,,,54.8,"{'roll_size': '50', 'foreign_id': 3165, 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'version': 'PHL', 'created_date': '2020-12-09', 'id': 1919, 'active': 1, 'knit_style_base': {'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'active': 1, 'id': 198, 'foreign_id': 585}, 'act_yard_cut_wt': '0'}",,6.95663633,8.65663633,K2101019,,89.3,,935,032186066,541,,07,54.8,2021-01-21 03:36:08.810807,2021-01-20,474.383670884,,041,,G00
,60526,,02505,63,,,,03858,321860670,2021-01-21 23:59:59,,1.70,,,49.6,"{'active': 1, 'id': 1919, 'created_date': '2020-12-09', 'version': 'PHL', 'act_yard_cut_wt': '0', 'knit_style_base': {'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762', 'active': 1, 'id': 198, 'foreign_id': 585}, 'foreign_id': 3165, 'roll_size': '50', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677', 'modified': '2024-03-07 09:38:40.427334', 'price': '1.25'}",,6.95663633,8.65663633,K2101019,,115.6,,935,032186067,541,,07,49.6,2021-01-22 00:21:41.099502,2021-01-21,429.369161968,,041,,G00
,82665,,06351,32,,,,06138,339730010,2021-06-23 23:59:59,,1.00,,,49.6,"{'act_yard_cut_wt': '10.7', 'knit_style_base': {'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 763, 'active': 1, 'foreign_id': 496}, 'active': 0, 'id': 1917, 'created_date': '2020-12-09', 'version': '582L', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50'}",,5.32176,6.32176,K2106028,,74.6,,1409,033973001,563,,02,49.6,2021-06-24 09:31:06.756731,2021-06-23,313.559296,,075,,G00
,83409,,06351,32,,,,06138,339730020,2021-06-23 23:59:59,,1.00,,,50.5,"{'roll_size': '50', 'foreign_id': 3163, 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'created_date': '2020-12-09', 'version': '582L', 'id': 1917, 'active': 0, 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'act_yard_cut_wt': '10.7'}",,5.32176,6.32176,K2106028,,74,,1409,033973002,563,,02,50.5,2021-06-29 08:51:06.060026,2021-06-23,319.24888,,075,,G00
,83591,,01005,31,,,,06654,339730051,2021-06-23 23:59:59,,1.00,,,46.1,"{'active': 0, 'id': 1917, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400'}, 'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00'}",,5.32176,6.32176,K2106028,,70.2,,1409,133973005,563,,02,46.1,2021-06-30 05:26:06.134205,2021-06-23,291.433136,,075,,G00
,83555,,06014,35,,,,06654,339730070,2021-06-24 23:59:59,,1.00,,,52.2,"{'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400', 'foreign_id': 496, 'active': 1, 'id': 763}, 'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00'}",,5.32176,6.32176,K2106028,,78.4,,1409,033973007,563,,02,52.2,2021-06-30 01:51:06.136925,2021-06-24,329.995872,,075,,G00
,82720,,02482,31,,,,06586,339730080,2021-06-24 23:59:59,,1.00,,,47.7,"{'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400'}, 'act_yard_cut_wt': '10.7', 'created_date': '2020-12-09', 'version': '582L', 'id': 1917, 'active': 0}",,5.32176,6.32176,K2106028,,72.1,,1409,033973008,563,,01,47.7,2021-06-24 13:01:05.619172,2021-06-24,301.547952,,075,,G00
,82810,,02482,35,,,,06636,339730090,2021-06-24 23:59:59,,1.00,,,50.2,"{'active': 0, 'id': 1917, 'version': '582L', 'created_date': '2020-12-09', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None}, 'foreign_id': 3163, 'roll_size': '50', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978'}",,5.32176,6.32176,K2106028,,77.5,,1409,033973009,563,,08,50.2,2021-06-24 19:16:21.273337,2021-06-24,317.352352,,075,,G00
