created_by,qty_lbs,return,unit_cost_knit,ship_date,created_dt,ship_dt,void_dt,inspector,roll_number_sort,bh_sales_order,roll_width,knitter,unit_cost_purchase,id,dye_order_line,cost,knit_date,knit_machine,greige_purchase_order,vendor_roll_number,dol_attach_log,actual_created_dt,qty_lbs_at_creation,inspection_machine,roll_number,knit_order,greige_summary,memo_dt,qty_yds,document,sales_order,bh_customer,knit_version,unit_cost,unit_cost_yarn,warehouse
,50,,1.70,,2021-01-20 23:59:59,,,03858,321860630,,63,02247,,60338,,432.8318165,2021-01-20,041,,,,2021-01-21 02:46:03.796487,50,07,032186063,935,541,,82.1,K2101019,,,"{'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'id': 1919, 'active': 1, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 585, 'id': 198, 'active': 1}}",8.65663633,6.95663633,G00
,51.2,,1.70,,2021-01-20 23:59:59,,,03858,321860640,,63,02247,,60342,,443.219780096,2021-01-20,041,,,,2021-01-21 03:01:04.190469,51.2,07,032186064,935,541,,84.6,K2101019,,,"{'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677', 'roll_size': '50', 'foreign_id': 3165, 'knit_style_base': {'active': 1, 'id': 198, 'foreign_id': 585, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762'}, 'act_yard_cut_wt': '0', 'created_date': '2020-12-09', 'version': 'PHL', 'active': 1, 'id': 1919}",8.65663633,6.95663633,G00
,54.8,,1.70,,2021-01-20 23:59:59,,,03858,321860660,,63,01592,,60357,,474.383670884,2021-01-20,041,,,,2021-01-21 03:36:08.810807,54.8,07,032186066,935,541,,89.3,K2101019,,,"{'id': 1919, 'active': 1, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'foreign_id': 585, 'id': 198, 'active': 1, 'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None}, 'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334'}",8.65663633,6.95663633,G00
,49.6,,1.70,,2021-01-21 23:59:59,,,03858,321860670,,63,02505,,60526,,429.369161968,2021-01-21,041,,,,2021-01-22 00:21:41.099502,49.6,07,032186067,935,541,,115.6,K2101019,,,"{'created_date': '2020-12-09', 'version': 'PHL', 'id': 1919, 'active': 1, 'knit_style_base': {'active': 1, 'id': 198, 'foreign_id': 585, 'base_style': '72762', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'act_yard_cut_wt': '0', 'roll_size': '50', 'foreign_id': 3165, 'modified': '2024-03-07 09:38:40.427334', 'price': '1.25', 'target_yard_cut_wt': '10.65', 'created_time': '09:28:07.483677'}",8.65663633,6.95663633,G00
,49.6,,1.00,,2021-06-23 23:59:59,,,06138,339730010,,32,06351,,82665,,313.559296,2021-06-23,075,,,,2021-06-24 09:31:06.756731,49.6,02,033973001,1409,563,,74.6,K2106028,,,"{'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'foreign_id': 496, 'active': 1, 'id': 763, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '71400'}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'active': 0, 'id': 1917}",6.32176,5.32176,G00
,50.5,,1.00,,2021-06-23 23:59:59,,,06138,339730020,,32,06351,,83409,,319.24888,2021-06-23,075,,,,2021-06-29 08:51:06.060026,50.5,02,033973002,1409,563,,74,K2106028,,,"{'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'foreign_id': 496, 'active': 1, 'id': 763}, 'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00'}",6.32176,5.32176,G00
,46.1,,1.00,,2021-06-23 23:59:59,,,06654,339730051,,31,01005,,83591,,291.433136,2021-06-23,075,,,,2021-06-30 05:26:06.134205,46.1,02,133973005,1409,563,,70.2,K2106028,,,"{'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'roll_size': '50', 'foreign_id': 3163, 'knit_style_base': {'base_style': '71400', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 763, 'active': 1, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'created_date': '2020-12-09', 'version': '582L', 'active': 0, 'id': 1917}",6.32176,5.32176,G00
,52.2,,1.00,,2021-06-24 23:59:59,,,06654,339730070,,35,06014,,83555,,329.995872,2021-06-24,075,,,,2021-06-30 01:51:06.136925,52.2,02,033973007,1409,563,,78.4,K2106028,,,"{'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 763, 'active': 1, 'foreign_id': 496}}",6.32176,5.32176,G00
,47.7,,1.00,,2021-06-24 23:59:59,,,06586,339730080,,31,02482,,82720,,301.547952,2021-06-24,075,,,,2021-06-24 13:01:05.619172,47.7,01,033973008,1409,563,,72.1,K2106028,,,"{'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0, 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'base_style': '71400', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}, 'act_yard_cut_wt': '10.7', 'roll_size': '50', 'foreign_id': 3163, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10'}",6.32176,5.32176,G00
,50.2,,1.00,,2021-06-24 23:59:59,,,06636,339730090,,35,02482,,82810,,317.352352,2021-06-24,075,,,,2021-06-24 19:16:21.273337,50.2,08,033973009,1409,563,,77.5,K2106028,,,"{'version': '582L', 'created_date': '2020-12-09', 'active': 0, 'id': 1917, 'knit_style_base': {'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'id': 763, 'active': 1, 'foreign_id': 496}, 'act_yard_cut_wt': '10.7', 'roll_size': '50', 'foreign_id': 3163, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10'}",6.32176,5.32176,G00
,48.8,,1.00,,2021-06-24 23:59:59,,,06654,339730110,,35,01592,,82839,,308.501888,2021-06-24,075,,,,2021-06-25 01:16:04.733695,48.8,08,033973011,1409,563,,72.5,K2106028,,,"{'knit_style_base': {'foreign_id': 496, 'id': 763, 'active': 1, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL'}, 'act_yard_cut_wt': '10.7', 'version': '582L', 'created_date': '2020-12-09', 'id': 1917, 'active': 0, 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'roll_size': '50', 'foreign_id': 3163}",6.32176,5.32176,G00
