inspection_machine,qty_lbs_at_creation,actual_created_dt,dol_attach_log,greige_summary,knit_order,roll_number,vendor_roll_number,knit_machine,greige_purchase_order,knit_date,cost,sales_order,document,unit_cost_yarn,unit_cost,knit_version,bh_customer,qty_yds,memo_dt,inspector,bh_sales_order,roll_number_sort,ship_dt,void_dt,ship_date,unit_cost_knit,return,qty_lbs,created_by,created_dt,dye_order_line,roll_width,id,knitter,unit_cost_purchase,warehouse
07,50,2021-01-21 02:46:03.796487,,541,935,032186063,,041,,2021-01-20,432.8318165,,K2101019,6.95663633,8.65663633,"{'knit_style_base': {'base_style': '72762', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 198, 'active': 1, 'foreign_id': 585}, 'act_yard_cut_wt': '0', 'version': 'PHL', 'created_date': '2020-12-09', 'id': 1919, 'active': 1, 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'roll_size': '50', 'foreign_id': 3165}",,82.1,,03858,,321860630,,,,1.70,,50,,2021-01-20 23:59:59,,63,60338,02247,,G00
07,51.2,2021-01-21 03:01:04.190469,,541,935,032186064,,041,,2021-01-20,443.219780096,,K2101019,6.95663633,8.65663633,"{'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '72762', 'foreign_id': 585, 'active': 1, 'id': 198}, 'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334'}",,84.6,,03858,,321860640,,,,1.70,,51.2,,2021-01-20 23:59:59,,63,60342,02247,,G00
07,54.8,2021-01-21 03:36:08.810807,,541,935,032186066,,041,,2021-01-20,474.383670884,,K2101019,6.95663633,8.65663633,"{'act_yard_cut_wt': '0', 'knit_style_base': {'id': 198, 'active': 1, 'foreign_id': 585, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '72762'}, 'active': 1, 'id': 1919, 'version': 'PHL', 'created_date': '2020-12-09', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334', 'foreign_id': 3165, 'roll_size': '50'}",,89.3,,03858,,321860660,,,,1.70,,54.8,,2021-01-20 23:59:59,,63,60357,01592,,G00
07,49.6,2021-01-22 00:21:41.099502,,541,935,032186067,,041,,2021-01-21,429.369161968,,K2101019,6.95663633,8.65663633,"{'id': 1919, 'active': 1, 'version': 'PHL', 'created_date': '2020-12-09', 'act_yard_cut_wt': '0', 'knit_style_base': {'base_style': '72762', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'foreign_id': 585, 'id': 198, 'active': 1}, 'foreign_id': 3165, 'roll_size': '50', 'created_time': '09:28:07.483677', 'target_yard_cut_wt': '10.65', 'price': '1.25', 'modified': '2024-03-07 09:38:40.427334'}",,115.6,,03858,,321860670,,,,1.70,,49.6,,2021-01-21 23:59:59,,63,60526,02505,,G00
02,49.6,2021-06-24 09:31:06.756731,,563,1409,033973001,,075,,2021-06-23,313.559296,,K2106028,5.32176,6.32176,"{'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'foreign_id': 496, 'active': 1, 'id': 763, 'base_style': '71400', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None}}",,74.6,,06138,,339730010,,,,1.00,,49.6,,2021-06-23 23:59:59,,32,82665,06351,,G00
02,50.5,2021-06-29 08:51:06.060026,,563,1409,033973002,,075,,2021-06-23,319.24888,,K2106028,5.32176,6.32176,"{'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '71400', 'foreign_id': 496, 'active': 1, 'id': 763}}",,74,,06138,,339730020,,,,1.00,,50.5,,2021-06-23 23:59:59,,32,83409,06351,,G00
02,46.1,2021-06-30 05:26:06.134205,,563,1409,133973005,,075,,2021-06-23,291.433136,,K2106028,5.32176,6.32176,"{'created_time': '09:23:57.832888', 'target_yard_cut_wt': '10.10', 'price': '1.00', 'modified': '2024-06-11 14:05:56.6978', 'foreign_id': 3163, 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400', 'active': 1, 'id': 763, 'foreign_id': 496}, 'active': 0, 'id': 1917, 'version': '582L', 'created_date': '2020-12-09'}",,70.2,,06654,,339730051,,,,1.00,,46.1,,2021-06-23 23:59:59,,31,83591,01005,,G00
02,52.2,2021-06-30 01:51:06.136925,,563,1409,033973007,,075,,2021-06-24,329.995872,,K2106028,5.32176,6.32176,"{'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'active': 1, 'id': 763, 'foreign_id': 496, 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '71400'}, 'active': 0, 'id': 1917, 'created_date': '2020-12-09', 'version': '582L'}",,78.4,,06654,,339730070,,,,1.00,,52.2,,2021-06-24 23:59:59,,35,83555,06014,,G00
01,47.7,2021-06-24 13:01:05.619172,,563,1409,033973008,,075,,2021-06-24,301.547952,,K2106028,5.32176,6.32176,"{'foreign_id': 3163, 'roll_size': '50', 'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'id': 1917, 'active': 0, 'created_date': '2020-12-09', 'version': '582L', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None, 'base_style': '71400', 'foreign_id': 496, 'id': 763, 'active': 1}}",,72.1,,06586,,339730080,,,,1.00,,47.7,,2021-06-24 23:59:59,,31,82720,02482,,G00
08,50.2,2021-06-24 19:16:21.273337,,563,1409,033973009,,075,,2021-06-24,317.352352,,K2106028,5.32176,6.32176,"{'target_yard_cut_wt': '10.10', 'created_time': '09:23:57.832888', 'modified': '2024-06-11 14:05:56.6978', 'price': '1.00', 'foreign_id': 3163, 'roll_size': '50', 'act_yard_cut_wt': '10.7', 'knit_style_base': {'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': '71400', 'foreign_id': 496, 'id': 763, 'active': 1}, 'active': 0, 'id': 1917, 'created_date': '2020-12-09', 'version': '582L'}",,77.5,,06636,,339730090,,,,1.00,,50.2,,2021-06-24 23:59:59,,35,82810,02482,,G00
