Style #,Customer,Order #,Roll #,Vendor Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Processor,Received
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,6963606,6963606,196.0,51.2,0,0,Altus - Plant 3,2025-08-26 14:01:08
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,6963608,6963608,199.0,51.8,0,0,Altus - Plant 3,2025-08-26 14:01:08
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,6963607,6963607,197.0,51.2,0,0,Altus - Plant 3,2025-08-26 14:01:08
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,6963602,6963602,199.0,51.4,0,0,Altus - Plant 3,2025-08-26 14:01:07
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,6963610,6963610,198.0,51.6,0,0,Altus - Plant 3,2025-08-26 14:01:08
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,6963605,6963605,198.0,51.4,0,0,Altus - Plant 3,2025-08-26 14:01:07
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,6963603,6963603,199.0,51.8,0,0,Altus - Plant 3,2025-08-26 14:01:07
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,6963601,6963601,198.0,51.4,0,0,Altus - Plant 3,2025-08-26 14:01:07
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,6963609,6963609,203.0,52.2,0,0,Altus - Plant 3,2025-08-26 14:01:08
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,6963604,6963604,199.0,51.8,0,0,Altus - Plant 3,2025-08-26 14:01:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970504,6970504,25.0,60.0,0,0,Altus - Plant 3,2025-08-29 15:55:06
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970508,6970508,25.6,60.0,0,0,Altus - Plant 3,2025-08-29 15:55:06
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970509,6970509,25.0,60.0,0,0,Altus - Plant 3,2025-08-29 15:55:06
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970505,6970505,25.0,60.0,0,0,Altus - Plant 3,2025-08-29 15:55:06
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970507,6970507,25.0,60.0,0,0,Altus - Plant 3,2025-08-29 15:55:06
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,906970503,6970503,8.0,20.0,0,0,Altus - Plant 3,2025-08-29 15:55:06
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970502,6970502,25.2,62.0,0,0,Altus - Plant 3,2025-08-29 15:55:06
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970501,6970501,25.0,58.0,0,0,Altus - Plant 3,2025-08-29 15:55:06
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967308,6967308,21.0,50.0,0,0,Altus - Plant 3,2025-08-29 13:05:03
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967304,6967304,20.0,49.5,0,0,Altus - Plant 3,2025-08-29 13:05:03
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967310,6967310,21.0,51.0,0,0,Altus - Plant 3,2025-08-29 13:05:03
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967303,6967303,20.0,51.0,0,0,Altus - Plant 3,2025-08-29 13:05:03
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967307,6967307,20.0,49.0,0,0,Altus - Plant 3,2025-08-29 13:05:03
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967302,6967302,20.0,51.6,0,0,Altus - Plant 3,2025-08-29 13:05:03
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967309,6967309,20.0,49.3,0,0,Altus - Plant 3,2025-08-29 13:05:03
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967306,6967306,20.0,50.0,0,0,Altus - Plant 3,2025-08-29 13:05:03
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967301,6967301,20.0,52.3,0,0,Altus - Plant 3,2025-08-29 13:05:03
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967305,6967305,20.4,50.0,0,0,Altus - Plant 3,2025-08-29 13:05:03
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,906967311,6967311,17.0,43.0,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967315,6967315,20.8,49.0,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967314,6967314,21.0,50.0,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967317,6967317,21.0,50.0,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967312,6967312,14.0,34.0,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967319,6967319,20.7,49.0,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967318,6967318,21.6,50.0,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967316,6967316,20.8,49.6,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,6967320,6967320,15.0,37.0,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69673,906967313,6967313,7.0,17.0,0,0,Altus - Plant 3,2025-08-29 15:55:04
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970518,6970518,31.0,73.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970517,6970517,25.0,58.7,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,906970516,6970516,12.0,28.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,906970515,6970515,21.0,49.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970514,6970514,16.0,38.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970510,6970510,26.0,61.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970512,6970512,23.6,57.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970513,6970513,24.0,56.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970511,6970511,22.0,55.0,0,0,Altus - Plant 3,2025-08-29 15:55:07
C1B3472-1/0,CTIC - CREATIVE TICKING,D69705,6970506,6970506,25.0,60.2,0,0,Altus - Plant 3,2025-08-29 15:55:06
C1B3941-1/0,CTIC - CREATIVE TICKING,D69695,6969502,6969502,32.0,49.5,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B3941-1/0,CTIC - CREATIVE TICKING,D69695,6969504,6969504,54.0,83.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B3941-1/0,CTIC - CREATIVE TICKING,D69695,6969503,6969503,33.0,50.0,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B3941-1/0,CTIC - CREATIVE TICKING,D69695,6969501,6969501,32.9,50.6,0,0,Altus - Plant 3,2025-08-30 12:15:06
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971010,6971010,43.2,53.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971009,6971009,40.6,48.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971006,6971006,42.8,52.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4125-1/0,CTIC - CREATIVE TICKING,D69710,6971008,6971008,41.0,50.0,0,0,Altus - Plant 3,2025-08-30 12:15:08
