serial_number,split_from,sched_enter_by,ship_to,status,qty_ordered,bki,related_dye_order_plan,purchase_order,sched_done_by,knit_version,unit_cost_yarn,machine,knit_price,modified,costing_exception_overridden,ship_to_processor,active,customer_service_rep,schedule_status,instructions,seconds,qty_received,knit_start,sched_enter_dt,sched_done_dt,balance,internal_notes,note,created_date,created_by,knit_style_base,close_dt,job,qty_shipped,id,knitter,quoted_date,uom,qty_G00,requested_date,updated_by
K2509038,,10,,Open,2400,,,,,"{'roll_size': '50', 'foreign_id': 7893, 'price': '0.50', 'modified': '2025-06-26 16:24:19.368616', 'created_time': '16:01:26.261629', 'target_yard_cut_wt': '10.00', 'version': '0', 'created_date': '2024-12-03', 'id': 5875, 'active': 1, 'knit_style_base': 3289, 'act_yard_cut_wt': '10.15'}",0,44,0.50,2025-09-12 15:07:48.236101,0,4.0,1,1,Required,,,0,2025-09-13,2025-09-12 15:07:48.236101,,2400,,,2025-09-12 15:07:48.236101,10,"{'base_style': 'CF5459', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'foreign_id': 5157, 'id': 3289, 'active': 1}",,34475,,6633,1,,lbs,,2025-09-19,10
K2509037,,80,,Open,50,45485,9112.0,,,"{'foreign_id': 8448, 'roll_size': '50', 'target_yard_cut_wt': '32', 'created_time': '10:55:31.89194', 'modified': '2025-08-04 10:55:31.89194', 'price': '0.85', 'id': 6289, 'active': 1, 'created_date': '2025-08-04', 'version': '2', 'act_yard_cut_wt': '33.55', 'knit_style_base': 3460}",2.609,198,0.85,2025-09-11 10:31:21.379265,0,,1,16,Required,,,0,2025-09-19,2025-09-11 10:22:37.453194,,50,,,2025-09-11 10:22:37.453194,80,"{'foreign_id': 5395, 'active': 1, 'id': 3460, 'base_style': 'C1B4761A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING'}",,34425,,6632,1,,lbs,,2025-10-01,80
K2509036,,80,,Open,50,45482,9110.0,,,"{'roll_size': '50', 'foreign_id': 8447, 'price': '0.85', 'modified': '2025-08-04 10:38:17.520328', 'created_time': '10:38:17.520328', 'target_yard_cut_wt': '32', 'version': '3', 'created_date': '2025-08-04', 'id': 6288, 'active': 1, 'knit_style_base': 3440, 'act_yard_cut_wt': '31.80'}",2.49386,198,0.85,2025-09-11 08:44:51.221177,0,,1,16,Required,,,0,2025-09-17,2025-09-10 16:14:50.24603,,50,,,2025-09-10 16:14:50.24603,80,"{'base_style': 'C1B4749A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 3440, 'active': 1, 'foreign_id': 5373}",,34418,,6631,1,,lbs,,2025-10-01,80
K2509035,,80,,Open,50,45481,9109.0,,,"{'modified': '2025-09-12 09:33:11.950355', 'price': '0.85', 'target_yard_cut_wt': '32', 'created_time': '10:34:45.456161', 'roll_size': '50', 'foreign_id': 8446, 'knit_style_base': 3440, 'act_yard_cut_wt': '31.80', 'created_date': '2025-08-04', 'version': '2', 'active': 1, 'id': 6287}",2.5027,198,0.85,2025-09-12 09:34:14.556517,0,,1,16,Required,,,0,2025-09-16,2025-09-10 15:53:34.294514,,50,,,2025-09-10 15:53:34.294514,80,"{'active': 1, 'id': 3440, 'foreign_id': 5373, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4749A'}",,34416,,6630,1,,lbs,,2025-10-01,80
K2509034,,80,,Open,70,45480,9108.0,,,"{'act_yard_cut_wt': None, 'knit_style_base': 3503, 'active': 1, 'id': 6283, 'created_date': '2025-07-31', 'version': '1', 'target_yard_cut_wt': '26.0', 'created_time': '12:57:12.51194', 'modified': '2025-09-10 16:13:03.803426', 'price': '1.25', 'foreign_id': 8442, 'roll_size': '70'}",3.192658,205,1.25,2025-09-12 09:34:16.506772,0,,1,16,Required,,,0,2025-09-22,2025-09-10 13:30:00.507475,,70,,,2025-09-10 13:30:00.507475,80,"{'base_style': 'CEE4784A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 3503, 'foreign_id': 5450}",,34410,,6629,1,,lbs,,2025-10-01,80
K2509033,,80,,Open,50,45479,,,,"{'foreign_id': 8536, 'roll_size': '50', 'created_time': '13:01:59.210668', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-10 11:29:25.386043', 'id': 6363, 'active': 1, 'version': '1', 'created_date': '2025-09-09', 'act_yard_cut_wt': None, 'knit_style_base': 3532}",1.66174,15,1.25,2025-09-10 13:06:26.310657,0,,1,16,Required,,,0,2025-09-15,2025-09-10 11:30:49.244401,,50,,,2025-09-10 11:30:49.244401,80,"{'base_style': 'CV4806A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 3532, 'foreign_id': 5490}",,34402,,6628,1,,lbs,,2025-09-16,80
K2509031,,80,,Open,50,45477,,,,"{'act_yard_cut_wt': None, 'knit_style_base': 3533, 'active': 1, 'id': 6364, 'created_date': '2025-09-09', 'version': '1', 'target_yard_cut_wt': '22.00', 'created_time': '15:16:55.719858', 'modified': '2025-09-10 03:16:55.459887', 'price': '1.25', 'foreign_id': 8537, 'roll_size': '50'}",1.66174,15,1.25,2025-09-10 11:22:50.864522,0,,1,16,Required,,,0,2025-09-15,2025-09-10 11:01:28.554245,,50,,,2025-09-10 11:01:28.554245,80,"{'base_style': 'CV4810A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'foreign_id': 5491, 'id': 3533, 'active': 1}",,34399,,6626,1,,lbs,,2025-09-16,80
K2509030,,80,,Open,50,45476,,,,"{'roll_size': '50', 'foreign_id': 8535, 'modified': '2025-09-10 03:16:54.758829', 'price': '1.25', 'target_yard_cut_wt': '22.00', 'created_time': '13:00:38.005686', 'created_date': '2025-09-09', 'version': '1', 'id': 6362, 'active': 1, 'knit_style_base': 3531, 'act_yard_cut_wt': None}",1.66174,15,1.25,2025-09-10 11:14:45.846138,0,,1,16,Required,,,0,2025-09-15,2025-09-10 10:30:52.018665,,50,,,2025-09-10 10:30:52.018665,80,"{'foreign_id': 5489, 'id': 3531, 'active': 1, 'base_style': 'CV4809A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING'}",,34397,,6625,1,,lbs,,2025-09-16,80
K2509029,,80,,Open,50,45475,,,,"{'foreign_id': 8533, 'roll_size': '50', 'target_yard_cut_wt': '22.00', 'created_time': '10:55:44.75943', 'modified': '2025-09-09 14:04:31.181941', 'price': '1.25', 'id': 6360, 'active': 1, 'created_date': '2025-09-09', 'version': '1', 'act_yard_cut_wt': None, 'knit_style_base': 3530}",1.4,15,1.25,2025-09-10 10:27:17.302652,0,,1,16,Required,,,0,2025-09-15,2025-09-10 10:18:36.314521,,50,,,2025-09-10 10:18:36.314521,80,"{'active': 1, 'id': 3530, 'foreign_id': 5488, 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CV4812A'}",,34396,,6624,1,,lbs,,2025-09-16,80
K2509028,,52,,Open,12500,45474,9107.0,,,"{'knit_style_base': 2131, 'act_yard_cut_wt': '41.82', 'version': '1DE', 'created_date': '2025-09-05', 'active': 1, 'id': 6357, 'price': '1.25', 'modified': '2025-09-05 16:17:30.780139', 'created_time': '10:23:58.924877', 'target_yard_cut_wt': '37.50', 'roll_size': '250', 'foreign_id': 8529}",1.5356,213,1.25,2025-09-11 19:56:14.071764,0,,1,19,Required,Purple,,489,2025-09-10,2025-09-10 09:45:39.868184,,12011,,,2025-09-10 09:45:39.868184,52,"{'id': 2131, 'active': 1, 'foreign_id': 3695, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2839'}",,34395,489,6623,1,,lbs,,2025-10-08,52
