sched_enter_by,serial_number,split_from,qty_ordered,status,ship_to,sched_done_by,purchase_order,related_dye_order_plan,bki,machine,unit_cost_yarn,knit_version,knit_price,modified,costing_exception_overridden,customer_service_rep,active,ship_to_processor,schedule_status,seconds,instructions,balance,sched_done_dt,sched_enter_dt,knit_start,qty_received,created_date,note,internal_notes,knit_style_base,close_dt,created_by,job,requested_date,uom,qty_G00,quoted_date,knitter,qty_shipped,id,updated_by
10,K2509038,,2400,Open,,,,,,44,0,"{'modified': '2025-06-26 16:24:19.368616', 'price': '0.50', 'target_yard_cut_wt': '10.00', 'created_time': '16:01:26.261629', 'roll_size': '50', 'foreign_id': 7893, 'knit_style_base': 3289, 'act_yard_cut_wt': '10.15', 'created_date': '2024-12-03', 'version': '0', 'active': 1, 'id': 5875}",0.50,2025-09-12 15:07:48.236101,0,1,1,4.0,Required,,,2400,,2025-09-12 15:07:48.236101,2025-09-13,0,2025-09-12 15:07:48.236101,,,"{'foreign_id': 5157, 'active': 1, 'id': 3289, 'base_style': 'CF5459', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'created_time': None}",,10,34475,2025-09-19,lbs,,,1,,6633,10
80,K2509037,,50,Open,,,,9112.0,45485,198,2.609,"{'created_date': '2025-08-04', 'version': '2', 'active': 1, 'id': 6289, 'knit_style_base': 3460, 'act_yard_cut_wt': '33.55', 'roll_size': '50', 'foreign_id': 8448, 'modified': '2025-08-04 10:55:31.89194', 'price': '0.85', 'target_yard_cut_wt': '32', 'created_time': '10:55:31.89194'}",0.85,2025-09-11 10:31:21.379265,0,16,1,,Required,,,50,,2025-09-11 10:22:37.453194,2025-09-19,0,2025-09-11 10:22:37.453194,,,"{'foreign_id': 5395, 'active': 1, 'id': 3460, 'base_style': 'C1B4761A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",,80,34425,2025-10-01,lbs,,,1,,6632,80
80,K2509036,,50,Open,,,,9110.0,45482,198,2.49386,"{'modified': '2025-08-04 10:38:17.520328', 'price': '0.85', 'target_yard_cut_wt': '32', 'created_time': '10:38:17.520328', 'roll_size': '50', 'foreign_id': 8447, 'knit_style_base': 3440, 'act_yard_cut_wt': '31.80', 'created_date': '2025-08-04', 'version': '3', 'active': 1, 'id': 6288}",0.85,2025-09-11 08:44:51.221177,0,16,1,,Required,,,50,,2025-09-10 16:14:50.24603,2025-09-17,0,2025-09-10 16:14:50.24603,,,"{'base_style': 'C1B4749A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'foreign_id': 5373, 'id': 3440, 'active': 1}",,80,34418,2025-10-01,lbs,,,1,,6631,80
80,K2509035,,50,Open,,,,9109.0,45481,198,2.5027,"{'version': '2', 'created_date': '2025-08-04', 'id': 6287, 'active': 1, 'knit_style_base': 3440, 'act_yard_cut_wt': '31.80', 'roll_size': '50', 'foreign_id': 8446, 'price': '0.85', 'modified': '2025-09-12 09:33:11.950355', 'created_time': '10:34:45.456161', 'target_yard_cut_wt': '32'}",0.85,2025-09-12 09:34:14.556517,0,16,1,,Required,,,50,,2025-09-10 15:53:34.294514,2025-09-16,0,2025-09-10 15:53:34.294514,,,"{'active': 1, 'id': 3440, 'foreign_id': 5373, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4749A'}",,80,34416,2025-10-01,lbs,,,1,,6630,80
80,K2509034,,70,Open,,,,9108.0,45480,205,3.192658,"{'knit_style_base': 3503, 'act_yard_cut_wt': None, 'version': '1', 'created_date': '2025-07-31', 'id': 6283, 'active': 1, 'price': '1.25', 'modified': '2025-09-10 16:13:03.803426', 'created_time': '12:57:12.51194', 'target_yard_cut_wt': '26.0', 'roll_size': '70', 'foreign_id': 8442}",1.25,2025-09-12 09:34:16.506772,0,16,1,,Required,,,70,,2025-09-10 13:30:00.507475,2025-09-22,0,2025-09-10 13:30:00.507475,,,"{'foreign_id': 5450, 'active': 1, 'id': 3503, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'CEE4784A'}",,80,34410,2025-10-01,lbs,,,1,,6629,80
80,K2509033,,50,Open,,,,,45479,15,1.66174,"{'version': '1', 'created_date': '2025-09-09', 'active': 1, 'id': 6363, 'knit_style_base': 3532, 'act_yard_cut_wt': None, 'roll_size': '50', 'foreign_id': 8536, 'price': '1.25', 'modified': '2025-09-10 11:29:25.386043', 'created_time': '13:01:59.210668', 'target_yard_cut_wt': '22.00'}",1.25,2025-09-10 13:06:26.310657,0,16,1,,Required,,,50,,2025-09-10 11:30:49.244401,2025-09-15,0,2025-09-10 11:30:49.244401,,,"{'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CV4806A', 'id': 3532, 'active': 1, 'foreign_id': 5490}",,80,34402,2025-09-16,lbs,,,1,,6628,80
80,K2509031,,50,Open,,,,,45477,15,1.66174,"{'knit_style_base': 3533, 'act_yard_cut_wt': None, 'created_date': '2025-09-09', 'version': '1', 'active': 1, 'id': 6364, 'modified': '2025-09-10 03:16:55.459887', 'price': '1.25', 'target_yard_cut_wt': '22.00', 'created_time': '15:16:55.719858', 'roll_size': '50', 'foreign_id': 8537}",1.25,2025-09-10 11:22:50.864522,0,16,1,,Required,,,50,,2025-09-10 11:01:28.554245,2025-09-15,0,2025-09-10 11:01:28.554245,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CV4810A', 'foreign_id': 5491, 'active': 1, 'id': 3533}",,80,34399,2025-09-16,lbs,,,1,,6626,80
80,K2509030,,50,Open,,,,,45476,15,1.66174,"{'roll_size': '50', 'foreign_id': 8535, 'modified': '2025-09-10 03:16:54.758829', 'price': '1.25', 'target_yard_cut_wt': '22.00', 'created_time': '13:00:38.005686', 'created_date': '2025-09-09', 'version': '1', 'active': 1, 'id': 6362, 'knit_style_base': 3531, 'act_yard_cut_wt': None}",1.25,2025-09-10 11:14:45.846138,0,16,1,,Required,,,50,,2025-09-10 10:30:52.018665,2025-09-15,0,2025-09-10 10:30:52.018665,,,"{'base_style': 'CV4809A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 3531, 'active': 1, 'foreign_id': 5489}",,80,34397,2025-09-16,lbs,,,1,,6625,80
80,K2509029,,50,Open,,,,,45475,15,1.4,"{'act_yard_cut_wt': None, 'knit_style_base': 3530, 'active': 1, 'id': 6360, 'version': '1', 'created_date': '2025-09-09', 'created_time': '10:55:44.75943', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-09 14:04:31.181941', 'foreign_id': 8533, 'roll_size': '50'}",1.25,2025-09-10 10:27:17.302652,0,16,1,,Required,,,50,,2025-09-10 10:18:36.314521,2025-09-15,0,2025-09-10 10:18:36.314521,,,"{'foreign_id': 5488, 'id': 3530, 'active': 1, 'base_style': 'CV4812A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",,80,34396,2025-09-16,lbs,,,1,,6624,80
52,K2509028,,12500,Open,,,,9107.0,45474,213,1.5356,"{'created_time': '10:23:58.924877', 'target_yard_cut_wt': '37.50', 'price': '1.25', 'modified': '2025-09-05 16:17:30.780139', 'foreign_id': 8529, 'roll_size': '250', 'act_yard_cut_wt': '41.82', 'knit_style_base': 2131, 'id': 6357, 'active': 1, 'version': '1DE', 'created_date': '2025-09-05'}",1.25,2025-09-11 19:56:14.071764,0,19,1,,Required,,Purple,12011,,2025-09-10 09:45:39.868184,2025-09-10,489,2025-09-10 09:45:39.868184,,,"{'active': 1, 'id': 2131, 'foreign_id': 3695, 'base_style': 'CEE2839', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,52,34395,2025-10-08,lbs,,,1,489,6623,52
9,K2509027,,200,Open,,,,,,519,9.39097,"{'version': '2', 'created_date': '2025-09-05', 'id': 6358, 'active': 1, 'knit_style_base': 1089, 'act_yard_cut_wt': None, 'roll_size': '50', 'foreign_id': 8530, 'price': '1.10', 'modified': '2025-09-10 09:04:20.781456', 'created_time': '11:33:55.229649', 'target_yard_cut_wt': '10.6'}",1.10,2025-09-10 09:05:28.493991,0,1,1,4.0,Required,,,200,,2025-09-10 09:05:28.493991,2025-09-11,0,2025-09-10 09:05:28.493991,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'base_style': 'CF1088N', 'foreign_id': 2261, 'active': 1, 'id': 1089}",,9,34394,2025-09-19,lbs,,,1,,6622,9
52,K2509026,,4000,Open,,,,9106.0,45471,201,1.53623,"{'roll_size': '250', 'foreign_id': 8538, 'modified': '2025-09-12 15:26:04.074752', 'price': '1.25', 'target_yard_cut_wt': '42.00', 'created_time': '16:14:46.574802', 'created_date': '2025-09-09', 'version': '1D', 'id': 6365, 'active': 1, 'knit_style_base': 2130, 'act_yard_cut_wt': '42.60'}",1.25,2025-09-12 15:28:16.983884,0,19,1,,Required,,,4000,,2025-09-09 16:53:00.772706,2025-09-11,0,2025-09-09 16:53:00.772706,,,"{'foreign_id': 3694, 'active': 1, 'id': 2130, 'base_style': 'CEE2838', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING'}",,52,34389,2025-10-02,lbs,,,1,,6621,52
52,K2509025,,5000,Open,,,,9103.0,,212,1.53724,"{'act_yard_cut_wt': '40.80', 'knit_style_base': 2395, 'active': 1, 'id': 6361, 'version': '1P', 'created_date': '2025-09-09', 'created_time': '11:08:19.132651', 'target_yard_cut_wt': '39.60', 'price': '1.25', 'modified': '2025-09-09 13:36:57.161446', 'foreign_id': 8534, 'roll_size': '250'}",1.25,2025-09-12 17:36:18.526648,0,19,1,,Required,,,4247,,2025-09-09 13:29:58.49298,2025-09-09,753,2025-09-09 13:29:58.49298,,,"{'base_style': 'CEE2840', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 2395, 'foreign_id': 4009}",,52,34369,2025-09-23,lbs,505,,1,248,6620,52
52,K2509024,,14750,Open,,,,9102.0,,135,1.52919,"{'target_yard_cut_wt': '31.00', 'created_time': '14:14:12.407594', 'modified': '2025-08-28 08:55:59.555743', 'price': '1.25', 'foreign_id': 8516, 'roll_size': '250', 'act_yard_cut_wt': '31.70', 'knit_style_base': 2257, 'id': 6346, 'active': 1, 'created_date': '2025-08-27', 'version': '1D'}",1.25,2025-09-12 19:26:18.313341,0,19,1,,Required,,,13865,,2025-09-09 11:11:46.443514,2025-09-09,885,2025-09-09 11:11:46.443514,,,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE3050', 'id': 2257, 'active': 1, 'foreign_id': 3841}",,52,34366,2025-10-07,lbs,443,,1,442,6619,52
80,K2509023,,50,Open,,,,,45463,15,2.22212,"{'act_yard_cut_wt': None, 'knit_style_base': 3529, 'id': 6359, 'active': 1, 'created_date': '2025-09-08', 'version': '1', 'target_yard_cut_wt': '22.00', 'created_time': '11:34:25.198091', 'modified': '2025-09-08 13:12:35.988836', 'price': '1.25', 'foreign_id': 8532, 'roll_size': '50'}",1.25,2025-09-08 13:24:55.302958,0,16,1,,Required,,,50,,2025-09-08 13:16:20.294973,2025-09-10,0,2025-09-08 13:16:20.294973,,,"{'base_style': 'CV4811A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 3529, 'active': 1, 'foreign_id': 5487}",,80,34343,2025-09-12,lbs,,,1,,6618,80
9,K2509022,,500,Open,,,,9094.0,,37,4.29878,"{'roll_size': '80', 'foreign_id': 7318, 'price': '1.25', 'modified': '2025-02-11 13:53:19.809013', 'created_time': '13:46:46.971027', 'target_yard_cut_wt': '23.50', 'version': '0', 'created_date': '2024-05-14', 'active': 1, 'id': 5317, 'knit_style_base': 2982, 'act_yard_cut_wt': '26.04'}",1.25,2025-09-06 11:02:09.057392,0,1,1,3.0,Required,,,500,,2025-09-06 11:01:39.576378,2025-09-22,0,2025-09-06 11:01:39.576378,,,"{'foreign_id': 4795, 'id': 2982, 'active': 1, 'base_style': '1SM0824-60', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,9,34335,2025-09-26,lbs,,,1,,6617,9
9,K2509021,,1500,Open,,,,9093.0,,84,3.90837,"{'active': 1, 'id': 1307, 'created_date': '2018-03-26', 'version': '0', 'act_yard_cut_wt': '23.48', 'knit_style_base': 749, 'foreign_id': 61, 'roll_size': '100', 'target_yard_cut_wt': '23.50', 'created_time': '10:25:49.325466', 'modified': '2025-01-13 11:38:49.932044', 'price': '1.50'}",1.50,2025-09-06 11:00:37.521606,0,1,1,3.0,Required,,,1500,,2025-09-06 11:00:18.515454,2025-09-15,0,2025-09-06 11:00:18.515454,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'base_style': '661SM0781', 'foreign_id': 61, 'id': 749, 'active': 1}",,9,34334,2025-09-26,lbs,,,1,,6616,9
9,K2509020,,9900,Open,,,,9092.0,,45,3.3911,"{'version': '1', 'created_date': '2018-06-22', 'id': 1045, 'active': 1, 'knit_style_base': 542, 'act_yard_cut_wt': '28.36', 'roll_size': '125', 'foreign_id': 290, 'price': '1.25', 'modified': '2023-11-29 22:58:58.768231', 'created_time': '09:59:43.909493', 'target_yard_cut_wt': '29.00'}",1.25,2025-09-06 10:59:03.51279,0,1,1,3.0,Required,,,9900,,2025-09-06 10:58:39.482546,2025-10-06,0,2025-09-06 10:58:39.482546,,,"{'base_style': '751SM0780', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 542, 'foreign_id': 290}",,9,34333,2025-11-07,lbs,,,1,,6615,9
9,K2509019,,1700,Open,,,,9091.0,,45,4.13447,"{'created_date': '2020-08-25', 'version': '1', 'active': 1, 'id': 1767, 'knit_style_base': 691, 'act_yard_cut_wt': '29.04', 'roll_size': '80', 'foreign_id': 2912, 'modified': '2024-02-22 08:45:10.369645', 'price': '0.60', 'target_yard_cut_wt': '24.5', 'created_time': '11:46:10.770839'}",0.60,2025-09-06 10:57:17.320269,0,1,1,3.0,Required,,,1700,,2025-09-06 10:56:42.562156,2025-09-29,0,2025-09-06 10:56:42.562156,,,"{'foreign_id': 221, 'id': 691, 'active': 1, 'base_style': '721SM0627', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,9,34332,2025-10-17,lbs,,,1,,6614,9
9,K2509018,,3400,Open,,,,9090.0,,45,4.19,"{'created_time': '16:48:33.114705', 'target_yard_cut_wt': '27.00', 'price': '0.60', 'modified': '2023-12-08 14:23:47.553408', 'foreign_id': 389, 'roll_size': '80', 'act_yard_cut_wt': '25.98', 'knit_style_base': 657, 'id': 1207, 'active': 1, 'version': 'U', 'created_date': '2018-07-20'}",0.60,2025-09-06 10:55:52.969565,0,1,1,3.0,Required,,,3400,,2025-09-06 10:55:24.987491,2025-10-06,0,2025-09-06 10:55:24.987491,,,"{'foreign_id': 399, 'id': 657, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'base_style': '721SM0470'}",,9,34331,2025-10-31,lbs,,,1,,6613,9
9,K2509017,,1300,Open,,,,9089.0,,45,4.29989,"{'foreign_id': 2611, 'roll_size': '80', 'created_time': '09:54:48.123885', 'target_yard_cut_wt': '26.40', 'price': '1.25', 'modified': '2025-09-02 13:46:58.952881', 'active': 1, 'id': 1545, 'version': '0', 'created_date': '2020-05-08', 'act_yard_cut_wt': '25.72', 'knit_style_base': 891}",1.25,2025-09-06 10:54:28.465274,0,1,1,3.0,Required,,,1300,,2025-09-06 10:53:45.715029,2025-09-29,0,2025-09-06 10:53:45.715029,,,"{'base_style': '701SM0824', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 891, 'active': 1, 'foreign_id': 1875}",,9,34330,2025-10-13,lbs,,,1,,6612,9
