related_dye_order_plan,purchase_order,sched_done_by,bki,qty_ordered,status,ship_to,serial_number,split_from,sched_enter_by,schedule_status,customer_service_rep,ship_to_processor,active,modified,knit_price,costing_exception_overridden,unit_cost_yarn,machine,knit_version,close_dt,knit_style_base,created_by,note,created_date,internal_notes,balance,sched_done_dt,qty_received,sched_enter_dt,knit_start,seconds,instructions,updated_by,quoted_date,qty_G00,uom,requested_date,id,qty_shipped,knitter,job
,,,,2400,Open,,K2509038,,10,Required,1,4.0,1,2025-09-12 15:07:48.236101,0.50,0,0,44,"{'roll_size': '50', 'foreign_id': 7893, 'modified': '2025-06-26 16:24:19.368616', 'price': '0.50', 'target_yard_cut_wt': '10.00', 'created_time': '16:01:26.261629', 'created_date': '2024-12-03', 'version': '0', 'id': 5875, 'active': 1, 'knit_style_base': 3289, 'act_yard_cut_wt': '10.15'}",,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'created_time': None, 'base_style': 'CF5459', 'foreign_id': 5157, 'id': 3289, 'active': 1}",10,,2025-09-12 15:07:48.236101,,2400,,0,2025-09-12 15:07:48.236101,2025-09-13,,,10,,,lbs,2025-09-19,6633,,1,34475
9112.0,,,45485,50,Open,,K2509037,,80,Required,16,,1,2025-09-11 10:31:21.379265,0.85,0,2.609,198,"{'roll_size': '50', 'foreign_id': 8448, 'modified': '2025-08-04 10:55:31.89194', 'price': '0.85', 'target_yard_cut_wt': '32', 'created_time': '10:55:31.89194', 'created_date': '2025-08-04', 'version': '2', 'id': 6289, 'active': 1, 'knit_style_base': 3460, 'act_yard_cut_wt': '33.55'}",,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'C1B4761A', 'foreign_id': 5395, 'active': 1, 'id': 3460}",80,,2025-09-11 10:22:37.453194,,50,,0,2025-09-11 10:22:37.453194,2025-09-19,,,80,,,lbs,2025-10-01,6632,,1,34425
9110.0,,,45482,50,Open,,K2509036,,80,Required,16,,1,2025-09-11 08:44:51.221177,0.85,0,2.49386,198,"{'price': '0.85', 'modified': '2025-08-04 10:38:17.520328', 'created_time': '10:38:17.520328', 'target_yard_cut_wt': '32', 'roll_size': '50', 'foreign_id': 8447, 'knit_style_base': 3440, 'act_yard_cut_wt': '31.80', 'version': '3', 'created_date': '2025-08-04', 'active': 1, 'id': 6288}",,"{'foreign_id': 5373, 'id': 3440, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'C1B4749A'}",80,,2025-09-10 16:14:50.24603,,50,,0,2025-09-10 16:14:50.24603,2025-09-17,,,80,,,lbs,2025-10-01,6631,,1,34418
9109.0,,,45481,50,Open,,K2509035,,80,Required,16,,1,2025-09-12 09:34:14.556517,0.85,0,2.5027,198,"{'knit_style_base': 3440, 'act_yard_cut_wt': '31.80', 'version': '2', 'created_date': '2025-08-04', 'id': 6287, 'active': 1, 'price': '0.85', 'modified': '2025-09-12 09:33:11.950355', 'created_time': '10:34:45.456161', 'target_yard_cut_wt': '32', 'roll_size': '50', 'foreign_id': 8446}",,"{'active': 1, 'id': 3440, 'foreign_id': 5373, 'base_style': 'C1B4749A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",80,,2025-09-10 15:53:34.294514,,50,,0,2025-09-10 15:53:34.294514,2025-09-16,,,80,,,lbs,2025-10-01,6630,,1,34416
9108.0,,,45480,70,Open,,K2509034,,80,Required,16,,1,2025-09-12 09:34:16.506772,1.25,0,3.192658,205,"{'price': '1.25', 'modified': '2025-09-10 16:13:03.803426', 'created_time': '12:57:12.51194', 'target_yard_cut_wt': '26.0', 'roll_size': '70', 'foreign_id': 8442, 'knit_style_base': 3503, 'act_yard_cut_wt': None, 'version': '1', 'created_date': '2025-07-31', 'id': 6283, 'active': 1}",,"{'foreign_id': 5450, 'id': 3503, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CEE4784A'}",80,,2025-09-10 13:30:00.507475,,70,,0,2025-09-10 13:30:00.507475,2025-09-22,,,80,,,lbs,2025-10-01,6629,,1,34410
,,,45479,50,Open,,K2509033,,80,Required,16,,1,2025-09-10 13:06:26.310657,1.25,0,1.66174,15,"{'target_yard_cut_wt': '22.00', 'created_time': '13:01:59.210668', 'modified': '2025-09-10 11:29:25.386043', 'price': '1.25', 'foreign_id': 8536, 'roll_size': '50', 'act_yard_cut_wt': None, 'knit_style_base': 3532, 'active': 1, 'id': 6363, 'created_date': '2025-09-09', 'version': '1'}",,"{'base_style': 'CV4806A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'foreign_id': 5490, 'active': 1, 'id': 3532}",80,,2025-09-10 11:30:49.244401,,50,,0,2025-09-10 11:30:49.244401,2025-09-15,,,80,,,lbs,2025-09-16,6628,,1,34402
,,,45477,50,Open,,K2509031,,80,Required,16,,1,2025-09-10 11:22:50.864522,1.25,0,1.66174,15,"{'foreign_id': 8537, 'roll_size': '50', 'target_yard_cut_wt': '22.00', 'created_time': '15:16:55.719858', 'modified': '2025-09-10 03:16:55.459887', 'price': '1.25', 'id': 6364, 'active': 1, 'created_date': '2025-09-09', 'version': '1', 'act_yard_cut_wt': None, 'knit_style_base': 3533}",,"{'foreign_id': 5491, 'id': 3533, 'active': 1, 'base_style': 'CV4810A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",80,,2025-09-10 11:01:28.554245,,50,,0,2025-09-10 11:01:28.554245,2025-09-15,,,80,,,lbs,2025-09-16,6626,,1,34399
,,,45476,50,Open,,K2509030,,80,Required,16,,1,2025-09-10 11:14:45.846138,1.25,0,1.66174,15,"{'knit_style_base': 3531, 'act_yard_cut_wt': None, 'created_date': '2025-09-09', 'version': '1', 'id': 6362, 'active': 1, 'modified': '2025-09-10 03:16:54.758829', 'price': '1.25', 'target_yard_cut_wt': '22.00', 'created_time': '13:00:38.005686', 'roll_size': '50', 'foreign_id': 8535}",,"{'id': 3531, 'active': 1, 'foreign_id': 5489, 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CV4809A'}",80,,2025-09-10 10:30:52.018665,,50,,0,2025-09-10 10:30:52.018665,2025-09-15,,,80,,,lbs,2025-09-16,6625,,1,34397
,,,45475,50,Open,,K2509029,,80,Required,16,,1,2025-09-10 10:27:17.302652,1.25,0,1.4,15,"{'foreign_id': 8533, 'roll_size': '50', 'target_yard_cut_wt': '22.00', 'created_time': '10:55:44.75943', 'modified': '2025-09-09 14:04:31.181941', 'price': '1.25', 'active': 1, 'id': 6360, 'created_date': '2025-09-09', 'version': '1', 'act_yard_cut_wt': None, 'knit_style_base': 3530}",,"{'foreign_id': 5488, 'active': 1, 'id': 3530, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CV4812A'}",80,,2025-09-10 10:18:36.314521,,50,,0,2025-09-10 10:18:36.314521,2025-09-15,,,80,,,lbs,2025-09-16,6624,,1,34396
9107.0,,,45474,12500,Open,,K2509028,,52,Required,19,,1,2025-09-11 19:56:14.071764,1.25,0,1.5356,213,"{'created_date': '2025-09-05', 'version': '1DE', 'active': 1, 'id': 6357, 'knit_style_base': 2131, 'act_yard_cut_wt': '41.82', 'roll_size': '250', 'foreign_id': 8529, 'modified': '2025-09-05 16:17:30.780139', 'price': '1.25', 'target_yard_cut_wt': '37.50', 'created_time': '10:23:58.924877'}",,"{'foreign_id': 3695, 'active': 1, 'id': 2131, 'base_style': 'CEE2839', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",52,,2025-09-10 09:45:39.868184,,12011,,489,2025-09-10 09:45:39.868184,2025-09-10,,Purple,52,,,lbs,2025-10-08,6623,489,1,34395
,,,,200,Open,,K2509027,,9,Required,1,4.0,1,2025-09-10 09:05:28.493991,1.10,0,9.39097,519,"{'version': '2', 'created_date': '2025-09-05', 'id': 6358, 'active': 1, 'knit_style_base': 1089, 'act_yard_cut_wt': None, 'roll_size': '50', 'foreign_id': 8530, 'price': '1.10', 'modified': '2025-09-10 09:04:20.781456', 'created_time': '11:33:55.229649', 'target_yard_cut_wt': '10.6'}",,"{'foreign_id': 2261, 'id': 1089, 'active': 1, 'base_style': 'CF1088N', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'created_time': None}",9,,2025-09-10 09:05:28.493991,,200,,0,2025-09-10 09:05:28.493991,2025-09-11,,,9,,,lbs,2025-09-19,6622,,1,34394
