knit_version,unit_cost_yarn,machine,knit_price,modified,costing_exception_overridden,active,ship_to_processor,customer_service_rep,schedule_status,split_from,serial_number,sched_enter_by,status,ship_to,qty_ordered,bki,related_dye_order_plan,sched_done_by,purchase_order,job,id,qty_shipped,knitter,quoted_date,qty_G00,uom,requested_date,updated_by,instructions,seconds,qty_received,knit_start,sched_enter_dt,balance,sched_done_dt,internal_notes,note,created_date,created_by,close_dt,knit_style_base
"{'act_yard_cut_wt': '10.15', 'knit_style_base': 3289, 'active': 1, 'id': 5875, 'created_date': '2024-12-03', 'version': '0', 'target_yard_cut_wt': '10.00', 'created_time': '16:01:26.261629', 'modified': '2025-06-26 16:24:19.368616', 'price': '0.50', 'foreign_id': 7893, 'roll_size': '50'}",0,44,0.50,2025-09-12 15:07:48.236101,0,1,4.0,1,Required,,K2509038,10,Open,,2400,,,,,34475,6633,,1,,,lbs,2025-09-19,10,,,0,2025-09-13,2025-09-12 15:07:48.236101,2400,,,,2025-09-12 15:07:48.236101,10,,"{'foreign_id': 5157, 'active': 1, 'id': 3289, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'created_time': None, 'base_style': 'CF5459'}"
"{'roll_size': '50', 'foreign_id': 8448, 'modified': '2025-08-04 10:55:31.89194', 'price': '0.85', 'target_yard_cut_wt': '32', 'created_time': '10:55:31.89194', 'created_date': '2025-08-04', 'version': '2', 'active': 1, 'id': 6289, 'knit_style_base': 3460, 'act_yard_cut_wt': '33.55'}",2.609,198,0.85,2025-09-11 10:31:21.379265,0,1,,16,Required,,K2509037,80,Open,,50,45485,9112.0,,,34425,6632,,1,,,lbs,2025-10-01,80,,,0,2025-09-19,2025-09-11 10:22:37.453194,50,,,,2025-09-11 10:22:37.453194,80,,"{'active': 1, 'id': 3460, 'foreign_id': 5395, 'base_style': 'C1B4761A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}"
"{'target_yard_cut_wt': '32', 'created_time': '10:38:17.520328', 'modified': '2025-08-04 10:38:17.520328', 'price': '0.85', 'foreign_id': 8447, 'roll_size': '50', 'act_yard_cut_wt': '31.80', 'knit_style_base': 3440, 'id': 6288, 'active': 1, 'created_date': '2025-08-04', 'version': '3'}",2.49386,198,0.85,2025-09-11 08:44:51.221177,0,1,,16,Required,,K2509036,80,Open,,50,45482,9110.0,,,34418,6631,,1,,,lbs,2025-10-01,80,,,0,2025-09-17,2025-09-10 16:14:50.24603,50,,,,2025-09-10 16:14:50.24603,80,,"{'id': 3440, 'active': 1, 'foreign_id': 5373, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4749A'}"
"{'modified': '2025-09-12 09:33:11.950355', 'price': '0.85', 'target_yard_cut_wt': '32', 'created_time': '10:34:45.456161', 'roll_size': '50', 'foreign_id': 8446, 'knit_style_base': 3440, 'act_yard_cut_wt': '31.80', 'created_date': '2025-08-04', 'version': '2', 'active': 1, 'id': 6287}",2.5027,198,0.85,2025-09-12 09:34:14.556517,0,1,,16,Required,,K2509035,80,Open,,50,45481,9109.0,,,34416,6630,,1,,,lbs,2025-10-01,80,,,0,2025-09-16,2025-09-10 15:53:34.294514,50,,,,2025-09-10 15:53:34.294514,80,,"{'active': 1, 'id': 3440, 'foreign_id': 5373, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4749A'}"
"{'target_yard_cut_wt': '26.0', 'created_time': '12:57:12.51194', 'modified': '2025-09-10 16:13:03.803426', 'price': '1.25', 'foreign_id': 8442, 'roll_size': '70', 'act_yard_cut_wt': None, 'knit_style_base': 3503, 'id': 6283, 'active': 1, 'created_date': '2025-07-31', 'version': '1'}",3.192658,205,1.25,2025-09-12 09:34:16.506772,0,1,,16,Required,,K2509034,80,Open,,70,45480,9108.0,,,34410,6629,,1,,,lbs,2025-10-01,80,,,0,2025-09-22,2025-09-10 13:30:00.507475,70,,,,2025-09-10 13:30:00.507475,80,,"{'foreign_id': 5450, 'id': 3503, 'active': 1, 'base_style': 'CEE4784A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}"
"{'created_date': '2025-09-09', 'version': '1', 'active': 1, 'id': 6363, 'knit_style_base': 3532, 'act_yard_cut_wt': None, 'roll_size': '50', 'foreign_id': 8536, 'modified': '2025-09-10 11:29:25.386043', 'price': '1.25', 'target_yard_cut_wt': '22.00', 'created_time': '13:01:59.210668'}",1.66174,15,1.25,2025-09-10 13:06:26.310657,0,1,,16,Required,,K2509033,80,Open,,50,45479,,,,34402,6628,,1,,,lbs,2025-09-16,80,,,0,2025-09-15,2025-09-10 11:30:49.244401,50,,,,2025-09-10 11:30:49.244401,80,,"{'active': 1, 'id': 3532, 'foreign_id': 5490, 'base_style': 'CV4806A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}"
"{'price': '1.25', 'modified': '2025-09-10 03:16:55.459887', 'created_time': '15:16:55.719858', 'target_yard_cut_wt': '22.00', 'roll_size': '50', 'foreign_id': 8537, 'knit_style_base': 3533, 'act_yard_cut_wt': None, 'version': '1', 'created_date': '2025-09-09', 'id': 6364, 'active': 1}",1.66174,15,1.25,2025-09-10 11:22:50.864522,0,1,,16,Required,,K2509031,80,Open,,50,45477,,,,34399,6626,,1,,,lbs,2025-09-16,80,,,0,2025-09-15,2025-09-10 11:01:28.554245,50,,,,2025-09-10 11:01:28.554245,80,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'CV4810A', 'foreign_id': 5491, 'active': 1, 'id': 3533}"
"{'act_yard_cut_wt': None, 'knit_style_base': 3531, 'id': 6362, 'active': 1, 'version': '1', 'created_date': '2025-09-09', 'created_time': '13:00:38.005686', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-10 03:16:54.758829', 'foreign_id': 8535, 'roll_size': '50'}",1.66174,15,1.25,2025-09-10 11:14:45.846138,0,1,,16,Required,,K2509030,80,Open,,50,45476,,,,34397,6625,,1,,,lbs,2025-09-16,80,,,0,2025-09-15,2025-09-10 10:30:52.018665,50,,,,2025-09-10 10:30:52.018665,80,,"{'foreign_id': 5489, 'id': 3531, 'active': 1, 'base_style': 'CV4809A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING'}"
"{'created_date': '2025-09-09', 'version': '1', 'id': 6360, 'active': 1, 'knit_style_base': 3530, 'act_yard_cut_wt': None, 'roll_size': '50', 'foreign_id': 8533, 'modified': '2025-09-09 14:04:31.181941', 'price': '1.25', 'target_yard_cut_wt': '22.00', 'created_time': '10:55:44.75943'}",1.4,15,1.25,2025-09-10 10:27:17.302652,0,1,,16,Required,,K2509029,80,Open,,50,45475,,,,34396,6624,,1,,,lbs,2025-09-16,80,,,0,2025-09-15,2025-09-10 10:18:36.314521,50,,,,2025-09-10 10:18:36.314521,80,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CV4812A', 'foreign_id': 5488, 'id': 3530, 'active': 1}"
"{'foreign_id': 8529, 'roll_size': '250', 'created_time': '10:23:58.924877', 'target_yard_cut_wt': '37.50', 'price': '1.25', 'modified': '2025-09-05 16:17:30.780139', 'id': 6357, 'active': 1, 'version': '1DE', 'created_date': '2025-09-05', 'act_yard_cut_wt': '41.82', 'knit_style_base': 2131}",1.5356,213,1.25,2025-09-11 19:56:14.071764,0,1,,19,Required,,K2509028,52,Open,,12500,45474,9107.0,,,34395,6623,489,1,,,lbs,2025-10-08,52,Purple,,489,2025-09-10,2025-09-10 09:45:39.868184,12011,,,,2025-09-10 09:45:39.868184,52,,"{'active': 1, 'id': 2131, 'foreign_id': 3695, 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2839'}"
