serial_number,split_from,sched_enter_by,status,ship_to,qty_ordered,related_dye_order_plan,sched_done_by,purchase_order,bki,unit_cost_yarn,machine,knit_version,modified,knit_price,costing_exception_overridden,customer_service_rep,ship_to_processor,active,schedule_status,seconds,instructions,sched_done_dt,balance,qty_received,knit_start,sched_enter_dt,note,created_date,internal_notes,close_dt,knit_style_base,created_by,job,quoted_date,qty_G00,uom,requested_date,qty_shipped,id,knitter,updated_by
K2509038,,10,Open,,2400,,,,,0,44,"{'modified': '2025-06-26 16:24:19.368616', 'price': '0.50', 'target_yard_cut_wt': '10.00', 'created_time': '16:01:26.261629', 'roll_size': '50', 'foreign_id': 7893, 'knit_style_base': 3289, 'act_yard_cut_wt': '10.15', 'created_date': '2024-12-03', 'version': '0', 'id': 5875, 'active': 1}",2025-09-12 15:07:48.236101,0.50,0,1,4.0,1,Required,,,,2400,0,2025-09-13,2025-09-12 15:07:48.236101,,2025-09-12 15:07:48.236101,,,"{'active': 1, 'id': 3289, 'foreign_id': 5157, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF5459'}",10,34475,,,lbs,2025-09-19,,6633,1,10
K2509037,,80,Open,,50,9112.0,,,45485,2.609,198,"{'knit_style_base': 3460, 'act_yard_cut_wt': '33.55', 'created_date': '2025-08-04', 'version': '2', 'active': 1, 'id': 6289, 'modified': '2025-08-04 10:55:31.89194', 'price': '0.85', 'target_yard_cut_wt': '32', 'created_time': '10:55:31.89194', 'roll_size': '50', 'foreign_id': 8448}",2025-09-11 10:31:21.379265,0.85,0,16,,1,Required,,,,50,0,2025-09-19,2025-09-11 10:22:37.453194,,2025-09-11 10:22:37.453194,,,"{'base_style': 'C1B4761A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'foreign_id': 5395, 'id': 3460, 'active': 1}",80,34425,,,lbs,2025-10-01,,6632,1,80
K2509036,,80,Open,,50,9110.0,,,45482,2.49386,198,"{'foreign_id': 8447, 'roll_size': '50', 'target_yard_cut_wt': '32', 'created_time': '10:38:17.520328', 'modified': '2025-08-04 10:38:17.520328', 'price': '0.85', 'id': 6288, 'active': 1, 'created_date': '2025-08-04', 'version': '3', 'act_yard_cut_wt': '31.80', 'knit_style_base': 3440}",2025-09-11 08:44:51.221177,0.85,0,16,,1,Required,,,,50,0,2025-09-17,2025-09-10 16:14:50.24603,,2025-09-10 16:14:50.24603,,,"{'active': 1, 'id': 3440, 'foreign_id': 5373, 'base_style': 'C1B4749A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",80,34418,,,lbs,2025-10-01,,6631,1,80
K2509035,,80,Open,,50,9109.0,,,45481,2.5027,198,"{'act_yard_cut_wt': '31.80', 'knit_style_base': 3440, 'active': 1, 'id': 6287, 'version': '2', 'created_date': '2025-08-04', 'created_time': '10:34:45.456161', 'target_yard_cut_wt': '32', 'price': '0.85', 'modified': '2025-09-12 09:33:11.950355', 'foreign_id': 8446, 'roll_size': '50'}",2025-09-12 09:34:14.556517,0.85,0,16,,1,Required,,,,50,0,2025-09-16,2025-09-10 15:53:34.294514,,2025-09-10 15:53:34.294514,,,"{'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4749A', 'id': 3440, 'active': 1, 'foreign_id': 5373}",80,34416,,,lbs,2025-10-01,,6630,1,80
K2509034,,80,Open,,70,9108.0,,,45480,3.192658,205,"{'id': 6283, 'active': 1, 'version': '1', 'created_date': '2025-07-31', 'act_yard_cut_wt': None, 'knit_style_base': 3503, 'foreign_id': 8442, 'roll_size': '70', 'created_time': '12:57:12.51194', 'target_yard_cut_wt': '26.0', 'price': '1.25', 'modified': '2025-09-10 16:13:03.803426'}",2025-09-12 09:34:16.506772,1.25,0,16,,1,Required,,,,70,0,2025-09-22,2025-09-10 13:30:00.507475,,2025-09-10 13:30:00.507475,,,"{'base_style': 'CEE4784A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 3503, 'active': 1, 'foreign_id': 5450}",80,34410,,,lbs,2025-10-01,,6629,1,80
K2509033,,80,Open,,50,,,,45479,1.66174,15,"{'foreign_id': 8536, 'roll_size': '50', 'created_time': '13:01:59.210668', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-10 11:29:25.386043', 'active': 1, 'id': 6363, 'version': '1', 'created_date': '2025-09-09', 'act_yard_cut_wt': None, 'knit_style_base': 3532}",2025-09-10 13:06:26.310657,1.25,0,16,,1,Required,,,,50,0,2025-09-15,2025-09-10 11:30:49.244401,,2025-09-10 11:30:49.244401,,,"{'base_style': 'CV4806A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 3532, 'active': 1, 'foreign_id': 5490}",80,34402,,,lbs,2025-09-16,,6628,1,80
K2509031,,80,Open,,50,,,,45477,1.66174,15,"{'active': 1, 'id': 6364, 'created_date': '2025-09-09', 'version': '1', 'act_yard_cut_wt': None, 'knit_style_base': 3533, 'foreign_id': 8537, 'roll_size': '50', 'target_yard_cut_wt': '22.00', 'created_time': '15:16:55.719858', 'modified': '2025-09-10 03:16:55.459887', 'price': '1.25'}",2025-09-10 11:22:50.864522,1.25,0,16,,1,Required,,,,50,0,2025-09-15,2025-09-10 11:01:28.554245,,2025-09-10 11:01:28.554245,,,"{'base_style': 'CV4810A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 3533, 'active': 1, 'foreign_id': 5491}",80,34399,,,lbs,2025-09-16,,6626,1,80
K2509030,,80,Open,,50,,,,45476,1.66174,15,"{'act_yard_cut_wt': None, 'knit_style_base': 3531, 'id': 6362, 'active': 1, 'created_date': '2025-09-09', 'version': '1', 'target_yard_cut_wt': '22.00', 'created_time': '13:00:38.005686', 'modified': '2025-09-10 03:16:54.758829', 'price': '1.25', 'foreign_id': 8535, 'roll_size': '50'}",2025-09-10 11:14:45.846138,1.25,0,16,,1,Required,,,,50,0,2025-09-15,2025-09-10 10:30:52.018665,,2025-09-10 10:30:52.018665,,,"{'id': 3531, 'active': 1, 'foreign_id': 5489, 'base_style': 'CV4809A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",80,34397,,,lbs,2025-09-16,,6625,1,80
K2509029,,80,Open,,50,,,,45475,1.4,15,"{'act_yard_cut_wt': None, 'knit_style_base': 3530, 'id': 6360, 'active': 1, 'created_date': '2025-09-09', 'version': '1', 'target_yard_cut_wt': '22.00', 'created_time': '10:55:44.75943', 'modified': '2025-09-09 14:04:31.181941', 'price': '1.25', 'foreign_id': 8533, 'roll_size': '50'}",2025-09-10 10:27:17.302652,1.25,0,16,,1,Required,,,,50,0,2025-09-15,2025-09-10 10:18:36.314521,,2025-09-10 10:18:36.314521,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CV4812A', 'foreign_id': 5488, 'id': 3530, 'active': 1}",80,34396,,,lbs,2025-09-16,,6624,1,80
K2509028,,52,Open,,12500,9107.0,,,45474,1.5356,213,"{'knit_style_base': 2131, 'act_yard_cut_wt': '41.82', 'version': '1DE', 'created_date': '2025-09-05', 'id': 6357, 'active': 1, 'price': '1.25', 'modified': '2025-09-05 16:17:30.780139', 'created_time': '10:23:58.924877', 'target_yard_cut_wt': '37.50', 'roll_size': '250', 'foreign_id': 8529}",2025-09-11 19:56:14.071764,1.25,0,19,,1,Required,,Purple,,12011,489,2025-09-10,2025-09-10 09:45:39.868184,,2025-09-10 09:45:39.868184,,,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2839', 'id': 2131, 'active': 1, 'foreign_id': 3695}",52,34395,,,lbs,2025-10-08,489,6623,1,52
