job,updated_by,quoted_date,uom,qty_G00,requested_date,qty_shipped,id,knitter,sched_done_dt,balance,qty_received,knit_start,sched_enter_dt,seconds,instructions,close_dt,knit_style_base,created_by,note,created_date,internal_notes,modified,costing_exception_overridden,knit_price,unit_cost_yarn,machine,knit_version,schedule_status,customer_service_rep,active,ship_to_processor,qty_ordered,status,ship_to,split_from,serial_number,sched_enter_by,related_dye_order_plan,sched_done_by,purchase_order,bki
34475,10,,lbs,,2025-09-19,,6633,1,,2400,0,2025-09-13,2025-09-12 15:07:48.236101,,,,"{'foreign_id': 5157, 'active': 1, 'id': 3289, 'base_style': 'CF5459', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY'}",10,,2025-09-12 15:07:48.236101,,2025-09-12 15:07:48.236101,0,0.50,0,44,"{'target_yard_cut_wt': '10.00', 'created_time': '16:01:26.261629', 'modified': '2025-06-26 16:24:19.368616', 'price': '0.50', 'foreign_id': 7893, 'roll_size': '50', 'act_yard_cut_wt': '10.15', 'knit_style_base': 3289, 'active': 1, 'id': 5875, 'created_date': '2024-12-03', 'version': '0'}",Required,1,1,4.0,2400,Open,,,K2509038,10,,,,
34425,80,,lbs,,2025-10-01,,6632,1,,50,0,2025-09-19,2025-09-11 10:22:37.453194,,,,"{'base_style': 'C1B4761A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 3460, 'foreign_id': 5395}",80,,2025-09-11 10:22:37.453194,,2025-09-11 10:31:21.379265,0,0.85,2.609,198,"{'foreign_id': 8448, 'roll_size': '50', 'target_yard_cut_wt': '32', 'created_time': '10:55:31.89194', 'modified': '2025-08-04 10:55:31.89194', 'price': '0.85', 'id': 6289, 'active': 1, 'created_date': '2025-08-04', 'version': '2', 'act_yard_cut_wt': '33.55', 'knit_style_base': 3460}",Required,16,1,,50,Open,,,K2509037,80,9112.0,,,45485
34418,80,,lbs,,2025-10-01,,6631,1,,50,0,2025-09-17,2025-09-10 16:14:50.24603,,,,"{'foreign_id': 5373, 'active': 1, 'id': 3440, 'base_style': 'C1B4749A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",80,,2025-09-10 16:14:50.24603,,2025-09-11 08:44:51.221177,0,0.85,2.49386,198,"{'roll_size': '50', 'foreign_id': 8447, 'price': '0.85', 'modified': '2025-08-04 10:38:17.520328', 'created_time': '10:38:17.520328', 'target_yard_cut_wt': '32', 'version': '3', 'created_date': '2025-08-04', 'id': 6288, 'active': 1, 'knit_style_base': 3440, 'act_yard_cut_wt': '31.80'}",Required,16,1,,50,Open,,,K2509036,80,9110.0,,,45482
34416,80,,lbs,,2025-10-01,,6630,1,,50,0,2025-09-16,2025-09-10 15:53:34.294514,,,,"{'active': 1, 'id': 3440, 'foreign_id': 5373, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4749A'}",80,,2025-09-10 15:53:34.294514,,2025-09-12 09:34:14.556517,0,0.85,2.5027,198,"{'roll_size': '50', 'foreign_id': 8446, 'price': '0.85', 'modified': '2025-09-12 09:33:11.950355', 'created_time': '10:34:45.456161', 'target_yard_cut_wt': '32', 'version': '2', 'created_date': '2025-08-04', 'id': 6287, 'active': 1, 'knit_style_base': 3440, 'act_yard_cut_wt': '31.80'}",Required,16,1,,50,Open,,,K2509035,80,9109.0,,,45481
34410,80,,lbs,,2025-10-01,,6629,1,,70,0,2025-09-22,2025-09-10 13:30:00.507475,,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CEE4784A', 'foreign_id': 5450, 'active': 1, 'id': 3503}",80,,2025-09-10 13:30:00.507475,,2025-09-12 09:34:16.506772,0,1.25,3.192658,205,"{'target_yard_cut_wt': '26.0', 'created_time': '12:57:12.51194', 'modified': '2025-09-10 16:13:03.803426', 'price': '1.25', 'foreign_id': 8442, 'roll_size': '70', 'act_yard_cut_wt': None, 'knit_style_base': 3503, 'id': 6283, 'active': 1, 'created_date': '2025-07-31', 'version': '1'}",Required,16,1,,70,Open,,,K2509034,80,9108.0,,,45480
34402,80,,lbs,,2025-09-16,,6628,1,,50,0,2025-09-15,2025-09-10 11:30:49.244401,,,,"{'active': 1, 'id': 3532, 'foreign_id': 5490, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CV4806A'}",80,,2025-09-10 11:30:49.244401,,2025-09-10 13:06:26.310657,0,1.25,1.66174,15,"{'act_yard_cut_wt': None, 'knit_style_base': 3532, 'id': 6363, 'active': 1, 'created_date': '2025-09-09', 'version': '1', 'target_yard_cut_wt': '22.00', 'created_time': '13:01:59.210668', 'modified': '2025-09-10 11:29:25.386043', 'price': '1.25', 'foreign_id': 8536, 'roll_size': '50'}",Required,16,1,,50,Open,,,K2509033,80,,,,45479
34399,80,,lbs,,2025-09-16,,6626,1,,50,0,2025-09-15,2025-09-10 11:01:28.554245,,,,"{'foreign_id': 5491, 'id': 3533, 'active': 1, 'base_style': 'CV4810A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING'}",80,,2025-09-10 11:01:28.554245,,2025-09-10 11:22:50.864522,0,1.25,1.66174,15,"{'roll_size': '50', 'foreign_id': 8537, 'modified': '2025-09-10 03:16:55.459887', 'price': '1.25', 'target_yard_cut_wt': '22.00', 'created_time': '15:16:55.719858', 'created_date': '2025-09-09', 'version': '1', 'active': 1, 'id': 6364, 'knit_style_base': 3533, 'act_yard_cut_wt': None}",Required,16,1,,50,Open,,,K2509031,80,,,,45477
34397,80,,lbs,,2025-09-16,,6625,1,,50,0,2025-09-15,2025-09-10 10:30:52.018665,,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CV4809A', 'foreign_id': 5489, 'id': 3531, 'active': 1}",80,,2025-09-10 10:30:52.018665,,2025-09-10 11:14:45.846138,0,1.25,1.66174,15,"{'id': 6362, 'active': 1, 'created_date': '2025-09-09', 'version': '1', 'act_yard_cut_wt': None, 'knit_style_base': 3531, 'foreign_id': 8535, 'roll_size': '50', 'target_yard_cut_wt': '22.00', 'created_time': '13:00:38.005686', 'modified': '2025-09-10 03:16:54.758829', 'price': '1.25'}",Required,16,1,,50,Open,,,K2509030,80,,,,45476
34396,80,,lbs,,2025-09-16,,6624,1,,50,0,2025-09-15,2025-09-10 10:18:36.314521,,,,"{'foreign_id': 5488, 'id': 3530, 'active': 1, 'base_style': 'CV4812A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",80,,2025-09-10 10:18:36.314521,,2025-09-10 10:27:17.302652,0,1.25,1.4,15,"{'created_time': '10:55:44.75943', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-09 14:04:31.181941', 'foreign_id': 8533, 'roll_size': '50', 'act_yard_cut_wt': None, 'knit_style_base': 3530, 'id': 6360, 'active': 1, 'version': '1', 'created_date': '2025-09-09'}",Required,16,1,,50,Open,,,K2509029,80,,,,45475
34395,52,,lbs,,2025-10-08,489,6623,1,,12011,489,2025-09-10,2025-09-10 09:45:39.868184,,Purple,,"{'base_style': 'CEE2839', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 2131, 'active': 1, 'foreign_id': 3695}",52,,2025-09-10 09:45:39.868184,,2025-09-11 19:56:14.071764,0,1.25,1.5356,213,"{'knit_style_base': 2131, 'act_yard_cut_wt': '41.82', 'created_date': '2025-09-05', 'version': '1DE', 'active': 1, 'id': 6357, 'modified': '2025-09-05 16:17:30.780139', 'price': '1.25', 'target_yard_cut_wt': '37.50', 'created_time': '10:23:58.924877', 'roll_size': '250', 'foreign_id': 8529}",Required,19,1,,12500,Open,,,K2509028,52,9107.0,,,45474
