quoted_date,uom,requested_date,qty_G00,id,qty_shipped,knitter,updated_by,job,note,created_date,internal_notes,close_dt,knit_style_base,created_by,seconds,instructions,balance,sched_done_dt,qty_received,knit_start,sched_enter_dt,customer_service_rep,ship_to_processor,active,schedule_status,unit_cost_yarn,machine,knit_version,modified,costing_exception_overridden,knit_price,related_dye_order_plan,purchase_order,sched_done_by,bki,split_from,serial_number,sched_enter_by,status,qty_ordered,ship_to
,lbs,2025-09-19,,6633,,1,10,34475,,2025-09-12 15:07:48.236101,,,"{'active': 1, 'id': 3289, 'foreign_id': 5157, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF5459'}",10,,,2400,,0,2025-09-13,2025-09-12 15:07:48.236101,1,4.0,1,Required,0,44,"{'created_time': '16:01:26.261629', 'target_yard_cut_wt': '10.00', 'price': '0.50', 'modified': '2025-06-26 16:24:19.368616', 'foreign_id': 7893, 'roll_size': '50', 'act_yard_cut_wt': '10.15', 'knit_style_base': 3289, 'active': 1, 'id': 5875, 'version': '0', 'created_date': '2024-12-03'}",2025-09-12 15:07:48.236101,0,0.50,,,,,,K2509038,10,Open,2400,
,lbs,2025-10-01,,6632,,1,80,34425,,2025-09-11 10:22:37.453194,,,"{'base_style': 'C1B4761A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 3460, 'foreign_id': 5395}",80,,,50,,0,2025-09-19,2025-09-11 10:22:37.453194,16,,1,Required,2.609,198,"{'knit_style_base': 3460, 'act_yard_cut_wt': '33.55', 'created_date': '2025-08-04', 'version': '2', 'active': 1, 'id': 6289, 'modified': '2025-08-04 10:55:31.89194', 'price': '0.85', 'target_yard_cut_wt': '32', 'created_time': '10:55:31.89194', 'roll_size': '50', 'foreign_id': 8448}",2025-09-11 10:31:21.379265,0,0.85,9112.0,,,45485,,K2509037,80,Open,50,
,lbs,2025-10-01,,6631,,1,80,34418,,2025-09-10 16:14:50.24603,,,"{'foreign_id': 5373, 'id': 3440, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'C1B4749A'}",80,,,50,,0,2025-09-17,2025-09-10 16:14:50.24603,16,,1,Required,2.49386,198,"{'id': 6288, 'active': 1, 'version': '3', 'created_date': '2025-08-04', 'act_yard_cut_wt': '31.80', 'knit_style_base': 3440, 'foreign_id': 8447, 'roll_size': '50', 'created_time': '10:38:17.520328', 'target_yard_cut_wt': '32', 'price': '0.85', 'modified': '2025-08-04 10:38:17.520328'}",2025-09-11 08:44:51.221177,0,0.85,9110.0,,,45482,,K2509036,80,Open,50,
,lbs,2025-10-01,,6630,,1,80,34416,,2025-09-10 15:53:34.294514,,,"{'foreign_id': 5373, 'id': 3440, 'active': 1, 'base_style': 'C1B4749A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING'}",80,,,50,,0,2025-09-16,2025-09-10 15:53:34.294514,16,,1,Required,2.5027,198,"{'foreign_id': 8446, 'roll_size': '50', 'created_time': '10:34:45.456161', 'target_yard_cut_wt': '32', 'price': '0.85', 'modified': '2025-09-12 09:33:11.950355', 'active': 1, 'id': 6287, 'version': '2', 'created_date': '2025-08-04', 'act_yard_cut_wt': '31.80', 'knit_style_base': 3440}",2025-09-12 09:34:14.556517,0,0.85,9109.0,,,45481,,K2509035,80,Open,50,
,lbs,2025-10-01,,6629,,1,80,34410,,2025-09-10 13:30:00.507475,,,"{'base_style': 'CEE4784A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 3503, 'foreign_id': 5450}",80,,,70,,0,2025-09-22,2025-09-10 13:30:00.507475,16,,1,Required,3.192658,205,"{'price': '1.25', 'modified': '2025-09-10 16:13:03.803426', 'created_time': '12:57:12.51194', 'target_yard_cut_wt': '26.0', 'roll_size': '70', 'foreign_id': 8442, 'knit_style_base': 3503, 'act_yard_cut_wt': None, 'version': '1', 'created_date': '2025-07-31', 'active': 1, 'id': 6283}",2025-09-12 09:34:16.506772,0,1.25,9108.0,,,45480,,K2509034,80,Open,70,
,lbs,2025-09-16,,6628,,1,80,34402,,2025-09-10 11:30:49.244401,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CV4806A', 'foreign_id': 5490, 'id': 3532, 'active': 1}",80,,,50,,0,2025-09-15,2025-09-10 11:30:49.244401,16,,1,Required,1.66174,15,"{'price': '1.25', 'modified': '2025-09-10 11:29:25.386043', 'created_time': '13:01:59.210668', 'target_yard_cut_wt': '22.00', 'roll_size': '50', 'foreign_id': 8536, 'knit_style_base': 3532, 'act_yard_cut_wt': None, 'version': '1', 'created_date': '2025-09-09', 'id': 6363, 'active': 1}",2025-09-10 13:06:26.310657,0,1.25,,,,45479,,K2509033,80,Open,50,
,lbs,2025-09-16,,6626,,1,80,34399,,2025-09-10 11:01:28.554245,,,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CV4810A', 'active': 1, 'id': 3533, 'foreign_id': 5491}",80,,,50,,0,2025-09-15,2025-09-10 11:01:28.554245,16,,1,Required,1.66174,15,"{'active': 1, 'id': 6364, 'version': '1', 'created_date': '2025-09-09', 'act_yard_cut_wt': None, 'knit_style_base': 3533, 'foreign_id': 8537, 'roll_size': '50', 'created_time': '15:16:55.719858', 'target_yard_cut_wt': '22.00', 'price': '1.25', 'modified': '2025-09-10 03:16:55.459887'}",2025-09-10 11:22:50.864522,0,1.25,,,,45477,,K2509031,80,Open,50,
,lbs,2025-09-16,,6625,,1,80,34397,,2025-09-10 10:30:52.018665,,,"{'base_style': 'CV4809A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'foreign_id': 5489, 'active': 1, 'id': 3531}",80,,,50,,0,2025-09-15,2025-09-10 10:30:52.018665,16,,1,Required,1.66174,15,"{'id': 6362, 'active': 1, 'created_date': '2025-09-09', 'version': '1', 'act_yard_cut_wt': None, 'knit_style_base': 3531, 'foreign_id': 8535, 'roll_size': '50', 'target_yard_cut_wt': '22.00', 'created_time': '13:00:38.005686', 'modified': '2025-09-10 03:16:54.758829', 'price': '1.25'}",2025-09-10 11:14:45.846138,0,1.25,,,,45476,,K2509030,80,Open,50,
,lbs,2025-09-16,,6624,,1,80,34396,,2025-09-10 10:18:36.314521,,,"{'base_style': 'CV4812A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 3530, 'active': 1, 'foreign_id': 5488}",80,,,50,,0,2025-09-15,2025-09-10 10:18:36.314521,16,,1,Required,1.4,15,"{'modified': '2025-09-09 14:04:31.181941', 'price': '1.25', 'target_yard_cut_wt': '22.00', 'created_time': '10:55:44.75943', 'roll_size': '50', 'foreign_id': 8533, 'knit_style_base': 3530, 'act_yard_cut_wt': None, 'created_date': '2025-09-09', 'version': '1', 'active': 1, 'id': 6360}",2025-09-10 10:27:17.302652,0,1.25,,,,45475,,K2509029,80,Open,50,
,lbs,2025-10-08,,6623,489,1,52,34395,,2025-09-10 09:45:39.868184,,,"{'foreign_id': 3695, 'id': 2131, 'active': 1, 'base_style': 'CEE2839', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",52,,Purple,12011,,489,2025-09-10,2025-09-10 09:45:39.868184,19,,1,Required,1.5356,213,"{'roll_size': '250', 'foreign_id': 8529, 'modified': '2025-09-05 16:17:30.780139', 'price': '1.25', 'target_yard_cut_wt': '37.50', 'created_time': '10:23:58.924877', 'created_date': '2025-09-05', 'version': '1DE', 'active': 1, 'id': 6357, 'knit_style_base': 2131, 'act_yard_cut_wt': '41.82'}",2025-09-11 19:56:14.071764,0,1.25,9107.0,,,45474,,K2509028,52,Open,12500,
