job,uom,qty_G00,requested_date,quoted_date,knitter,qty_shipped,id,updated_by,seconds,instructions,sched_done_dt,balance,knit_start,sched_enter_dt,qty_received,created_date,note,internal_notes,knit_style_base,close_dt,created_by,machine,unit_cost_yarn,knit_version,knit_price,modified,costing_exception_overridden,customer_service_rep,active,ship_to_processor,schedule_status,sched_enter_by,split_from,serial_number,status,ship_to,qty_ordered,sched_done_by,purchase_order,related_dye_order_plan,bki
34490,lbs,,2025-09-30,,1,,6639,9,,,,2000,2025-09-22,2025-09-13 10:54:20.028026,0,2025-09-13 10:54:20.028026,,,"{'base_style': 'GG6020-GR', 'created_time': None, 'qs_customer': 'GLEN - GLEN RAVEN CUSTOM FABRICS LLC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'id': 2605, 'active': 1, 'foreign_id': 4289}",,9,65,0.14094,"{'id': 4616, 'active': 1, 'version': '0', 'created_date': '2023-07-11', 'act_yard_cut_wt': '12.00', 'knit_style_base': 2605, 'foreign_id': 6505, 'roll_size': '40', 'created_time': '17:20:51.047628', 'target_yard_cut_wt': '12.40', 'price': '0.80', 'modified': '2025-08-04 15:13:06.314244'}",0.80,2025-09-13 11:02:01.510854,0,1,1,4.0,Required,9,,K2509044,Open,,2000,,AN00544302,9127.0,
34487,lbs,,2025-10-03,,1,,6638,9,,,,2784,2025-09-22,2025-09-13 09:23:11.418511,0,2025-09-13 09:23:11.418511,,,"{'active': 1, 'id': 2179, 'foreign_id': 3750, 'base_style': '1942', 'created_time': None, 'qs_customer': 'LONG - LONGWORTH IND.', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,9,,3.48668,"{'modified': '2023-11-29 22:59:31.291208', 'price': '1.00', 'target_yard_cut_wt': '13.95', 'created_time': '08:13:12.839569', 'roll_size': '58', 'foreign_id': 5787, 'knit_style_base': 2179, 'act_yard_cut_wt': '12.94', 'created_date': '2022-12-07', 'version': '0', 'id': 4005, 'active': 1}",1.00,2025-09-13 09:28:43.493096,0,1,1,4.0,,9,,K2509043,Open,,2784,,,,
34486,lbs,,2025-10-24,,1,,6637,9,,,,9600,2025-09-22,2025-09-13 09:20:36.664075,0,2025-09-13 09:20:36.664075,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'LONG - LONGWORTH IND.', 'created_time': None, 'base_style': '1853', 'foreign_id': 2929, 'id': 1560, 'active': 1}",,9,132,1.95,"{'act_yard_cut_wt': '6.80', 'knit_style_base': 1560, 'id': 6029, 'active': 1, 'version': 'LU', 'created_date': '2025-03-26', 'created_time': '10:24:04.357055', 'target_yard_cut_wt': '7.40', 'price': '1.20', 'modified': '2025-04-21 15:49:40.16872', 'foreign_id': 8133, 'roll_size': '50'}",1.20,2025-09-13 09:20:36.664075,0,1,1,4.0,Required,9,,K2509042,Open,,9600,,,,
34485,lbs,,2025-09-26,,1,,6636,9,,,,3480,2025-09-16,2025-09-13 09:13:42.072397,0,2025-09-13 09:13:42.072397,,,"{'foreign_id': 3065, 'id': 1662, 'active': 1, 'base_style': '2094', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'LONG - LONGWORTH IND.'}",,9,39,2.31023,"{'id': 5730, 'active': 1, 'created_date': '2024-10-21', 'version': 'CC', 'act_yard_cut_wt': '15.60', 'knit_style_base': 1662, 'foreign_id': 7786, 'roll_size': '58', 'target_yard_cut_wt': '17.25', 'created_time': '15:58:06.848587', 'modified': '2025-06-26 11:35:35.215794', 'price': '0.60'}",0.60,2025-09-13 09:15:00.445275,0,1,1,4.0,Required,9,,K2509041,Open,,3480,,250299,9124.0,
34484,lbs,,2025-09-23,,1,,6635,9,,,,520,2025-09-19,2025-09-13 09:08:21.536879,0,2025-09-13 09:08:21.536879,,,"{'created_time': None, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF5430', 'active': 1, 'id': 3287, 'foreign_id': 5008}",,9,65,0.22562,"{'target_yard_cut_wt': '14.00', 'created_time': '09:37:23.286787', 'modified': '2025-08-25 12:48:50.606575', 'price': '0.50', 'foreign_id': 7677, 'roll_size': '30', 'act_yard_cut_wt': '11.00', 'knit_style_base': 3287, 'id': 5874, 'active': 1, 'created_date': '2024-09-18', 'version': '0'}",0.50,2025-09-13 09:08:21.536879,0,1,1,4.0,Required,9,,K2509040,Open,,520,,odd farms,,
34483,lbs,,2025-09-22,,1,,6634,9,,,,240,2025-09-10,2025-09-13 09:06:22.111561,0,2025-09-13 09:06:22.111561,,,"{'active': 1, 'id': 3287, 'foreign_id': 5008, 'base_style': 'CF5430', 'created_time': None, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,9,65,0.22562,"{'roll_size': '30', 'foreign_id': 7677, 'price': '0.50', 'modified': '2025-08-25 12:48:50.606575', 'created_time': '09:37:23.286787', 'target_yard_cut_wt': '14.00', 'version': '0', 'created_date': '2024-09-18', 'id': 5874, 'active': 1, 'knit_style_base': 3287, 'act_yard_cut_wt': '11.00'}",0.50,2025-09-13 09:06:22.111561,0,1,1,4.0,Required,9,,K2509039,Open,,240,,harrington,,
34475,lbs,,2025-09-19,,1,,6633,10,,,,2400,2025-09-13,2025-09-12 15:07:48.236101,0,2025-09-12 15:07:48.236101,,,"{'foreign_id': 5157, 'id': 3289, 'active': 1, 'base_style': 'CF5459', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY'}",,10,44,0,"{'foreign_id': 7893, 'roll_size': '50', 'target_yard_cut_wt': '10.00', 'created_time': '16:01:26.261629', 'modified': '2025-06-26 16:24:19.368616', 'price': '0.50', 'id': 5875, 'active': 1, 'created_date': '2024-12-03', 'version': '0', 'act_yard_cut_wt': '10.15', 'knit_style_base': 3289}",0.50,2025-09-12 15:07:48.236101,0,1,1,4.0,Required,10,,K2509038,Open,,2400,,,,
34425,lbs,,2025-10-01,,1,,6632,80,,,,50,2025-09-19,2025-09-11 10:22:37.453194,0,2025-09-11 10:22:37.453194,,,"{'active': 1, 'id': 3460, 'foreign_id': 5395, 'base_style': 'C1B4761A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}",,80,198,2.609,"{'version': '2', 'created_date': '2025-08-04', 'active': 1, 'id': 6289, 'knit_style_base': 3460, 'act_yard_cut_wt': '33.55', 'roll_size': '50', 'foreign_id': 8448, 'price': '0.85', 'modified': '2025-08-04 10:55:31.89194', 'created_time': '10:55:31.89194', 'target_yard_cut_wt': '32'}",0.85,2025-09-11 10:31:21.379265,0,16,1,,Required,80,,K2509037,Open,,50,,,9112.0,45485
34418,lbs,,2025-10-01,,1,,6631,80,,,,50,2025-09-17,2025-09-10 16:14:50.24603,0,2025-09-10 16:14:50.24603,,,"{'foreign_id': 5373, 'id': 3440, 'active': 1, 'base_style': 'C1B4749A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",,80,198,2.49386,"{'target_yard_cut_wt': '32', 'created_time': '10:38:17.520328', 'modified': '2025-08-04 10:38:17.520328', 'price': '0.85', 'foreign_id': 8447, 'roll_size': '50', 'act_yard_cut_wt': '31.80', 'knit_style_base': 3440, 'active': 1, 'id': 6288, 'created_date': '2025-08-04', 'version': '3'}",0.85,2025-09-11 08:44:51.221177,0,16,1,,Required,80,,K2509036,Open,,50,,,9110.0,45482
34416,lbs,,2025-10-01,,1,,6630,80,,,,50,2025-09-16,2025-09-10 15:53:34.294514,0,2025-09-10 15:53:34.294514,,,"{'foreign_id': 5373, 'id': 3440, 'active': 1, 'base_style': 'C1B4749A', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None}",,80,198,2.5027,"{'id': 6287, 'active': 1, 'created_date': '2025-08-04', 'version': '2', 'act_yard_cut_wt': '31.80', 'knit_style_base': 3440, 'foreign_id': 8446, 'roll_size': '50', 'target_yard_cut_wt': '32', 'created_time': '10:34:45.456161', 'modified': '2025-09-12 09:33:11.950355', 'price': '0.85'}",0.85,2025-09-12 09:34:14.556517,0,16,1,,Required,80,,K2509035,Open,,50,,,9109.0,45481
34410,lbs,,2025-10-01,,1,,6629,80,,,,70,2025-09-22,2025-09-10 13:30:00.507475,0,2025-09-10 13:30:00.507475,,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CEE4784A', 'foreign_id': 5450, 'id': 3503, 'active': 1}",,80,205,3.192658,"{'created_time': '12:57:12.51194', 'target_yard_cut_wt': '26.0', 'price': '1.25', 'modified': '2025-09-10 16:13:03.803426', 'foreign_id': 8442, 'roll_size': '70', 'act_yard_cut_wt': None, 'knit_style_base': 3503, 'id': 6283, 'active': 1, 'version': '1', 'created_date': '2025-07-31'}",1.25,2025-09-12 09:34:16.506772,0,16,1,,Required,80,,K2509034,Open,,70,,,9108.0,45480
