fStyle,cFBase,style,fVersion,gBase,gVer Created
100-58998,100-58998,100/58998,0,PURFAB,7/14/2021
125791,125791,125791,0,125791,5/2/2023
125791,125791,125791,CDFMP,125791,5/2/2023
125792,125792,125792,0,125792,2/7/2025
125792,125792,125792,0,125792,5/18/2023
125792,125792,125792,CDFMP,125792,2/7/2025
125792,125792,125792,CDFMP,125792,5/18/2023
1418-BK,1418,1418/BK,0,1418,10/21/2024
1418-BK,1418,1418/BK,0,1418,2/1/2023
1418-BK,1418,1418/BK,0,1418,5/6/2022
1418-BK,1418,1418/BK,MULTI,1418,10/21/2024
1418-BK,1418,1418/BK,MULTI,1418,2/1/2023
1418-BK,1418,1418/BK,MULTI,1418,5/6/2022
1418-TN,1418,1418/TN,0,1418,10/21/2024
1418-TN,1418,1418/TN,0,1418,2/1/2023
1418-TN,1418,1418/TN,0,1418,5/6/2022
1418-TN,1418,1418/TN,ALTCDF,1418,10/21/2024
1418-TN,1418,1418/TN,ALTCDF,1418,2/1/2023
1418-TN,1418,1418/TN,ALTCDF,1418,5/6/2022
1418-TN,1418,1418/TN,SF,1418,10/21/2024
1418-TN,1418,1418/TN,SF,1418,2/1/2023
1418-TN,1418,1418/TN,SF,1418,5/6/2022
15502260,15502260,15502260,0,PURFAB,7/14/2021
1552-103,1552,1552/103,0,1552,3/21/2023
1552-103,1552,1552/103,2094,2094,8/27/2025
1552-103,1552,1552/103,2094,2094,8/25/2025
1552-103,1552,1552/103,2094,2094,10/21/2024
1552-103,1552,1552/103,2094,2094,1/20/2023
1552-103,1552,1552/103,2094,2094,5/2/2022
1552-103,1552,1552/103,CDF Only,1552,3/21/2023
1552-103,1552,1552/103,CDFUNI4,1552,3/21/2023
1552-103,1552,1552/103,UnifourRW,1552,3/21/2023
1579-003,1579,1579/003,0,2094,8/27/2025
1579-003,1579,1579/003,0,2094,8/25/2025
1579-003,1579,1579/003,0,2094,10/21/2024
1579-003,1579,1579/003,0,2094,1/20/2023
1579-003,1579,1579/003,0,2094,5/2/2022
1579-003,1579,1579/003,CDF Only,2094,8/27/2025
1579-003,1579,1579/003,CDF Only,2094,8/25/2025
1579-003,1579,1579/003,CDF Only,2094,10/21/2024
1579-003,1579,1579/003,CDF Only,2094,1/20/2023
1579-003,1579,1579/003,CDF Only,2094,5/2/2022
1579-039,1579,1579/039,CDF Only,2094,8/27/2025
1579-039,1579,1579/039,CDF Only,2094,8/25/2025
1579-039,1579,1579/039,CDF Only,2094,10/21/2024
1579-039,1579,1579/039,CDF Only,2094,1/20/2023
1579-039,1579,1579/039,CDF Only,2094,5/2/2022
1579-060,1579,1579/060,0,2094,8/27/2025
1579-060,1579,1579/060,0,2094,8/25/2025
1579-060,1579,1579/060,0,2094,10/21/2024
1579-060,1579,1579/060,0,2094,1/20/2023
1579-060,1579,1579/060,0,2094,5/2/2022
1579-060,1579,1579/060,ODtoBLK,2094,8/27/2025
1579-060,1579,1579/060,ODtoBLK,2094,8/25/2025
1579-060,1579,1579/060,ODtoBLK,2094,10/21/2024
