Desc#,Supplier,Description,Blend,Type,Color,Desc_1,Desc_2,Desc_3,On_Order,Allocated,Planning_Balance,Cost_Pound,Total_Cost
19020.0,R BELDA LLORENS,30/1,55/45,Polyester/Recycled Cotton,Indigo,Cotton,Indigo,V,0.00,0.0,-428.96,$5.09 ,"($2,183.40)"
18868.0,FERR,30/1,60/40,Polyester/Recycled Cotton,Anil,Cotton,Anil,,"2,500.00",0.0,"1,989.38",$3.90 ,"($1,991.43)"
18517.0,DECA GLOBAL,1/100/96,100%,Polyester,Natural,Z,,,0.00,-255.48,-581.74,$1.09 ,($355.62)
18847.0,"MIKE BECKER, INC",1/300/144,100%,Polypropylene,Natural,,,,0.00,0.0,-18.95,$3.40 ,($64.43)
18343.0,PROMPTEX YARNS INC,3/300/72,100%,Polyester,Natural,Stretch,low,tac,0.00,-174.42,-203.89,$1.05 ,($30.94)
19046.0,DUNAWAY YARNS INC,24/1,95/5,Polyester,5% Black,5%,RS,,"40,000.00",0.0,"40,000.00",$0.00 ,$0.00 
19009.0,VERTEX,1/300/120,100%,Polyethylene,Black,,,,"3,000.00",0.0,"3,064.00",$0.00 ,$0.00 
19025.0,CAP YARNS LLC,6/1,55/45,Tencel/Zoltek,Grey,,,,0.00,0.0,172.00,$0.00 ,$0.00 
19033.0,DECA GLOBAL,20/1,60/40,Combed Cotton/Poly,Natural,Natural,RS,,"8,000.00",0.0,"8,000.00",$0.00 ,$0.00 
18655.0,SPUNGOLD,12/1,100%,Rayon,Natural,FR,,,0.00,0.0,32.00,$0.00 ,$0.00 
18789.0,DECA GLOBAL,1/150/48,100%,Polyester,Orange,3373-02,,,"7,000.00",0.0,"7,000.00",$0.00 ,$0.00 
18843.0,MINIFIBERS,1/150/50,100%,Polyethylene,Soft,White,LLDPE,-,0.00,0.0,50.00,$0.00 ,$0.00 
18514.0,NORMTEX,1/150/48,100%,Polyester,Black,Set,,,0.00,0.0,40.00,$0.98 ,$39.20 
18563.0,AKRA POLYESTER GROUP/DAK,1/150/48,100%,Polyester,Black,SETNTS,,,0.00,0.0,33.00,$1.28 ,$42.24 
18886.0,"EDPA USA, LLC",30/1,50/50,Polyester/Cotton,Marino,OE,,,0.00,0.0,11.92,$3.56 ,$42.45 
18632.0,BANSWARA SYNTEX LIMITED,30/1,100%,Polyester,Cinder,1202527-A,,,0.00,0.0,56.00,$1.29 ,$72.24 
18633.0,BANSWARA SYNTEX LIMITED,30/1,100%,Polyester,Anthracite,1202530-A,,,0.00,0.0,57.00,$1.29 ,$73.53 
18439.0,"BIELTEX, S.L.",30/1,100%,Polyester,Natural,,,,0.00,0.0,70.56,$1.19 ,$83.97 
18188.0,AKRA POLYESTER GROUP/DAK,1/150/48,100%,Polyester,Natural,F,TANG,,0.00,0.0,74.00,$1.20 ,$88.80 
18761.0,MINIFIBERS,1/150/50,100%,Polyethylene,Natural,Dull,LLDPE,-,0.00,0.0,19.00,$5.24 ,$99.56 
11798.0,OMAR,1/150/48,100%,Polyester,BUFF,,,,0.00,0.0,32.00,$3.45 ,$110.40 
18507.0,DECA GLOBAL,1/200/192,100%,Polyester,Natural,,,,0.00,0.0,125.00,$0.92 ,$115.00 
18467.0,PROMPTEX YARNS INC,1/165/36,100%,Polyester,Black,PTY,2H,SET,0.00,0.0,109.00,$1.20 ,$130.80 
18321.0,KC TEX INC,1/300/68,100%,Polyester,Natural,STRNTS,,,0.00,0.0,180.00,$0.81 ,$145.80 
18391.0,PROMPTEX YARNS INC,2/300/68,100%,Polyester,Natural,Stretch,low,tac,0.00,0.0,143.00,$1.06 ,$151.58 
12445.0,KC TEX INC,24/1,100%,Karded Cotton,Natural,NAT,ORGANI,,0.00,0.0,71.00,$2.16 ,$153.36 
18232.0,PROMPTEX YARNS INC,4/330/72,100%,Polyester,Natural,STRETC,,,0.00,0.0,169.58,$1.00 ,$169.58 
11104.0,CS AMERICA,1/75/72,100%,Polyester,Natural,Grade,SET,,0.00,0.0,175.70,$1.01 ,$177.46 
18101.0,NORMTEX,1/167/48,100%,Polyester,FB,TRILOB,,,0.00,0.0,239.00,$0.79 ,$188.81 
18658.0,PARKDALE YARN MILLS,12/1,60/40,Karded Cotton/Poly,Natural,Natural,OE,,0.00,0.0,139.00,$1.48 ,$205.72 
18867.0,R BELDA LLORENS,30/1,50/50,Polyester/Recycled Cotton,Anthracite,Anthracite,57,,0.00,0.0,66.00,$3.15 ,$207.90 
18566.0,AKRA POLYESTER GROUP/DAK,1/150/48,100%,Polyester,Natural,Set,NTS,,0.00,0.0,150.00,$1.42 ,$213.00 
18360.0,NORMTEX,1/150/48,100%,Polyester,Natural,SET,TS,,0.00,0.0,298.00,$0.72 ,$214.56 
