Status,SO #,CSR,Price,Quoted Date,fStyle#,Style#,UOM,Ordered,Picked/Shipped,Balance,Available,SOP,PO #,Customer,Ship To,Ship Date
Picked,S2508225,Brittany Lee,$3.90 ,8/19/2025,CT22150-1,CT22150-1/0,yds,400,401.0,-1.0,"1,783.6",SP2508102/2,2035382,JEFFCO FIBRES INC,Precision Textiles,
Picked,S2507438,Brittany Lee,$3.90 ,7/29/2025,CT22150-1,CT22150-1/0,yds,"1,600","1,689.0",-89.0,"1,783.6",SP2507204/3,2035256,JEFFCO FIBRES INC,Precision Textiles,
Picked,S2508226,Brittany Lee,$6.75 ,8/19/2025,CT4183-LBL,CT4183-LBL/4259,yds,429,428.6,0.4,10.0,SP2508102/1,2035382,JEFFCO FIBRES INC,Precision Textiles,
Picked,S2507436,Brittany Lee,$6.75 ,7/29/2025,CT4183-LAQ,CT4183-LAQ/4648,yds,800,301.0,499.0,0.0,SP2507204/2,2035256,JEFFCO FIBRES INC,Precision Textiles,
Picked,S2508227,Brittany Lee,$4.75 ,8/15/2025,CT3085-1FI,CT3085-1FI/0,yds,300,323.0,-23.0,"1,446.5",SP2508103/1,00124209,Dynasty Consolidated DBA Sleeptronic,Sleeptronic,
Picked,S2506094,Brittany Lee,$7.79 ,6/20/2025,C1B4356-1,C1B4356-1/0,yds,"2,126","1,869.0",257.0,0.0,SP2506046/1,18636,Reliefmart/Ultrabed,Specialty Mattress Inc,
Picked,S2508217,Brittany Lee,$9.83 ,8/15/2025,CSP4479-1,CSP4479-1/0,yds,700,700.8,-0.8,"2,097.0",SP2508098/1,PO-63182,Precision Textiles,Precision Textiles,
Picked,S2508216,Brittany Lee,$5.69 ,8/15/2025,80004073,C1B4571-1/0,yds,410,417.1,-7.1,"17,449.6",SP2508097/1,L8538-005,Serta Simmons Bedding Company,SSBMF - TORONTO,
Open,S2508203,Brittany Lee,$4.35 ,9/5/2025,C1B4139-1,C1B4139-1/0,yds,500,0.0,500.0,29.5,SP2508091/1,B242-051,Lady Americana / Factory Direct,Lady Americana / Factory Direct,
Open,S2508253,Brittany Lee,$3.66 ,8/18/2025,50000173,C1B3799-2/0,yds,40,0.0,40.0,"3,731.9",SP2508114/1,L8309-079,Serta Simmons Bedding Company,SSBMF - MONROE,
Open,S2508249,Brittany Lee,$3.66 ,8/18/2025,50000173,C1B3799-2/0,yds,40,0.0,40.0,"3,731.9",SP2508113/1,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2508244,Brittany Lee,$3.58 ,8/18/2025,50000173,C1B3799-2/0,yds,100,0.0,100.0,"3,731.9",SP2508112/1,50545,Serta Restokraft Mattress Co Inc,Serta Restokraft Mattress Co Inc,
Open,S2506093,Brittany Lee,$10.50,6/20/2025,CT1577-GS1,CT1577-GS1/0,yds,"1,000",0.0,"1,000.0",0.0,SP2506046/2,18636,Reliefmart/Ultrabed,Specialty Mattress Inc,
Open,S2508255,Brittany Lee,$13.85,8/19/2025,C1B3225-1,C1B3225-1/42INCH,yds,300,0.0,300.0,"2,621.6",SP2508115/2,49006,Southerland Inc,Southerland Inc - OK,
Open,S2508237,Brittany Lee,$13.85,8/19/2025,C1B3225-1,C1B3225-1/42INCH,yds,90,0.0,90.0,"2,621.6",SP2508108/3,48975,Southerland Inc,"Southerland Inc - Antioch, TN",
Open,S2507119,Brittany Lee,$13.25,8/1/2025,CEE3267-3,CEE3267-3/0,yds,500,0.0,500.0,0.0,SP2507057/1,001,Dream Time Bedding,Dream Time Bedding,
Open,S2508238,Brittany Lee,$15.76,8/19/2025,C1B3472-1,C1B3472-1/0,yds,120,0.0,120.0,611.7,SP2508108/1,48975,Southerland Inc,"Southerland Inc - Antioch, TN",
Open,S2508095,Brittany Lee,$2.00 ,10/31/2025,CF5092-0,CF5092-0/0,yds,"30,000",0.0,"30,000.0",0.0,SP2508047/1,1703,MATTRESS SAFE INC,Mattress Safe - Dawsonville,
Open,S2508239,Brittany Lee,$14.97,8/19/2025,C1B3402-1,C1B3402-1/0,yds,44,0.0,44.0,344.1,SP2508108/2,48975,Southerland Inc,"Southerland Inc - Antioch, TN",
Open,S2508174,Brittany Lee,$21.75,8/13/2025,CEE2748-1,CEE2748-1/0,panels,111,0.0,111.0,244.0,SP2508080/1,Purple,Hemingway Sewing Solutions ,Hemingway Sewing Solutions ,
