Yarn_ID,BOM_Count,Affected_Styles,Style_List,Total_Percentage,Avg_Percentage
11104.0,627,604,"Barcelona-415/1, C1B3208/1, C1B3227/1, C1B3227/2, C1B3255/1",55.690000000000005,0.08881977671451356
18233.0,572,542,"6358/0, C1B2946/2T, C1B2947/1, C1B2953/2, C1B3167/3",71.1,0.12430069930069929
13545.0,552,552,"BK 8537/0, BK 8548/F10, C1B3269/1, C1B3679/1O, C1B4173A/1",14.780000000000001,0.026775362318840583
18603.0,450,400,"116 CASPER KD/0, 3 SYSTEM TEMPLATE/0, AM0019/0, C1B3178/1, C1B3217/3",73.5,0.16333333333333333
18516.0,390,390,"C1B3992/2, C1B4051/1, CEE3273/5, CF5095/1, CF5098/1",155.88,0.3996923076923077
18763.0,389,389,"C1B3803/1T, C1B3917/1B, C1B4099A/1, C1B4270A/1D, C1B4309A/1",131.25,0.33740359897172234
18232.0,383,383,"C1B3198/1B, C1B3198/1P, C1B3204/1, C1B3259/1, C1B3325/2",193.07,0.5040992167101828
18546.0,340,329,"C1B3493/2, C1B3586/1, C1B3849/1, C1B3858/1, C1B3871/1",78.32000000000001,0.23035294117647062
18439.0,334,261,"28G ELC TEST/1, AM0011/0, AM0013/0, C1B2976/4, C1B2982/1",71.36000000000001,0.2136526946107785
11759.0,325,286," FF 10006/0003A, BK 6946/0, BK 7149/1, BK 8271C/1, C1B3195/1U",45.17,0.1389846153846154
12479.0,315,299,"BK 7385/73011, CT1433/2O, CT1477/1U4PT, CT2155/1U, CT22000-3/1PP",24.46,0.07765079365079365
18594.0,306,257,"C1B3165/1A, C1B3198/1A, C1B3225-42/1L, C1B3280/1, C1B3299/1",82.13,0.26839869281045753
18865.0,306,284,"860000/3/70PUC, C1B4398A/1, C1B4440A/1, C1B4514A/1, C1B4582A/1",28.14,0.0919607843137255
12526.0,263,258,"C1B4038/1C, C1B4094C/2REP, C1B4285A/1REPV, C1B4312A/2RECU, C1B4381A/1",50.5,0.1920152091254753
18044.0,224,133,"C1B3801/1, C1B3855/1, C1B3859/1, C1B3903/1, C1B3993/1",45.120000000000005,0.20142857142857146
5586.0,224,224,"BK 8271A/1, CT1377/1KP, CT1377/1M, CT1377/2, CT2004/2",4.4,0.019642857142857146
18146.0,208,165,"AMER220001/1, C1B3194/3, C1B3199/1, C1B3201/1, C1B3207/1",39.760000000000005,0.19115384615384617
18616.0,198,187,"C1B3194/1A, C1B3194/1B, C1B3301/1, C1B3306/12, C1B3306/14",36.08,0.1822222222222222
18343.0,195,195,"C1B3230/2, C1B3268/1, C1B3276/1, C1B3319/1, C1B3338/2",85.30000000000001,0.4374358974358975
18318.0,179,166,"BK 8331/0, BK 8334/1, C1B3785/1, C1B3953/1, C1B4114A/2",54.67,0.3054189944134078
18312.0,176,162,"C1B2949/1, C1B3611/1, C1B3614/1, C1B3949/1, C1B4156A/1",37.41,0.21255681818181815
18536.0,173,173,"C1B3255/2, C1B3311/1, C1B3599/1, C1B3693/1, C1B3708/1",72.74000000000001,0.4204624277456648
11317.0,153,153,"C1B3803/1, CEE3462/2, CEE3990/1, CEE4078/1, CEE4145A/1",53.290000000000006,0.3483006535947713
18376.0,139,110,"C1B4033/1B, C1B4038/1TD, C1B4038/1TDU, C1B4202A/1, C1B4657A/2",22.96,0.1651798561151079
13561.0,135,132,"2140372/PD, 2140396/BX, 80393D/BP, BK 4631/K, CF5042/1L",6.539999999999999,0.048444444444444436
18317.0,129,124,"BK 8349/0, C1B3215/1, CEE3389/1, CF1067/0, CF5175/0",33.790000000000006,0.2619379844961241
18285.0,127,114,"C1B3194/1, C1B3194/1M, C1B3306/3M, C1B3402/1L, C1B3402/1T",21.920000000000005,0.17259842519685042
18613.0,125,120,"C1B2948/2, C1B3149/1, C1B3178/3, C1B3231/1, C1B3231/2",21.29,0.17032
11927.0,122,122,"C1B3225/1U, C1B4140A/1, C4T4131/TT1U, CEE2839/1U, CEE2841/1U",43.660000000000004,0.35786885245901645
5690.0,121,121,"2140390/B, 2140396/BXL, BK 8205/0, BK 8205/00300, BK 8205/19600",6.3100000000000005,0.05214876033057852
18349.0,120,119,"CEE2729/1TU, CEE2745/18s, CEE2745/1UT, CEE2748/1UT, CEE2749/1UT",13.990000000000002,0.11658333333333334
12150.0,119,96,"AM0051/BLK, BK 7486/4610, BK 8120/07780, BK 8120/09730, BK 8120/4800",28.939999999999998,0.24319327731092436
10024.0,115,115,"13034/01, 16903/01, CT2258/0, CT2298/01, CT2345/2",40.620000000000005,0.35321739130434787
12205.0,113,92,"AMER220003/1K, Barcelona-360/1, BarcelonaSTR-530/1, C1B3633/1, CEE3100/1",31.869999999999997,0.2820353982300885
11697.0,112,112," FF 10006/0002, 13000/01, 16900/01A, 17415/01A, CT0523/1",3.170000000000001,0.028303571428571435
18617.0,108,105,"Barcelona-290/1, Barcelona-460/1, Barcelona-490/1, BarcelonaSTR-340/1, BarcelonaSTR-415/1",23.259999999999998,0.21537037037037035
14148.0,106,106,"C1B3194/4, C1B3473/1, C1B3530/3, C1B3980/2, C1B4357A/1",15.610000000000001,0.14726415094339623
18452.0,104,76,"C1B3377/1, C1B3640/5, C1B4106A/1, C1B4619A/1, C1B4641A/1",25.82,0.24826923076923077
18322.0,102,91,"C1B3235/1, C1B3242/4, C1B3278/1, C1B3344/1, C1B3349/1",28.070000000000004,0.27519607843137256
12047.0,102,100,"C1B3252/1, C1B3276/2, C1B3363/1, C1B3518/1, C1B4039/1O",12.989999999999998,0.12735294117647059
18618.0,99,97,"C1B3203/YARN TRIAL, C1B3646/1, C1B3987C/2, C1B3987C/2L, C1B4039/1",12.41,0.12535353535353536
18164.0,99,98,"C1B3242/2, C1B3271/1, C1B3306/13, C1B3400/1, C1B3524/1",15.62,0.15777777777777777
11999.0,99,88,"C1B3212/3, C1B3240/1, C1B3530/4, CE3041/1, CEE3636/1",16.509999999999998,0.16676767676767676
13560.0,96,94,"1418/0, CF5082/0, CF5113/0, CF5260/L, CF5264-SIG/0",10.23,0.1065625
18615.0,93,90,"C1B3315/1, C1B3330/1, C1B3399/1, C1B3474/1, C1B3529/2",17.35,0.18655913978494626
18569.0,91,85,"C1B3245/1, C1B4039/1T, C1B4494A/1, C1B4495A/1, C5T3508/TT1",19.569999999999997,0.21505494505494502
18297.0,89,73,"BK 8334/2, C1B3588/1, C1B3622/3, C1B3624/1, C1B3624/2",19.32,0.21707865168539325
6083.0,89,86,"AMER220010/1, AMER220010/1U, BK 3066/0, CT1259/1, CT2126/1",13.950000000000001,0.15674157303370786
18261.0,88,75,"BK 8334/0, C1B4508A/1, CEE3421/1, CEE3421/2, CMR3158/5",24.549999999999997,0.2789772727272727
18478.0,86,70,"CMR3988/1, CT22112/1A, CT22121/1M, CT22121/1O, CT22121/1S",14.05,0.1633720930232558
18559.0,86,84,"C1B3167/2, C1B3281/1, C1B3316/1, C1B3517/1, C1B3524/2",16.25,0.18895348837209303
18372.0,83,52,"C1B3225-42/1B, C1B3299/1S, C1B4014/1D, C1B4125A/1B, C1B4125A/1CO",14.770000000000003,0.1779518072289157
14329.0,79,79,"3000250846/0, 4000169787/22, BK 8294/0, BK 8346/0, BK 8347/0",23.810000000000002,0.3013924050632912
18566.0,77,68,"C1B3195/1, C1B3351/1, C1B3396/1, CF5087/0, CF5172/0",14.61,0.18974025974025974
18453.0,76,76,"C1B3798/1, C1B3802/1, C1B3806/1, C1B3881/1, C1B3883/1",12.03,0.1582894736842105
18037.0,76,76,"CT1320/2KNB, CT1195/1N, CT1320/2KNI, CT2325/1, CT2483/1C",31.580000000000002,0.4155263157894737
18290.0,75,73,"661SM0781/0, C1B3242/1, C1B3982/2, C1B4094C/2, C2B3221/1",12.040000000000003,0.16053333333333336
18426.0,73,64,"C1B3652/1, C1B3694/1, C1B3872/1, C1B4420A/1, CEE3952/1",25.98,0.3558904109589041
18475.0,71,70,"C1B3205/1, CT2844/1, CT3148/1, CEE2745/18s, CEE2745/1TKU",9.11,0.12830985915492957
18442.0,71,64,"C1B3234/1, C1B3292/2, C1B3297/2, C1B3640/4, C1B3732/1",17.52,0.24676056338028168
18332.0,70,64,"C1B3623/1, C1B3641/1, C1B4081A/1, C2B3262/1, C4T3383/TT1",15.38,0.21971428571428572
18413.0,70,66,"CT22150/1S, CT22150/WD, CT2577/1, CT2605/1, CT2605/2",17.94,0.2562857142857143
18050.0,70,54,"C1B3200/1, CT2669/1, CT2723/1, CT2726/1, CT2742/1",9.270000000000003,0.13242857142857148
18669.0,69,43,"1853/L, 1942/0, 2912/0, CF5056/0, CF5057/0",24.849999999999998,0.36014492753623184
18713.0,66,57,"C1B3547/1, C1B3548/1, C1B3549/1, C1B3704/1, C1B3914/1",14.4,0.2181818181818182
18929.0,64,64,"CEE4473A/1, CEE4585A/1, 125792/1, C4T4131/TT1L, C5T4353-42/TT1C",0.8300000000000001,0.012968750000000001
18307.0,62,62,"C1B3307/1, C1B3402/1D, C1B3912-42/1L, C1B3912/1D, C1B3912/1P",7.130000000000002,0.11500000000000003
18673.0,61,57,"C1B3622/2, C1B3640/6, C1B3884/2, C1B3966/1, C1B4025/2",10.11,0.16573770491803277
18011.0,60,60,"C2T3196/TT1, CT1026/TT1DK, CT1243/TT3A, CT2266/TT1NN, CT2271/TT1",22.29,0.3715
18046.0,60,60,"C5T3296/2, CT22000/1, CT22003-1/40, CT22006/1, CT2293-2/1",16.14,0.269
18208.0,59,57,"C1B4284A/1, C2B4196/1P, C4T3381/TT1, C4T3384/TT1, CEE3436/1",12.13,0.20559322033898306
14306.0,59,59,"4000169789/0, BK 8084/B, BK 8385/0, BK 8452/0, BK 8458/0",22.85,0.38728813559322034
13527.0,59,36,"16998/01B, FF 25000/0003, FF 25001/0003,  FF 10006/0003,  FF 10006/0003B",18.43,0.3123728813559322
18334.0,58,57,"2040073/0, 2040074/0, 2140370/0, 2140370/BC2, 2140370/BX",47.949999999999996,0.8267241379310344
18605.0,56,50,"C1B3230/1, C1B3343/1, C1B3637/1, C7T3290/TT2, CEE3355/1",13.16,0.23500000000000001
18062.0,56,55,"600000/3018, 70798/0, 12130/01W, 12635/01AK, 12635/01AL",3.5100000000000002,0.06267857142857143
12243.0,56,56,"BK 7486/07780, BK 7486/09730, BK 7486/34180, BK 7486/4091, BK 7486/6712",2.81,0.05017857142857143
